<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
FUCVREIT,20200811,6.1,6.1,6.1,6.1,600
VNS,20200811,11.3,11.3,11.05,11.25,1160
VOS,20200811,1.36,1.4,1.36,1.39,42590
VPB,20200811,21.55,21.6,21.3,21.45,2037520
VPD,20200811,14.1,14.2,14.1,14.2,630
VPG,20200811,13.95,13.95,13.6,13.7,302750
VPH,20200811,4.2,4.37,4.2,4.26,17520
VPI,20200811,41.85,41.85,41.35,41.4,695540
VPS,20200811,17.65,17.65,17.5,17.65,116230
VRC,20200811,5.8,5.98,5.8,5.9,49530
VRE,20200811,26.7,26.8,26.3,26.3,1512750
VSC,20200811,31.7,31.9,30.7,30.8,449430
VSH,20200811,16.7,17.2,16.7,17.1,5010
VSI,20200811,19,19.5,18.65,19.4,9490
VTB,20200811,9.61,9.61,9.61,9.61,20
VTO,20200811,6.74,6.75,6.74,6.75,1100
YBM,20200811,3.86,4.06,3.86,4.06,28300
YEG,20200811,49.5,51.4,49.3,49.9,18120
VDS,20200811,6.1,6.1,6.1,6.1,10
VFG,20200811,40,40.2,40,40.2,130
VGC,20200811,21.2,22,21.15,21.7,522950
VHC,20200811,36.75,36.95,36.4,36.9,253740
VHM,20200811,79.9,79.9,78.6,79.4,905140
VIC,20200811,89.2,89.2,87.5,87.5,215330
VID,20200811,11.4,11.4,11,11.3,1590
VIP,20200811,5.5,5.55,5.45,5.55,81170
VJC,20200811,100,100.1,99.1,99.5,240830
VND,20200811,11.5,11.7,11.5,11.65,500210
VNE,20200811,4.81,5,4.75,4.83,139680
VNG,20200811,15.2,15.3,15,15.2,212780
VNL,20200811,16.75,16.75,16.6,16.6,190
VNM,20200811,114.9,115,114,114.5,852250
TNA,20200811,16.55,16.6,16.4,16.5,101170
TNC,20200811,19.2,21.4,19.2,20.15,1270
TNI,20200811,3.07,3.2,3.07,3.11,2475730
TNT,20200811,1.44,1.44,1.4,1.42,76770
TPB,20200811,21.1,21.1,20.9,21.1,38000
TPC,20200811,8.49,8.49,7.81,8.1,170
TRA,20200811,56,56.5,55.5,55.5,4020
TRC,20200811,30.1,31.85,30.1,31,680
TS4,20200811,3.1,3.1,3.05,3.1,4220
TSC,20200811,2.51,2.51,2.45,2.46,322440
TTB,20200811,5.2,5.29,5.1,5.25,382850
TTE,20200811,15.75,18,15.75,18,550
TTF,20200811,3.15,3.17,3.11,3.13,1328500
TV2,20200811,71.9,71.9,69.2,70,150170
TVB,20200811,6.91,7.19,6.91,7.11,229220
TVS,20200811,10.5,10.6,10.5,10.6,2600
TVT,20200811,19.3,19.35,19.3,19.35,1500
TYA,20200811,13.6,13.9,13.55,13.6,30680
UDC,20200811,5.02,5.18,4.91,5.09,56890
UIC,20200811,38.3,39,36.85,38.35,410
VAF,20200811,9.89,9.89,9.89,9.89,40
VCB,20200811,82.5,82.6,81.8,82.1,312920
VCF,20200811,210.1,210.1,210.1,210.1,10
VCI,20200811,21.6,22.4,21.3,22,618790
TDW,20200811,21.9,21.9,21.9,21.9,10
TEG,20200811,4.72,5.24,4.72,4.8,5540
TGG,20200811,0.97,1,0.94,0.97,127350
THG,20200811,50.5,50.5,49.4,49.9,12600
TIP,20200811,20.9,21.5,20.5,21.5,930250
TLD,20200811,10.5,11.1,10.4,11.1,1331160
TLG,20200811,33.9,34.8,33.9,33.95,29820
TLH,20200811,3.31,3.39,3.31,3.32,38890
TMP,20200811,35.5,35.5,35.5,35.5,20
TMS,20200811,26.2,26.2,26,26.2,1000
TMT,20200811,4.71,4.72,4.7,4.7,3000
TN1,20200811,53.7,56.2,53.7,56.2,720
SVT,20200811,16.7,16.7,16.7,16.7,250
SZC,20200811,27.6,27.85,26.05,26.5,3555920
SZL,20200811,48,49.1,47.4,47.5,103750
TAC,20200811,36.4,36.75,35.6,36.5,22200
TBC,20200811,26.4,26.4,25.5,25.75,9830
TCB,20200811,19.55,19.55,19.3,19.45,1334060
TCD,20200811,8.9,9.1,8.9,9.1,40400
TCH,20200811,20.7,20.7,20.3,20.5,1338440
TCL,20200811,25,25.1,24.9,25.05,20910
TCM,20200811,22.1,22.35,21.7,22.1,1251470
TCO,20200811,8.57,8.57,8.57,8.57,3500
TCR,20200811,2.9,3,2.67,2.71,10050
TCT,20200811,24.7,24.7,24,24.6,15810
TDC,20200811,8.17,8.18,8.1,8.15,46820
TDG,20200811,1.67,1.72,1.67,1.67,212200
TDH,20200811,8.59,8.59,8.4,8.5,592500
TDM,20200811,24,24,23.75,23.8,434480
SJD,20200811,17.45,17.45,17.2,17.2,39710
SJF,20200811,1.98,2.04,1.95,1.96,1582270
SJS,20200811,20.9,21.3,20.9,21.1,63550
SKG,20200811,8.22,8.42,8.22,8.39,129010
SMA,20200811,12,12,12,12,10
SMB,20200811,31,31,30.65,31,1980
SMC,20200811,9.8,9.93,9.6,9.81,41110
SPM,20200811,12.9,12.9,12.9,12.9,10
SRC,20200811,14,14.5,14,14.5,210
SRF,20200811,13.7,13.7,13.7,13.7,200
SSI,20200811,14.55,14.75,14.4,14.7,5313900
ST8,20200811,10.5,10.5,10.05,10.05,6060
STB,20200811,10.7,10.75,10.5,10.65,7719420
STG,20200811,14.05,14.05,14.05,14.05,360
STK,20200811,14.8,14.8,14.6,14.7,29340
SVC,20200811,85.3,85.3,85.1,85.1,1700
SBV,20200811,9.9,10,9.9,10,14810
SC5,20200811,17.4,18.15,17.2,18.15,90
SCD,20200811,21.75,23,21.7,23,3870
SCR,20200811,5.3,5.45,5.3,5.39,1506880
SCS,20200811,112.7,112.7,110,110.8,13380
SFG,20200811,5.28,5.52,5.28,5.5,43070
SFI,20200811,19.95,20,19.8,20,157550
SGN,20200811,67.6,67.7,66.6,67,1400
SGR,20200811,17.7,17.7,17.7,17.7,10
SGT,20200811,5.5,5.5,5.5,5.5,6260
SHA,20200811,4.34,4.35,4.1,4.35,890
SHI,20200811,10.8,10.8,10.2,10.45,574120
SHP,20200811,23.5,23.7,23.3,23.45,20590
SII,20200811,17.4,17.4,17.4,17.4,20
PXS,20200811,4.95,4.95,4.7,4.83,48720
PXT,20200811,1.3,1.35,1.3,1.35,7050
QBS,20200811,2.14,2.23,2.06,2.06,25960
QCG,20200811,6.19,6.19,6.06,6.06,79520
RAL,20200811,91.9,95,91.9,94.8,20830
RDP,20200811,7.6,7.6,7.12,7.3,980
REE,20200811,34.55,34.6,34,34.5,507670
RIC,20200811,5.05,5.14,4.7,4.71,3520
