<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAV,20200525,5,5.1,5,5.1,308413
ACB,20200525,22.5,22.7,22.3,22.6,3519682
ACM,20200525,0.6,0.6,0.5,0.6,117549
ADC,20200525,13.4,13.4,13.4,13.4,100
AMV,20200525,17.2,17.4,17,17.1,293433
API,20200525,9.9,9.9,9.9,9.9,200
APP,20200525,4.5,4.5,4.5,4.5,1000
APS,20200525,2.2,2.2,2.2,2.2,100
ART,20200525,2.7,2.8,2.6,2.8,1565759
BAX,20200525,39.3,40.5,39,40.5,10800
BCC,20200525,7.4,7.4,7.3,7.3,87015
BII,20200525,0.6,0.8,0.6,0.7,115812
BPC,20200525,10.8,10.8,10.8,10.8,100
BTS,20200525,4,4,4,4,620
BVS,20200525,8.9,8.9,8.8,8.9,87800
C69,20200525,5.8,6,5.7,5.8,246050
CAN,20200525,23.6,23.6,23.6,23.6,1010
CAP,20200525,30,30,29.6,30,19903
CDN,20200525,18.1,18.5,18,18.5,9500
CEO,20200525,7.7,7.7,7.5,7.6,334250
CET,20200525,1.7,1.7,1.7,1.7,49300
CIA,20200525,11.8,11.8,11.5,11.5,2233
CKV,20200525,13,13,13,13,2100
CMC,20200525,6,6,6,6,200
CMS,20200525,2.5,2.5,2.5,2.5,8000
CPC,20200525,14.5,15.6,14.5,15.6,300
CSC,20200525,20.6,22.5,20,22.1,10000
CTP,20200525,2.9,3,2.9,3,7800
CTT,20200525,9.6,9.6,9.6,9.6,51300
CTX,20200525,9.7,9.7,9.3,9.3,4600
CVN,20200525,9.1,9.6,9.1,9.6,33402
D11,20200525,20,21,19,21,4300
DAD,20200525,16.9,16.9,16.1,16.1,400
DAE,20200525,14.2,14.2,14.2,14.2,100
DBT,20200525,11,11,10.2,10.5,5800
DC4,20200525,13.9,13.9,13.9,13.9,200
DDG,20200525,27,27.8,26.6,27.8,137840
DGC,20200525,32.7,33.1,29.5,33,183478
DHT,20200525,45.8,45.8,44.8,45,11700
DIH,20200525,13.6,13.6,13.6,13.6,100
DL1,20200525,9.2,10.8,9.2,10.8,1400
DNC,20200525,55.8,55.8,55.8,55.8,1010
DNM,20200525,34.9,36,34.8,34.8,28307
DNP,20200525,17,17,17,17,8100
DNY,20200525,1.9,2,1.8,1.8,5200
DP3,20200525,86,86.5,83,83,15810
DPC,20200525,10,10.2,10,10.2,5000
DS3,20200525,3.3,3.3,3.2,3.3,63400
DST,20200525,3.6,3.6,3.6,3.6,164200
DTD,20200525,12.1,13.1,12.1,12.9,191978
DXP,20200525,10.3,10.4,10,10,1750
DZM,20200525,2.7,2.7,2.7,2.7,91100
EBS,20200525,7,7,7,7,1000
EID,20200525,10.6,10.7,10.6,10.7,2200
EVS,20200525,7.5,7.8,7.2,7.5,1500
FID,20200525,0.9,1,0.9,1,200
GKM,20200525,17.5,17.7,17.5,17.7,145800
GLT,20200525,24.3,24.3,24.3,24.3,110
GMX,20200525,24,24,24,24,2010
HAD,20200525,14.5,14.5,14.1,14.1,1903
HAT,20200525,19.8,19.8,19.4,19.4,2300
HBS,20200525,1.9,1.9,1.9,1.9,3800
HCC,20200525,10.5,10.5,10.5,10.5,3100
HCT,20200525,10.8,10.8,10.8,10.8,200
HDA,20200525,8.1,8.8,8,8.8,503442
HHG,20200525,1.1,1.2,1.1,1.1,35240
HHP,20200525,11.7,12.3,11.7,12.3,369842
HKB,20200525,0.7,0.7,0.6,0.7,110945
HLC,20200525,7.3,7.3,7.3,7.3,4
HLD,20200525,18.4,18.4,18.1,18.1,8950
HMH,20200525,8.6,8.6,8.6,8.6,100
HOM,20200525,3,3.1,3,3.1,8300
HTP,20200525,8,8,8,8,1
HUT,20200525,2,2,1.9,2,2091549
ICG,20200525,5.4,5.4,5,5,9800
IDC,20200525,17.2,18.5,17.2,17.9,49010
