<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAV,20200625,5.8,6.1,5.7,6.1,330450
ACB,20200625,23.7,23.8,23.5,23.7,2500893
ACM,20200625,0.7,0.8,0.6,0.7,1219530
AMC,20200625,20,20,20,20,100
AMV,20200625,17.6,17.9,17.2,17.7,595000
APP,20200625,4,4,4,4,1271
APS,20200625,2.4,2.4,2.4,2.4,13800
ART,20200625,2.8,2.9,2.7,2.9,831465
BAX,20200625,42.5,42.5,42,42,2600
BCC,20200625,7.3,7.4,7.2,7.2,82820
BCF,20200625,53,53,53,53,200
BII,20200625,0.9,0.9,0.8,0.8,320860
BKC,20200625,6.1,6.1,6.1,6.1,51
BST,20200625,13,13.3,13,13.3,900
BTS,20200625,3.8,3.8,3.8,3.8,420
BVS,20200625,10,10.2,9.9,10.2,73200
C69,20200625,6.6,6.7,6.3,6.3,433390
C92,20200625,3.4,3.6,3.3,3.6,17000
CAP,20200625,29.1,29.2,29,29.2,5540
CDN,20200625,17.7,18.9,17.6,18.8,5500
CEO,20200625,8.5,8.6,8,8.5,2007063
CET,20200625,1.7,1.8,1.7,1.8,3100
CIA,20200625,11.7,11.7,11.6,11.6,310
CJC,20200625,15,15,14.5,14.5,200
CLH,20200625,18.7,18.7,18.3,18.3,2100
CMS,20200625,2.4,2.4,2.4,2.4,2000
CSC,20200625,24.6,25.3,24.5,25.3,8500
CTP,20200625,3.6,3.6,3.2,3.4,180617
CVN,20200625,13.5,14,13.2,13.8,16430
D11,20200625,28.2,28.2,25.5,26.4,45668
DAD,20200625,14.1,14.1,14.1,14.1,100
DBT,20200625,10.6,10.6,10.6,10.6,100
DC2,20200625,6.3,6.3,6.3,6.3,500
DC4,20200625,12.6,12.6,12.6,12.6,500
DDG,20200625,28.3,28.5,27.6,27.9,84652
DGC,20200625,38.3,38.7,38,38.4,95511
DHP,20200625,9.7,9.7,9.7,9.7,500
DHT,20200625,44.9,44.9,44.7,44.9,5500
DIH,20200625,13.5,15.3,13.5,14.6,1700
DNM,20200625,38,43,38,42.7,10076
DNP,20200625,17,17,17,17,4000
DP3,20200625,67.7,68,67.3,68,1312
DS3,20200625,4.3,4.5,4.3,4.4,70800
DST,20200625,5.9,6.2,5.6,5.6,474191
DTD,20200625,11.3,11.5,11.3,11.5,10000
DXP,20200625,10.9,10.9,10.9,10.9,140
DZM,20200625,5,5,4.6,4.8,24300
EBS,20200625,7.1,7.1,7.1,7.1,200
EID,20200625,10.9,11.3,10.9,11.3,6200
EVS,20200625,7.2,7.3,7.2,7.2,2500
FID,20200625,1,1.1,1,1.1,448600
GKM,20200625,17.6,17.7,17.6,17.7,210700
GLT,20200625,21.3,21.3,21.3,21.3,100
HAD,20200625,13.8,13.9,13.7,13.9,19500
HBS,20200625,1.9,2,1.9,2,4100
HCC,20200625,11.9,11.9,11.9,11.9,1300
HCT,20200625,9.5,10.4,9.5,10.4,600
HDA,20200625,9.3,9.6,9,9,425400
HEV,20200625,9.6,9.6,9.6,9.6,100
HHG,20200625,1.3,1.4,1.3,1.4,23200
HHP,20200625,11,11,10.9,11,155600
HKB,20200625,0.9,1,0.9,1,481800
HKT,20200625,7.4,7.4,7,7,5000
HLD,20200625,20.4,20.4,20.3,20.3,97020
HOM,20200625,3.1,3.2,3,3,24700
HTP,20200625,9.9,9.9,9.9,9.9,1
HUT,20200625,2.6,2.9,2.6,2.9,19592993
HVT,20200625,35,35,35,35,2000
ICG,20200625,5.5,5.8,5.4,5.8,1100
IDC,20200625,18,18.3,18,18,20200
IDJ,20200625,12.2,13.3,12.2,12.9,264767
IDV,20200625,37.9,37.9,37.8,37.9,1608
ITQ,20200625,2.5,2.5,2.4,2.5,8100
IVS,20200625,6.9,7.5,6.7,7.5,52500
KDM,20200625,1.9,1.9,1.9,1.9,9400
KLF,20200625,2.1,2.2,2,2.2,2424728
KSD,20200625,4.2,4.6,4.2,4.6,500
KSQ,20200625,1.5,1.5,1.5,1.5,14300
KST,20200625,19,19.4,19,19.4,16100
KVC,20200625,1,1.1,1,1.1,1007600
L14,20200625,67.9,67.9,66.2,67.7,34015
L18,20200625,7.1,8,7.1,8,600
L35,20200625,7.4,7.4,7.4,7.4,1700
L43,20200625,2.5,2.5,2.5,2.5,100
LAS,20200625,6.5,6.7,6.5,6.7,82800
LCS,20200625,2,2,2,2,1400
LDP,20200625,20.7,20.7,20.7,20.7,100
LHC,20200625,67.9,68,67.9,67.9,1500
LIG,20200625,3.1,3.1,3.1,3.1,93000
LO5,20200625,2.8,2.8,2.8,2.8,4416
MAC,20200625,5,5,5,5,100
MAS,20200625,35.2,35.4,35.2,35.4,700
MBG,20200625,5.7,5.7,5.4,5.6,1929805
MBS,20200625,10.5,10.5,10.1,10.1,149657
MDC,20200625,7.9,7.9,7.9,7.9,6000
MED,20200625,39.9,39.9,38.5,39.2,1387
MPT,20200625,1.4,1.5,1.4,1.4,35700
MST,20200625,3.3,3.4,3.2,3.4,803886
NAG,20200625,5.2,5.3,5.2,5.2,5100
NBC,20200625,5.8,6,5.8,5.8,23400
NBP,20200625,11.6,11.6,11.6,11.6,500
NDN,20200625,17.8,18,17.7,17.8,262700
NDX,20200625,13.2,13.2,13.1,13.1,20600
NET,20200625,49,49,48,48,400
NGC,20200625,1.8,2,1.8,2,2300
NHC,20200625,28.6,28.6,28.6,28.6,1000
NHP,20200625,0.6,0.7,0.5,0.7,1037940
NRC,20200625,11.5,11.8,11.3,11.3,15505
NSH,20200625,1.5,1.5,1.5,1.5,34907
NTH,20200625,30,30,28.3,29,7800
NTP,20200625,34,34,32,32.6,37930
NVB,20200625,8.8,8.8,8.6,8.8,2320120
ONE,20200625,3.8,4,3.8,4,2106
PBP,20200625,7.3,7.3,7.2,7.2,2000
PGN,20200625,12.3,12.4,11.9,12,109700
PGS,20200625,13.8,15,13.8,15,9391
PHP,20200625,9.6,9.6,9.6,9.6,2700
PIC,20200625,8.6,8.6,8.6,8.6,18
PLC,20200625,15.2,15.4,14.8,15.2,115821
PMC,20200625,52.6,52.6,50.1,51.6,503
PMP,20200625,8.5,8.5,8.5,8.5,300
PPS,20200625,7,7,7,7,1000
PSD,20200625,9.5,9.5,9.5,9.5,1000
PSI,20200625,2.2,2.2,2.2,2.2,100
PTI,20200625,19,19,19,19,4000
PTS,20200625,5.4,5.4,5.4,5.4,6150
PVB,20200625,17,17.8,16.5,17,445529
PVC,20200625,6.2,6.2,6,6.2,98700
PVG,20200625,6.9,7.2,6.9,7.2,900
PVI,20200625,30.1,30.5,29.2,30.2,14851
PVL,20200625,1.4,1.4,1.4,1.4,11600
PVS,20200625,12.3,12.5,12.1,12.4,2929205
QHD,20200625,21.9,22,21.9,22,400
QNC,20200625,3.2,3.2,3.2,3.2,200
S99,20200625,14.2,14.2,13.3,13.9,321712
SCI,20200625,15.1,15.2,15,15.1,44500
SD2,20200625,7,7,7,7,3475
SD4,20200625,4,4,4,4,100
SD5,20200625,4.8,4.9,4.8,4.8,8100
SD6,20200625,2.4,2.5,2.4,2.5,30351
SD9,20200625,5.2,5.4,5.2,5.4,4100
SDA,20200625,2.9,3.2,2.9,3.2,1600
SDT,20200625,3.3,3.4,3.3,3.4,2300
SEB,20200625,31,31,31,31,1600
SED,20200625,14.4,14.4,14.4,14.4,100
SFN,20200625,25.3,25.3,25.3,25.3,300
SGC,20200625,58,58,58,58,400
SHB,20200625,13.9,14.3,13.6,14.3,1218440
SHE,20200625,22.5,22.5,21.5,22,3600
SHN,20200625,7.2,7.2,7.2,7.2,3400
SHS,20200625,12.8,13.2,12.6,13.2,2369175
SJE,20200625,18.5,18.9,18.5,18.9,103000
SLS,20200625,51.4,51.4,51.4,51.4,1600
SMT,20200625,9.7,9.7,9.7,9.7,7500
SPI,20200625,1.2,1.2,1.1,1.2,32800
SRA,20200625,12.7,13,12.6,13,61303
STC,20200625,13.7,13.7,13.7,13.7,100
SVN,20200625,2.3,2.4,2.3,2.4,80300
SZB,20200625,26.1,27.5,26.1,27.5,200
TA9,20200625,9,9,9,9,100
TAR,20200625,21,21.2,20,20.7,792090
TCS,20200625,8.1,8.2,8.1,8.1,5600
TDN,20200625,6,6.1,6,6.1,40581
TDT,20200625,9.9,10.2,9.6,9.7,39090
THB,20200625,10.1,10.1,9.8,9.9,5500
THD,20200625,28.3,28.3,28.3,28.3,100
THT,20200625,6.5,6.7,6.5,6.7,35200
TIG,20200625,7.2,7.3,7,7.3,1752387
TJC,20200625,7.5,7.5,7.5,7.5,140
TKC,20200625,3.6,3.9,3.6,3.9,21200
TKU,20200625,11.8,11.8,11.1,11.2,710
TMB,20200625,14.6,14.6,14.6,14.6,100
TMC,20200625,11.5,12.7,11.5,12.7,1900
TNG,20200625,13,13.2,12.9,12.9,566315
TTH,20200625,2.2,2.2,2.1,2.1,537800
TTL,20200625,7.2,7.2,6.6,7.2,4700
TTT,20200625,36.8,36.9,36.8,36.9,1300
TTZ,20200625,2.4,2.8,2.4,2.8,222600
TV3,20200625,31,31.2,31,31.2,300
TV4,20200625,11.4,11.4,11.4,11.4,91
TVC,20200625,12.6,12.7,11.4,11.9,1645122
TVD,20200625,5.8,5.9,5.7,5.9,1900
TXM,20200625,2.7,2.7,2.7,2.7,100
UNI,20200625,4.7,4.7,4.7,4.7,20000
V12,20200625,11.2,11.7,11.2,11.4,2200
V21,20200625,5.4,5.4,5.4,5.4,500
VBC,20200625,18.9,21,18.9,21,6200
VC3,20200625,16.6,16.6,16.3,16.4,201499
VC6,20200625,8,8,8,8,2100
VC7,20200625,4.7,4.7,4.7,4.7,12
VC9,20200625,6.3,7,6.3,7,10100
VCG,20200625,28.8,30,28,28.1,206390
VCS,20200625,62.2,62.9,62.2,62.9,73362
VDL,20200625,18.9,22.6,18.9,22.6,28900
VE9,20200625,1.2,1.2,1.2,1.2,93000
VGS,20200625,7,7.1,6.5,7.1,14300
VHE,20200625,5.3,6,5.3,6,25400
VHL,20200625,29,29,28.1,28.1,608
VIG,20200625,0.9,1,0.8,0.9,347200
VIT,20200625,14.5,14.5,14.5,14.5,700
VIX,20200625,7.5,8.2,7.5,8.2,1155032
