<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
FUCVREIT,20200311,6.3,6.3,6.3,6.3,100
VRE,20200311,26.4,26.4,24.6,26,4211430
VSC,20200311,23.5,23.5,22.5,22.5,117830
VSH,20200311,21.4,21.5,19.95,21.5,38490
VSI,20200311,24.05,24.05,24.05,24.05,50
VTB,20200311,12.6,13.4,12.6,13.4,690
VTO,20200311,7.4,7.5,7.33,7.34,58210
YBM,20200311,3.99,3.99,3.86,3.95,5340
YEG,20200311,66.8,73.8,66.8,66.8,224340
VDS,20200311,7.49,7.49,6.6,6.6,5010
VFG,20200311,42,42.5,42,42.5,10130
VGC,20200311,18.2,18.2,17.75,17.75,293330
VHC,20200311,29,29.9,27.05,27.05,390690
VHM,20200311,76.5,76.8,71.2,76.5,932900
VIC,20200311,98,98,91.1,97,1049580
VID,20200311,3.65,4,3.63,4,570
VIP,20200311,4.8,4.9,4.68,4.68,38330
VIS,20200311,22.5,22.5,22.5,22.5,300
VJC,20200311,114.5,114.5,106.5,106.5,683340
VMD,20200311,21.4,21.4,21.4,21.4,10
VND,20200311,13.4,14.4,12.9,14.4,389190
VNE,20200311,3.7,3.7,3.52,3.56,590100
VNG,20200311,16,16,15.8,15.9,296320
VNL,20200311,14.5,14.5,14.5,14.5,30
VNM,20200311,102,105,99.2,101.6,2292410
VNS,20200311,9.52,9.52,9.35,9.36,23550
VOS,20200311,1.55,1.58,1.44,1.46,242150
VPB,20200311,26,26.4,24.2,24.2,6458650
VPD,20200311,14.5,14.5,14.5,14.5,10
VPG,20200311,22.9,22.9,22.8,22.9,48980
VPH,20200311,3.73,3.78,3.73,3.77,155560
VPI,20200311,41.35,41.5,40.6,41,260900
VRC,20200311,5.85,6.1,5.65,5.66,126050
TRA,20200311,51,51,49.05,49.05,22500
TRC,20200311,27,27.8,27,27.8,810
TS4,20200311,2.96,2.96,2.71,2.89,610
TSC,20200311,2.14,2.16,2,2.02,410580
TTB,20200311,3.25,3.37,3.03,3.05,682930
TTE,20200311,11.65,13.35,11.65,13.35,220
TTF,20200311,2.74,2.79,2.58,2.59,1121010
TV2,20200311,62,62.5,57.7,57.7,59460
TVB,20200311,16.5,16.7,16.45,16.65,180630
TVS,20200311,11.7,11.7,11.3,11.7,4700
TVT,20200311,23.5,23.5,23.2,23.2,840
