<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
FUCVREIT,20200130,7.1,7.1,7.1,7.1,10
VSI,20200130,24.4,24.4,24.4,24.4,10
VTB,20200130,15.5,16.45,15.5,16.4,90
VTO,20200130,7.7,7.7,7.5,7.5,20370
YBM,20200130,3.82,3.93,3.82,3.93,510
YEG,20200130,37,37.5,36.8,37,20340
VNG,20200130,19.7,19.8,19.55,19.65,292680
VNM,20200130,119,119.8,116.2,116.6,1533720
VNS,20200130,11,11,10.25,10.25,184270
VOS,20200130,1.6,1.6,1.55,1.58,168880
VPB,20200130,23,23.4,22.35,22.7,4277050
VPD,20200130,15.2,15.7,15.2,15.7,1010
VPG,20200130,23.1,23.1,23,23,92370
VPH,20200130,4,4.14,3.8,3.95,62160
VPI,20200130,42.25,42.3,42,42.1,301650
VRC,20200130,7.09,7.09,7,7.09,708720
VRE,20200130,32,32.1,30.7,30.95,2002220
VSC,20200130,26.8,26.8,26.1,26.4,55180
VSH,20200130,21.3,22.6,21.3,21.3,270
TYA,20200130,14,14.3,13.8,14.2,12900
UDC,20200130,3.85,3.85,3.85,3.85,10
UIC,20200130,38.8,38.8,38.8,38.8,300
VCB,20200130,92.1,92.4,87,88.9,3541560
VCF,20200130,195,195,195,195,10
VCI,20200130,30,30,27,27,101240
VDP,20200130,31.65,31.7,31,31,220
VDS,20200130,7.5,7.5,7.48,7.48,4730
VFG,20200130,41.75,42,40.55,41.9,17270
VGC,20200130,17.75,18.2,17.75,18,203710
VHC,20200130,38.4,39.5,37,37.5,177660
VHM,20200130,87.2,87.8,85.8,87.4,1414000
VIC,20200130,114.1,114.9,112.1,114.9,682720
VID,20200130,4.45,4.95,4.45,4.95,40
VIP,20200130,5.1,5.11,5.05,5.1,54440
VIS,20200130,26.7,26.7,24.6,24.6,450
VJC,20200130,145,145,140,140,565700
VMD,20200130,23.5,23.5,23.5,23.5,100
VND,20200130,15,15,14.5,14.95,217470
VNE,20200130,3.64,3.64,3.57,3.64,38840
TN1,20200130,65,65,64.5,64.5,1070
TNA,20200130,19.4,19.45,18.1,19.45,241440
TNC,20200130,12.65,12.65,12.65,12.65,10
TNI,20200130,10.2,10.2,9.99,10,402780
TNT,20200130,1.59,1.59,1.56,1.58,5290
TPB,20200130,21.25,21.4,21.1,21.4,103000
TPC,20200130,9.74,9.74,8.51,9.74,270
TRA,20200130,58,59.5,58,58.5,23060
TRC,20200130,31,32.8,31,32.8,850
TS4,20200130,3.5,3.55,3.38,3.38,120
TSC,20200130,2.5,2.5,2.34,2.34,204880
TTB,20200130,3.9,3.94,3.78,3.8,430520
TTF,20200130,2.74,2.76,2.65,2.65,303000
TV2,20200130,79,79,77.5,78,34140
TVB,20200130,14.65,14.7,14.45,14.6,78050
TVS,20200130,12.65,13.6,12.6,13.6,59350
TVT,20200130,23.4,23.4,22.8,22.8,290
TGG,20200130,1.67,1.69,1.63,1.66,35360
THG,20200130,46.1,47.5,45.9,47.5,15220
TIP,20200130,18.1,18.1,17.1,17.2,37580
TLD,20200130,4.43,4.52,4.38,4.4,108480
TLG,20200130,41.75,41.75,39.6,40.6,7880
TLH,20200130,3.77,3.99,3.77,3.77,510650
TMP,20200130,35.5,35.5,35.5,35.5,520
TMS,20200130,29,29,29,29,980
TMT,20200130,5.57,5.57,5.57,5.57,300
SRF,20200130,14,14.15,13.8,14,2260
SSC,20200130,50.6,50.6,45.3,45.3,570
SSI,20200130,18.95,18.95,18.1,18.5,2412920
ST8,20200130,15.5,15.5,15.5,15.5,30
STB,20200130,10.8,10.8,10.2,10.35,8264520
STG,20200130,17,17,15.7,16.85,30
STK,20200130,18.35,18.5,17.5,17.55,340720
SVC,20200130,39.6,39.6,39.6,39.6,10000
SVI,20200130,63.8,63.8,63.8,63.8,310
SZC,20200130,15.55,15.95,15.5,15.6,62050
SZL,20200130,40.1,40.1,37.6,37.6,41620
TAC,20200130,25.3,25.3,23.55,23.55,30
TBC,20200130,23.8,25,23.8,25,20
TCB,20200130,23.5,23.8,22.75,22.9,4013510
TCD,20200130,10.1,10.65,10.1,10.65,310
TCH,20200130,40.5,40.65,40.5,40.65,767580
TCL,20200130,20.5,20.5,20.1,20.1,4650
TCM,20200130,22,23.1,21.5,22.2,862500
TCR,20200130,2.37,2.69,2.37,2.62,1270
TCT,20200130,43.8,47,43.8,44,600
TDC,20200130,8.35,8.45,8.25,8.34,61280
TDG,20200130,1.61,1.67,1.61,1.61,39430
TDH,20200130,10.25,10.25,9.97,9.97,450040
TDM,20200130,24.7,24.7,23.6,24,27700
TDW,20200130,24.2,24.2,24.2,24.2,50
SCR,20200130,5.27,5.38,5.2,5.21,1295990
SCS,20200130,129.5,130,126,130,27940
SFC,20200130,21,21.4,21,21.4,390
SFG,20200130,6.1,6.1,6.01,6.09,16050
SFI,20200130,22.45,22.9,21.75,22.9,1430
SGN,20200130,87,87,84,86.8,270
SGR,20200130,15.8,15.8,15.8,15.8,1280
SGT,20200130,4.8,5.08,4.79,5.08,30510
SHA,20200130,4.43,4.43,4.43,4.43,10
SHI,20200130,9.05,9.2,8.8,9,338210
SHP,20200130,21.6,21.6,21.6,21.6,60
SII,20200130,17.7,17.7,17.7,17.7,80
SJD,20200130,17.5,17.7,17.45,17.45,18980
SJF,20200130,1.72,1.77,1.7,1.77,843070
SJS,20200130,17.4,17.4,16.8,17,90100
SKG,20200130,12.1,12.1,11.65,11.8,252160
SMA,20200130,13.15,13.15,13.15,13.15,60
SMB,20200130,33.5,33.5,31.5,31.5,47400
