<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAV,20200403,4.6,5,4.6,5,48400
ACB,20200403,18.1,19.4,18.1,19.1,3574343
ACM,20200403,0.4,0.5,0.4,0.4,340650
ADC,20200403,10.2,10.2,10.2,10.2,100
ALT,20200403,11.3,11.3,11.3,11.3,100
AMV,20200403,12,12.5,11.5,12.5,432474
API,20200403,8.3,8.3,8.3,8.3,100
APS,20200403,1.9,2,1.9,2,33624
ART,20200403,2.2,2.2,2.2,2.2,352430
BAX,20200403,37.6,37.6,37.6,37.6,100
BCC,20200403,5.2,5.6,5.2,5.4,125600
BII,20200403,0.6,0.6,0.6,0.6,1096600
BKC,20200403,6.5,6.5,5.4,5.4,500
BLF,20200403,2.7,2.7,2.7,2.7,4600
BTS,20200403,4,4,3.6,3.6,2700
BVS,20200403,8.3,8.6,8.1,8.6,70600
C69,20200403,4.5,5,4.4,4.8,518900
CAN,20200403,23.5,26.2,23.5,26.2,727
CAP,20200403,29.5,30.7,29.4,29.6,16640
CDN,20200403,18.5,18.5,18.5,18.5,10
CEO,20200403,6.1,6.2,6,6.2,1409051
CET,20200403,2.3,2.5,2.3,2.5,5000
CIA,20200403,9,9.4,9,9.2,14100
CLH,20200403,17.3,17.3,17.3,17.3,100
CPC,20200403,18.9,19.1,18.9,19.1,1000
CSC,20200403,23.4,24.5,23.4,24.5,21800
CTP,20200403,3.1,3.1,3,3,25500
CTT,20200403,9,9.1,9,9.1,6600
CTX,20200403,9.1,9.1,8.8,9,1910
CVN,20200403,8,8,8,8,210
D11,20200403,14,14,14,14,1000
DAD,20200403,15,15,15,15,3300
DAE,20200403,14,14.5,14,14.5,3500
DBT,20200403,10,10,10,10,600
DDG,20200403,27.3,27.8,27.1,27.8,82100
DGC,20200403,20,20.9,19.5,19.9,250750
DHP,20200403,9.7,9.7,9.7,9.7,1200
DHT,20200403,44.5,44.6,42.5,44.2,2111
DNM,20200403,26.8,26.8,24.4,26.8,99020
DNP,20200403,17.5,17.5,17.5,17.5,2100
DNY,20200403,2.4,2.4,2.4,2.4,8500
DP3,20200403,63,63,63,63,3500
DPC,20200403,9.8,9.8,9,9,1200
DPS,20200403,0.2,0.3,0.2,0.2,471004
DS3,20200403,2.8,2.9,2.8,2.8,9100
DST,20200403,1.2,1.2,1.2,1.2,472000
DTD,20200403,9.8,10.1,9.8,10.1,26963
DXP,20200403,8.5,8.7,8.5,8.7,500
DZM,20200403,2.5,2.5,2.5,2.5,100
EBS,20200403,7,7,7,7,2000
EID,20200403,10.8,11.3,10.8,11.3,2410
EVS,20200403,9,9,9,9,100
FID,20200403,1,1,1,1,500
GKM,20200403,15.5,15.5,14.9,15.5,195400
HAD,20200403,12.5,12.9,12.5,12.7,5300
HAT,20200403,22,22,22,22,100
HBS,20200403,1.9,1.9,1.8,1.8,1600
HCC,20200403,9.1,9.2,9,9.2,5900
HDA,20200403,6.7,6.8,6.7,6.7,43000
HEV,20200403,12.6,12.6,12.6,12.6,300
HHG,20200403,1,1,0.9,1,12700
HHP,20200403,13.2,13.7,13.2,13.5,136570
HKB,20200403,0.7,0.7,0.6,0.6,163700
HKT,20200403,3.5,3.5,3.5,3.5,17025
HLC,20200403,7,7.2,7,7.2,1100
HLD,20200403,16.7,16.7,16.7,16.7,2200
HMH,20200403,8.7,8.7,8.7,8.7,900
HOM,20200403,2.6,2.7,2.5,2.5,10600
HTC,20200403,21.6,25,21.6,25,8400
HUT,20200403,1.4,1.5,1.4,1.5,1698315
ICG,20200403,5.7,5.8,5.5,5.8,23600
IDC,20200403,15.8,15.8,15.8,15.8,1000
IDJ,20200403,14.5,15.5,13.7,14.2,460930
IDV,20200403,31.4,32.8,30,32.8,9533
INN,20200403,21.5,23.4,21.5,23.4,1420
ITQ,20200403,2.2,2.3,2.2,2.3,223100
IVS,20200403,7,7.2,6.8,7.2,3510
KDM,20200403,1.7,1.7,1.7,1.7,1100
KHS,20200403,11,11,11,11,600
KKC,20200403,4.3,4.3,4.1,4.3,7600
KLF,20200403,1.6,1.6,1.5,1.6,6173661
KSQ,20200403,1.1,1.2,1,1.2,49900
KST,20200403,15.8,16,15,16,7500
KTS,20200403,7.3,8,7.3,8,235
KVC,20200403,0.7,0.8,0.7,0.8,142550
L14,20200403,54.2,57,54.2,55.4,57550
