<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
A32,20200407,26.5,26.5,26.5,26.5,1700
ABC,20200407,8.8,8.8,8.6,8.8,35300
ABI,20200407,23,23,23,23,9000
ACS,20200407,7.8,7.8,7.8,7.8,500
ACV,20200407,49.5,55,48,48.5,194188
ADG,20200407,92.8,92.8,92.7,92.7,700
AFX,20200407,3,3.1,3,3.1,10310
AMS,20200407,6.8,6.8,6.8,6.8,500
APF,20200407,23.5,24,23.5,23.5,9900
ATB,20200407,0.5,0.6,0.5,0.6,1800
BAB,20200407,17.7,17.7,17.7,17.7,2600
BAL,20200407,10.9,10.9,10.9,10.9,100
BBT,20200407,19.5,19.5,19.5,19.5,3000
BCM,20200407,19.8,20,19,19,15400
BDG,20200407,25.8,34.6,25.8,34.6,200
BDT,20200407,16,16.3,15.7,16.3,33400
BEL,20200407,9.5,10.9,9.5,9.5,3100
BHP,20200407,4.1,4.1,4.1,4.1,100
BKH,20200407,35,35.9,35,35.9,900
BLI,20200407,6.2,6.5,6.1,6.5,10500
BMF,20200407,12.4,14.5,12.4,12.8,700
BMS,20200407,3.8,3.8,3.4,3.4,300
BOT,20200407,55.4,55.4,55.1,55.2,28600
BQB,20200407,4.5,4.5,4.5,4.5,5000
BSA,20200407,13.4,13.7,13.3,13.7,25400
BSH,20200407,14.5,14.5,14.5,14.5,3500
BSP,20200407,15.1,17.4,15.1,17.4,500
BSR,20200407,6.1,6.1,5.6,5.7,4013139
BTD,20200407,15.5,16.1,15.4,15.6,3820
BTG,20200407,5.5,5.5,5.5,5.5,200
BTH,20200407,3.3,3.3,3.3,3.3,100
BVG,20200407,1.2,1.4,1.2,1.4,10000
C12,20200407,2.3,2.4,2.3,2.4,10500
C21,20200407,18.9,18.9,18.7,18.7,8100
C4G,20200407,4.2,4.3,4.2,4.2,248750
CAT,20200407,11.6,11.6,11.4,11.4,2000
CCM,20200407,17.7,17.7,17.7,17.7,100
CDO,20200407,0.8,0.8,0.8,0.8,75622
CDP,20200407,7.1,7.2,7.1,7.2,600
CEN,20200407,4.8,5.4,4.8,5.2,9903
CGV,20200407,1.7,1.9,1.7,1.9,700
CI5,20200407,3.8,3.9,3.8,3.8,9400
CID,20200407,4.3,4.3,4.3,4.3,100
CKA,20200407,39.9,39.9,39.9,39.9,20
CLX,20200407,11.1,11.1,11,11.1,18000
CMN,20200407,54,54,54,54,200
CMT,20200407,6,6,5.5,6,720
CNC,20200407,19,19,19,19,100
CTR,20200407,34.8,35.8,33.9,34.3,459473
DBM,20200407,39.1,39.1,33,33,200
DC1,20200407,9,9.5,9,9.5,500
DCR,20200407,2.4,2.7,2.1,2.1,400
DDN,20200407,8.9,8.9,8.9,8.9,200
DNL,20200407,20.5,20.5,20.5,20.5,100
DNW,20200407,14.2,15.9,14.2,15.9,500
DP1,20200407,14.1,14.1,14,14,6700
DPH,20200407,23.1,23.1,23.1,23.1,1300
DRI,20200407,3.8,3.9,3.5,3.7,294303
DSC,20200407,4.4,4.4,4.1,4.2,2100
DSP,20200407,14.6,15,11.9,14.5,2400
DTV,20200407,29,29,29,29,100
DVN,20200407,10.1,10.2,9.9,10.1,68147
EMS,20200407,38.5,38.5,38.5,38.5,10
EVF,20200407,6.7,6.7,6.6,6.6,27897
FOC,20200407,118.9,120,118.9,120,700
FOX,20200407,42.5,42.5,42,42.5,8400
G36,20200407,4,4.1,3.7,3.8,422800
GHC,20200407,30.5,30.9,30,30.9,2700
GND,20200407,23.2,23.2,22.6,23.2,1800
GVT,20200407,26.5,26.5,26.5,26.5,10000
HAC,20200407,4.6,4.6,4.6,4.6,6080
HBW,20200407,12,12,12,12,2800
HD2,20200407,6.5,6.5,6.5,6.5,100
HD8,20200407,5.3,5.3,5.3,5.3,400
HDM,20200407,13.7,14.3,13.7,14.3,700
HDW,20200407,12,12,12,12,10000
HEJ,20200407,21.7,21.7,19,19,200
HFC,20200407,12.6,12.6,12.6,12.6,100
HHV,20200407,16,18.5,16,18.5,1600
HIG,20200407,5.5,6.7,5.5,6.7,600
HIZ,20200407,21,21,21,21,800
HLT,20200407,18.3,18.3,18.3,18.3,273160
HMS,20200407,18.1,18.1,17.5,17.5,400
HNB,20200407,8.3,8.3,8.3,8.3,100
HND,20200407,15.1,15.1,14.8,14.9,78100
HNE,20200407,10.5,10.5,10.4,10.4,12000
HNF,20200407,26.5,26.9,26.5,26.9,1900
HNI,20200407,35.5,35.5,35.5,35.5,100
HPB,20200407,13.1,13.1,13.1,13.1,100
HPP,20200407,34.9,38.9,34.9,34.9,13100
HSI,20200407,0.8,0.9,0.8,0.9,700
HTE,20200407,5.1,5.1,5.1,5.1,2100
HTG,20200407,18,18.2,17,17.9,2000
HTM,20200407,12.5,12.8,11.3,12.8,41310
HU4,20200407,7.5,7.5,7.5,7.5,100
HU6,20200407,5.7,5.7,5.7,5.7,200
ICC,20200407,38.8,38.8,38.8,38.8,100
ICF,20200407,1.2,1.2,1.2,1.2,300
ICN,20200407,53.8,53.8,51,51,900
IFC,20200407,5.1,5.1,5.1,5.1,600
IFS,20200407,15.7,15.7,15.5,15.5,500
ILA,20200407,2.9,3,2.6,2.6,10300
ILS,20200407,11.6,12.2,11.6,12.2,5400
ISH,20200407,13.8,13.8,13.6,13.6,3500
KDF,20200407,26.5,26.5,25.6,25.6,4410
KGM,20200407,3.8,3.8,3.8,3.8,100
