<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
A32,20200423,26.8,26.8,26.8,26.8,1900
ABC,20200423,9.7,9.7,9.6,9.7,3800
ABI,20200423,24,24,24,24,1200
ACS,20200423,11.9,11.9,9.3,9.3,1100
ACV,20200423,60,61.6,60,60.7,330176
ADG,20200423,93.1,93.8,92.9,93.6,9100
ADP,20200423,16.2,16.2,16.2,16.2,100
AFX,20200423,4.8,4.8,4.5,4.6,55000
AGP,20200423,19,19,19,19,100
AMS,20200423,6.5,6.5,6.5,6.5,500
APF,20200423,26.5,26.5,23,26.4,3000
ATB,20200423,0.5,0.6,0.5,0.6,22600
BAB,20200423,17.9,17.9,17.9,17.9,2800
BAL,20200423,12.3,12.3,12.3,12.3,100
BBT,20200423,18.1,18.1,18.1,18.1,110
BCM,20200423,22.2,22.2,20.7,21,55800
BDG,20200423,30,30,29.4,30,11300
BDT,20200423,16.6,17.5,16.3,17.5,59700
BHP,20200423,8.5,8.5,8.5,8.5,300
BKH,20200423,35,35,35,35,100
BLI,20200423,6.3,6.4,6.3,6.4,5400
BMF,20200423,13.2,13.2,13.2,13.2,100
BMS,20200423,2.8,2.8,2.8,2.8,500
BOT,20200423,54.7,54.7,54.1,54.1,28700
BQB,20200423,4.5,4.5,4.5,4.5,5000
BRR,20200423,8,8,8,8,600
BSA,20200423,13.9,13.9,13.9,13.9,1020
BSP,20200423,15.5,15.5,15,15,700
BSQ,20200423,19,19.1,19,19,2400
BSR,20200423,5.9,6.1,5.7,6,3418414
BT1,20200423,18,18,17,17,12000
BTD,20200423,16.1,16.1,15.5,15.5,4200
BUD,20200423,4.8,4.8,4.8,4.8,2000
BVG,20200423,1.2,1.2,1.2,1.2,200
BWS,20200423,37,37,37,37,600
C12,20200423,3.7,3.7,3.5,3.5,2100
C21,20200423,22.3,22.3,22.3,22.3,100
C4G,20200423,5.5,5.6,5.3,5.5,335957
CAT,20200423,8.9,9.4,8.9,9.4,2200
CCM,20200423,22.7,22.7,22.7,22.7,300
CCR,20200423,15.3,15.3,15,15,300
CDO,20200423,0.8,0.8,0.8,0.8,85371
CEN,20200423,4.8,5.2,4.8,5.2,9800
CHS,20200423,6.6,6.9,6.6,6.9,2500
CID,20200423,3.5,3.5,3.5,3.5,200
CKD,20200423,17.1,17.1,17.1,17.1,100
CMT,20200423,6.4,6.6,6.4,6.6,710
CNC,20200423,19,19,19,19,500
CQT,20200423,3.1,3.1,3.1,3.1,400
CTR,20200423,38.5,39.5,38.1,38.3,308651
DCR,20200423,2.1,2.1,2.1,2.1,2900
DDV,20200423,5.7,5.7,5.7,5.7,10000
DGT,20200423,83.1,83.1,83.1,83.1,210
DHD,20200423,31.6,31.6,31.6,31.6,100
DNA,20200423,20,20,20,20,100
DND,20200423,20.9,20.9,20.9,20.9,100
DNE,20200423,9,9,8.8,8.8,500
DNW,20200423,16.3,16.3,16.3,16.3,2000
DP1,20200423,11.8,14.4,11.8,14,2600
DRI,20200423,3.8,4.1,3.7,4,586210
DVN,20200423,10.9,10.9,10.6,10.9,118000
EIN,20200423,4.1,4.1,4.1,4.1,1019
EVF,20200423,7.1,7.6,7.1,7.3,95875
FOC,20200423,125,126,122,126,1710
FOX,20200423,46,46.9,45.6,46.1,8300
FRC,20200423,12.6,12.6,12.6,12.6,100
G36,20200423,4.7,4.9,4.6,4.8,514000
GHC,20200423,31.3,31.3,31,31,4900
GSM,20200423,8,8,8,8,2400
GTS,20200423,8.8,9,8.8,9,800
GVT,20200423,35.1,36,35,36,7016
HAC,20200423,4.6,4.6,4.6,4.6,200
HDM,20200423,15.2,15.2,15.2,15.2,300
HDW,20200423,12,12,12,12,2300
HEJ,20200423,19.5,19.5,19.4,19.5,6000
HEM,20200423,13.5,13.9,13.5,13.9,2000
HHV,20200423,13.8,17.2,13.8,17.2,600
HIG,20200423,8,8.3,8,8.3,900
HIZ,20200423,29.5,29.5,29.5,29.5,100
HJC,20200423,5.5,5.5,5.5,5.5,500
HLB,20200423,88.5,88.5,88.5,88.5,30
HLS,20200423,20.2,20.2,20.2,20.2,400
HMS,20200423,20,20,20,20,2000
HNA,20200423,11.4,11.4,11.4,11.4,170
HND,20200423,16.3,16.5,16.1,16.3,221600
HNF,20200423,26.3,26.3,26.3,26.3,4200
HPB,20200423,15.4,15.4,15.4,15.4,1400
HPI,20200423,15.2,15.4,15.2,15.4,200
HPP,20200423,42.8,42.8,42.8,42.8,100
HPT,20200423,8.3,9,8.3,8.5,1200
HRT,20200423,3,3,3,3,3100
HSI,20200423,0.9,0.9,0.9,0.9,1000
HTM,20200423,11.7,12.4,11.7,11.8,4500
HU4,20200423,5.4,5.4,5.4,5.4,100
HU6,20200423,7.2,7.2,5.8,5.8,200
ICF,20200423,0.8,0.9,0.8,0.9,400
ICN,20200423,68,68,68,68,300
IFS,20200423,17.6,17.6,17.6,17.6,200
ILA,20200423,2.5,2.8,2.5,2.6,1000
ILS,20200423,12.2,12.2,12.2,12.2,500
ITS,20200423,3,3,3,3,9600
KDF,20200423,24.4,24.6,24,24.2,10600
KHA,20200423,42.4,42.4,42.4,42.4,6
KHD,20200423,9.2,9.6,9.2,9.6,10957
KLB,20200423,10.9,10.9,10.9,10.9,100
L12,20200423,5,5,5,5,100
LGM,20200423,13,13,13,13,200
LLM,20200423,16.8,16.8,16.8,16.8,100
LMC,20200423,10,10,10,10,200
LPB,20200423,7,7.2,6.9,7,2012076
LTG,20200423,20,20.5,19.7,19.7,140830
M10,20200423,22.2,22.2,20.1,20.2,34000
MCH,20200423,66,67,65,67,15164
MFS,20200423,22.8,22.8,22,22.1,1831
MGG,20200423,37,37,37,37,100
MH3,20200423,33,33,33,33,300
MIC,20200423,5.1,5.1,5.1,5.1,300
MIG,20200423,10.3,10.3,9.4,9.4,300
MKP,20200423,47.6,47.6,47.5,47.5,500
MLS,20200423,12.8,13,12.7,12.8,1500
MML,20200423,50.6,54,50.2,52.7,11538
MPC,20200423,23.5,23.9,22.6,23,122411
MQN,20200423,41,41,40.1,40.8,700
MSR,20200423,15.6,16,15.2,15.4,30200
MTA,20200423,1.2,1.2,1.2,1.2,3200
NCP,20200423,7.1,7.1,7,7,16200
NCS,20200423,20.5,20.6,20.5,20.5,24560
NDT,20200423,3.6,3.6,3.6,3.6,100
NHT,20200423,26.7,27,25.7,26,1300
NMK,20200423,6.3,6.3,6.3,6.3,100
NNG,20200423,8.7,8.9,8.7,8.9,39300
NQN,20200423,12.8,12.8,12.8,12.8,100
NTC,20200423,159,161.9,158.3,159.6,47400
NUE,20200423,9.4,9.4,8.2,8.6,2700
OIL,20200423,7.3,7.9,7.2,7.7,2186098
ORS,20200423,5.5,5.8,5.5,5.8,23400
PCN,20200423,1.8,1.8,1.8,1.8,200
PDT,20200423,9.8,9.8,8,8,200
PFL,20200423,0.6,0.7,0.6,0.6,37460
PJS,20200423,9.3,9.3,9.3,9.3,100
PNT,20200423,7,7,7,7,100
POB,20200423,5.5,5.5,5.5,5.5,237800
POS,20200423,7.1,8,7.1,8,200
PPI,20200423,0.4,0.4,0.3,0.4,441240
PSB,20200423,3.1,3.1,3.1,3.1,1906
PSL,20200423,22.5,22.5,19.5,22,1460
PSN,20200423,8.8,8.8,8.8,8.8,100
PTV,20200423,5,5,4.9,4.9,1400
PTX,20200423,1.9,1.9,1.9,1.9,100
PVO,20200423,2.9,2.9,2.9,2.9,6500
PVP,20200423,5.5,5.8,5.4,5.7,74419
PVV,20200423,0.4,0.5,0.4,0.5,209100
PWA,20200423,8.8,9,8.6,8.7,88300
PWS,20200423,28,28,28,28,100
PXL,20200423,8.4,8.5,8.4,8.5,283675
QCC,20200423,10.5,10.5,10.5,10.5,25
QNS,20200423,22.6,22.7,22.5,22.7,34820
QSP,20200423,16.6,16.6,16.6,16.6,1100
QTP,20200423,10.6,10.6,10.4,10.6,95300
RAT,20200423,7.9,7.9,7.9,7.9,1000
RCD,20200423,7.6,7.6,7.5,7.5,10000
SAC,20200423,9.1,9.1,9,9,2200
SAS,20200423,28,30,27.5,27.8,24215
SBD,20200423,8.8,8.8,8.8,8.8,100
SBL,20200423,12,12,12,12,1100
SBS,20200423,0.9,1,0.9,1,12410
SCJ,20200423,1.9,1.9,1.9,1.9,700
SD3,20200423,1.4,1.8,1.4,1.8,500
SD7,20200423,2.8,2.8,2.8,2.8,5410
SDD,20200423,3.1,3.1,3.1,3.1,171
SDK,20200423,30.9,31,30.9,30.9,3400
SDP,20200423,1,1,0.8,0.8,16100
SDV,20200423,18.8,18.8,18.5,18.5,700
SGP,20200423,6.1,6.2,5.8,6.1,77600
SGS,20200423,15.2,15.2,15.2,15.2,100
SIG,20200423,4.2,4.2,3.2,3.2,1300
SIP,20200423,77,77,73,75,10720
SKH,20200423,18.8,19.1,18.6,18.9,5200
SNZ,20200423,18.8,19.4,18.3,18.3,35200
SPB,20200423,40.7,40.7,40.7,40.7,100
SPC,20200423,15.9,15.9,15.9,15.9,1009
SRB,20200423,0.8,0.8,0.7,0.7,3500
SRT,20200423,3.5,3.5,3.5,3.5,100
SSN,20200423,3,3.1,2.9,3,29400
STH,20200423,22.4,22.5,22.3,22.4,59000
STV,20200423,12.8,12.8,12.8,12.8,100
SWC,20200423,12.7,12.7,12.5,12.7,2140
SZE,20200423,9.6,9.6,9.4,9.5,4100
TBD,20200423,93.5,93.5,93.5,93.5,100
TIS,20200423,7.1,7.1,7.1,7.1,100
TL4,20200423,8,8,8,8,100
TNB,20200423,11.5,11.5,11.5,11.5,3100
TND,20200423,13.5,13.5,13.3,13.5,18000
TNW,20200423,12.5,12.5,12.5,12.5,200
TRT,20200423,10,10,10,10,500
TTN,20200423,8,8.4,7.8,8,62000
TTP,20200423,29.2,29.4,29.2,29.4,2300
TVN,20200423,6.2,6.2,6,6,83900
UDJ,20200423,7.6,8,7.6,7.7,5600
VBB,20200423,14.7,15,14.5,14.8,1067
VCP,20200423,48.7,50,46.8,50,38259
VCW,20200423,34.9,35,34.9,35,19500
VCX,20200423,5.7,5.7,5.7,5.7,3600
VEA,20200423,33.8,34.8,33.5,34.1,139360
VEC,20200423,8.2,8.2,8.1,8.1,200
VEF,20200423,73.5,75,71.5,74.9,12500
VET,20200423,52,52,52,52,100
VGG,20200423,41.4,41.4,40.8,41.4,8403
VGI,20200423,25.9,26.4,25.5,25.6,339260
VGT,20200423,8,8,7.6,7.7,113800
VHD,20200423,4.1,4.7,4.1,4.7,16600
VHG,20200423,0.7,0.7,0.6,0.7,45846
VIB,20200423,14.5,14.9,14.5,14.5,353550
VIM,20200423,16.2,16.9,16.2,16.9,3200
VLB,20200423,34,34,34,34,300
VLC,20200423,18.5,18.5,16.7,16.7,4600
VMG,20200423,3,3,3,3,4700
VNA,20200423,2.4,2.6,2.3,2.6,62400
VNH,20200423,1,1,0.8,0.8,39600
VNP,20200423,4.5,4.5,4.2,4.2,11400
VNX,20200423,60.3,60.3,60.3,60.3,100
VOC,20200423,12.5,12.5,11.4,11.6,37610
VRG,20200423,9.9,10,9.8,9.9,23610
VSF,20200423,7.6,8,7.3,7.3,4500
VSN,20200423,25.1,27,25,26.2,12120
VTD,20200423,33,33.4,33,33.3,65400
VTK,20200423,25,25.9,25,25.5,6163
VTP,20200423,118,125,118,123.9,67899
VTR,20200423,41.6,42.2,40.9,41,9630
VW3,20200423,13.8,13.8,13.8,13.8,2500
