<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAV,20200723,5.3,5.4,5.1,5.3,197330
ACB,20200723,24.4,24.4,24,24.2,1955757
ACM,20200723,0.7,0.8,0.6,0.7,410040
ALT,20200723,11.2,12.4,11.2,12.4,5600
AMC,20200723,17.3,17.3,17.3,17.3,200
AMV,20200723,16.8,16.9,16.6,16.8,285585
API,20200723,9,9,9,9,100
APP,20200723,3.5,3.5,3.5,3.5,400
APS,20200723,2.4,2.4,2.4,2.4,100
ART,20200723,2.5,2.5,2.3,2.4,1128652
BBS,20200723,11.7,11.7,11.7,11.7,1500
BCC,20200723,7.1,7.2,7,7.2,50400
BCF,20200723,48,51.5,48,51.5,200
BII,20200723,0.7,0.8,0.7,0.7,311100
BSC,20200723,13,13,13,13,100
BTS,20200723,5,5,5,5,40
BVS,20200723,10,10,9.8,10,44610
C69,20200723,5.9,6,5.8,5.9,55520
CAN,20200723,22.6,22.6,22.6,22.6,600
CAP,20200723,30.5,30.9,30.5,30.9,17160
CEO,20200723,7.8,7.8,7.6,7.6,751201
CET,20200723,2.2,2.2,1.8,2.2,52700
CIA,20200723,11.2,11.4,11.2,11.4,4400
CKV,20200723,12.4,12.4,12.4,12.4,200
CLH,20200723,18.9,18.9,18.5,18.8,3900
CMC,20200723,5,5,5,5,56
CMS,20200723,3.7,3.9,3.6,3.7,126200
CPC,20200723,16.5,16.5,16.5,16.5,200
CSC,20200723,23,23,22.5,22.9,4600
CTP,20200723,2.6,2.6,2.5,2.5,214500
CTX,20200723,8.2,8.2,8.2,8.2,1500
CVN,20200723,12.3,12.6,11.6,12.6,15500
D11,20200723,18.4,19,18.4,18.8,12900
DBT,20200723,11.1,11.1,11.1,11.1,300
DC2,20200723,6.8,6.8,6.8,6.8,215
DDG,20200723,26.8,27,26.6,26.8,216900
DHP,20200723,9.5,9.5,9.5,9.5,1500
DHT,20200723,53.3,53.9,52,53.7,88875
DL1,20200723,29,29,29,29,100
DNM,20200723,41,41,38,39.7,17460
DNP,20200723,17.9,18.1,17.5,18.1,46010
DP3,20200723,70,70,70,70,500
DPC,20200723,13.6,13.6,13.6,13.6,300
DS3,20200723,3.5,3.5,3.4,3.5,28600
DST,20200723,7,7.2,6.3,6.3,1403322
DTD,20200723,14.5,14.5,14.2,14.5,104640
