<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
ABC,20200623,10.3,10.3,10.3,10.3,8000
ABI,20200623,28.3,29,28.3,28.7,15300
ABR,20200623,24.8,24.8,24.8,24.8,100
ACE,20200623,29,29,29,29,100
ACV,20200623,63.4,65.3,62.6,63,462784
ADG,20200623,105.5,105.6,103.5,103.5,14920
AFX,20200623,5.5,5.7,5.4,5.5,243768
AGP,20200623,17.1,17.1,17.1,17.1,123
AGX,20200623,27,27,27,27,100
AMS,20200623,8.2,8.3,7.1,7.3,8200
ATB,20200623,0.7,0.8,0.7,0.8,95400
BAB,20200623,18.3,18.3,18.3,18.3,2700
BCM,20200623,26.7,26.9,26.6,26.9,89796
BCP,20200623,12,12,12,12,100
BDG,20200623,29.7,29.7,29.5,29.5,4700
BDT,20200623,18,18,17.7,17.9,16900
BHK,20200623,13,13,13,13,100
BHP,20200623,4.5,4.5,4.5,4.5,100
BLI,20200623,6.5,6.5,6.5,6.5,205
BMF,20200623,15.2,15.2,15.2,15.2,100
BOT,20200623,51.1,51.2,50.9,50.9,27900
BPW,20200623,20.8,21.7,20.8,21.7,6500
BRR,20200623,9.1,9.1,9.1,9.1,100
BSA,20200623,11.9,11.9,11.7,11.7,17720
BSP,20200623,17.8,17.8,17.8,17.8,6700
BSQ,20200623,21.5,21.5,21,21,200
BSR,20200623,7.4,7.5,6.3,7.3,2997559
BTD,20200623,22.4,22.4,22.4,22.4,200
BTV,20200623,33.5,33.9,33,33.9,17700
BUD,20200623,4.9,4.9,4.5,4.5,1200
BVG,20200623,1.4,1.4,1.4,1.4,3500
BWS,20200623,36,36,35.5,35.5,1200
C21,20200623,21.7,21.7,21.7,21.7,300
C4G,20200623,7,7.4,7,7.3,1452108
CAT,20200623,10,10,10,10,6000
CC4,20200623,9,9,9,9,1000
CDO,20200623,0.9,0.9,0.9,0.9,89200
CEN,20200623,7.1,7.1,6.7,6.7,13816
CI5,20200623,5,5,4,4,200
CKA,20200623,18,18,18,18,200
CLX,20200623,12.5,12.5,12.5,12.5,30
CMN,20200623,44,44,44,44,500
CMT,20200623,6.4,6.4,6.4,6.4,100
CTR,20200623,45.2,45.4,44.7,45.2,168646
DAC,20200623,2.9,2.9,2.9,2.9,38
DAR,20200623,9.7,9.7,9.7,9.7,500
DID,20200623,3.4,3.4,3.4,3.4,1027
DNR,20200623,12,12,12,12,1200
DNW,20200623,16.5,16.5,16.4,16.4,200
DP1,20200623,10.9,10.9,10.9,10.9,10
DPH,20200623,22.5,22.5,22.5,22.5,100
DPP,20200623,16.5,16.6,16.5,16.6,1100
DRI,20200623,5.1,5.1,4.4,4.9,586110
DSC,20200623,6,6,6,6,800
DSP,20200623,12.5,12.6,11.1,11.8,7700
DTC,20200623,8.1,8.1,8.1,8.1,300
DVC,20200623,13.4,13.4,13.4,13.4,100
DVN,20200623,11.1,11.1,11,11,129310
EIC,20200623,8,9.4,8,9.4,1100
EIN,20200623,4,4,4,4,2120
EMS,20200623,38.5,38.5,38.5,38.5,100
EVF,20200623,7.2,7.3,7.1,7.3,264459
FOC,20200623,118.5,118.5,118.5,118.5,20
FOX,20200623,57.6,57.6,56.2,56.3,22845
FT1,20200623,29,29,29,29,1000
G36,20200623,6.3,6.4,6,6.2,771000
GCB,20200623,3.9,3.9,3.9,3.9,100
GHC,20200623,32,32,32,32,100
GND,20200623,24.5,24.9,24.5,24.9,300
GSM,20200623,8.4,8.6,8.4,8.6,17400
GVT,20200623,29.1,29.1,29.1,29.1,1303
HAC,20200623,4.7,5,4.7,4.9,5684
HAN,20200623,14.4,14.4,14.4,14.4,1000
HD2,20200623,5.4,5.4,5.3,5.3,400
HDP,20200623,10.2,10.2,10,10,3000
HDW,20200623,10.6,10.6,10.6,10.6,100
HEC,20200623,46.1,50,46,46.6,1400
HEM,20200623,12.6,12.6,12.6,12.6,1000
HEP,20200623,8.8,8.8,8.8,8.8,100
HFC,20200623,10.2,10.2,10.2,10.2,300
HFT,20200623,11,11,11,11,100
HHV,20200623,16.5,16.5,16.2,16.2,1700
HIG,20200623,7.5,7.5,7.5,7.5,2000
HLB,20200623,100,100,100,100,1500
HNA,20200623,11.2,11.2,11.2,11.2,100
HND,20200623,18.5,19.5,18.3,19.3,762408
HNF,20200623,25,25,25,25,200
HPD,20200623,15.8,15.8,15.8,15.8,1900
HPP,20200623,36,36,36,36,1000
HSI,20200623,1.1,1.1,1.1,1.1,3000
HSP,20200623,12.5,12.5,12.5,12.5,1000
HTE,20200623,5,5.3,5,5.3,3390
HTM,20200623,12.6,12.6,12,12.2,19900
HU4,20200623,6.3,7.2,6.3,7.2,26300
HU6,20200623,5,5,5,5,100
ICC,20200623,37.9,37.9,37.9,37.9,100
ICF,20200623,1.1,1.2,1.1,1.2,55082
ICN,20200623,72,72,72,72,300
ILA,20200623,2.6,2.6,2.5,2.5,6220
ILC,20200623,2.9,2.9,2.9,2.9,100
ILS,20200623,12.8,12.8,11.5,11.5,900
ITS,20200623,3.1,3.7,3.1,3.6,25500
