<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
A32,20200422,26.3,26.9,26,26,1000
ABC,20200422,9.6,9.7,9.6,9.6,16810
ABI,20200422,23.7,24,23.7,24,3940
ACE,20200422,22.7,22.7,22.7,22.7,7
ACS,20200422,10.9,10.9,10.9,10.9,100
ACV,20200422,58.9,60,57,59.8,255443
ADG,20200422,92.7,92.9,92.2,92.9,9700
ADP,20200422,16.1,16.1,16.1,16.1,200
AFX,20200422,4.6,4.8,4.4,4.6,99100
AGP,20200422,17,17,17,17,602
AMS,20200422,6.9,6.9,6.9,6.9,300
APF,20200422,26.4,26.5,26,26,2700
ATB,20200422,0.5,0.6,0.5,0.6,200
BAB,20200422,17.8,17.8,17.8,17.8,2600
BBT,20200422,18,18,18,18,300
BCM,20200422,20.5,22.3,20.1,21.3,43703
BCP,20200422,11.2,11.2,11,11,2500
BDG,20200422,26.7,33.2,26.7,29.4,6900
BDT,20200422,15.3,15.9,15.2,15.9,1100
BDW,20200422,13,13,13,13,200
BEL,20200422,10,10,10,10,31
BHK,20200422,13.1,13.1,13.1,13.1,100
BLI,20200422,6.4,6.4,6.4,6.4,100
BMF,20200422,13.7,16.4,13.7,16.4,300
BMS,20200422,3,3.2,3,3.2,3700
BOT,20200422,54.3,54.5,54.3,54.4,28300
BRR,20200422,8.1,8.1,8.1,8.1,100
BSA,20200422,13.8,14.1,13.8,13.8,12030
BSL,20200422,11.5,11.5,11.5,11.5,100
BSR,20200422,5.5,5.8,5.3,5.8,4836352
BT1,20200422,16.3,16.3,16.3,16.3,900
BTD,20200422,15.7,15.7,15.7,15.7,1012
BWS,20200422,35.2,37.1,35.2,37,5634
C12,20200422,3.8,3.8,3.6,3.6,1100
C21,20200422,20,20,19,19,400
C4G,20200422,5.2,5.5,5.1,5.5,275024
CAT,20200422,9.1,9.1,8.9,9.1,3400
CC4,20200422,8,8,8,8,300
CCA,20200422,10,10,10,10,3500
CCM,20200422,22.1,22.1,19.7,19.7,1700
CDO,20200422,0.7,0.9,0.7,0.9,945
CEG,20200422,6,6,6,6,20
CEN,20200422,4.3,4.8,4.3,4.8,8800
CHS,20200422,6.4,7,6.4,7,350
CLX,20200422,11,11.4,11,11.4,1700
CMT,20200422,5.8,6.3,5.8,6.3,700
CNC,20200422,21.9,21.9,19.5,19.5,1210
CTR,20200422,35.5,38.6,35.3,38.4,616071
DBM,20200422,43.4,43.4,43.4,43.4,100
DDV,20200422,6,6,5.6,5.6,9100
DFC,20200422,34.4,34.4,34.4,34.4,100
DGT,20200422,72.4,72.4,63,72.4,100
DHD,20200422,34.9,35,34.9,35,600
DNA,20200422,17.6,17.6,17.6,17.6,100
DNE,20200422,9.5,9.5,9.3,9.3,1400
DNW,20200422,15.3,15.9,15.3,15.9,2300
DOC,20200422,8.5,8.5,8.5,8.5,100
