<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAV,20200602,5.6,5.9,5.4,5.4,435635
ACB,20200602,25.5,26.5,24.8,24.8,10935462
ACM,20200602,0.6,0.6,0.5,0.6,152500
AME,20200602,6.9,6.9,6.9,6.9,100
AMV,20200602,17.2,17.2,16.8,16.8,419894
APS,20200602,2.5,2.6,2.3,2.3,18302
ART,20200602,2.8,2.9,2.7,2.7,2399040
BAX,20200602,43,43,42.8,42.8,11130
BCC,20200602,7.7,7.8,7.6,7.7,311663
BII,20200602,0.7,0.8,0.7,0.8,169530
BST,20200602,15.5,15.5,15.5,15.5,1500
BTW,20200602,36,36,32.4,32.4,2111
BVS,20200602,9.5,9.6,9.4,9.5,148400
C69,20200602,5.8,5.8,5.6,5.7,162599
C92,20200602,5.1,5.1,5.1,5.1,500
CAP,20200602,29,29,28.7,28.9,4300
CDN,20200602,18.9,19.3,18.5,19.2,5900
CEO,20200602,7.7,7.8,7.6,7.7,617440
CET,20200602,1.8,1.9,1.8,1.9,221000
CIA,20200602,11.6,11.7,11.6,11.6,4426
CKV,20200602,13.5,13.5,13,13,200
CLH,20200602,17,17.3,17,17.3,1200
CMS,20200602,2.6,2.6,2.5,2.6,16500
CPC,20200602,15.4,15.4,15.4,15.4,100
CSC,20200602,22,22.5,21.6,22.5,5400
CTP,20200602,3.3,3.3,3,3.3,87600
CTX,20200602,9,9.2,8.9,9.2,1550
CVN,20200602,10.4,10.8,10.4,10.5,116400
D11,20200602,31.5,32,28.6,30.9,33880
DAD,20200602,14.8,15.6,14.8,15.6,200
DAE,20200602,14.3,14.3,14.3,14.3,200
DBT,20200602,11.5,11.5,10.8,10.8,5500
DC2,20200602,6.5,6.5,6.5,6.5,6900
DDG,20200602,27.9,28,27.7,27.8,105600
DGC,20200602,39.5,40.6,38.6,38.9,272601
DHT,20200602,45.3,45.3,44.1,44.8,27320
DIH,20200602,13.5,13.5,13.5,13.5,100
DL1,20200602,14.9,14.9,14.9,14.9,120
DNM,20200602,34,34,33.5,33.7,8654
DNP,20200602,16.6,17,15.3,17,37674
DNY,20200602,1.7,1.8,1.6,1.8,7200
DP3,20200602,83,83.5,82.9,83,21300
DPC,20200602,10.3,10.3,10.3,10.3,2000
DS3,20200602,3.6,3.7,3.5,3.5,61000
DST,20200602,4.1,4.9,4.1,4.4,1001952
DTD,20200602,12.6,12.6,12,12,91366
DXP,20200602,10,10.1,10,10.1,1513
DZM,20200602,3.4,3.6,3.2,3.2,87300
EID,20200602,10.9,10.9,10.8,10.9,10700
EVS,20200602,8.7,8.7,8.7,8.7,200
FID,20200602,1.1,1.1,1.1,1.1,34000
GDW,20200602,34.9,34.9,28.8,28.8,300
GKM,20200602,17.4,17.8,17.3,17.8,103280
GMX,20200602,21.6,21.6,21.6,21.6,110
HAD,20200602,14.2,14.4,14.2,14.4,8821
HBE,20200602,7,7,7,7,1100
HBS,20200602,2,2,2,2,8500
HCC,20200602,11,11.4,10.9,11.4,18010
HCT,20200602,11,11,9,9,1500
HDA,20200602,8.9,9,8.7,8.7,297600
HEV,20200602,15.4,15.4,15.4,15.4,500
HHG,20200602,1.2,1.2,1.1,1.2,158017
HHP,20200602,11.9,12,11.7,11.8,204900
HKB,20200602,0.8,0.8,0.6,0.7,174933
HLC,20200602,7.7,7.7,7.7,7.7,200
HLD,20200602,20.1,20.1,19.6,19.8,45305
HMH,20200602,9.3,9.3,9.3,9.3,100
HOM,20200602,3.3,3.3,3.1,3.3,20300
HTC,20200602,25.3,25.3,25.3,25.3,100
HUT,20200602,2.4,2.4,2.2,2.2,8392280
ICG,20200602,4.9,5.1,4.7,5.1,11612
IDC,20200602,18.3,19.6,18.3,19.5,155201
IDJ,20200602,13.9,14,13.4,13.4,240552
IDV,20200602,38.5,38.7,37.5,37.5,12400
INC,20200602,8.3,8.3,8.3,8.3,100
INN,20200602,25,25,24.6,24.8,23200
ITQ,20200602,2.4,2.5,2.4,2.5,55600
IVS,20200602,7.4,7.4,7.1,7.1,4000
KDM,20200602,1.9,1.9,1.9,1.9,9500
KHS,20200602,12.7,13.9,11.6,11.6,8900
KKC,20200602,5,5,5,5,1000
KLF,20200602,2,2.1,1.9,1.9,4707528
KSQ,20200602,1.6,1.6,1.6,1.6,15000
KTS,20200602,8.8,8.8,8.8,8.8,400
KVC,20200602,0.9,1,0.9,0.9,389800
L14,20200602,65.1,67,64.5,66.3,40820
L35,20200602,6.7,7.1,6.7,6.7,1300
LAS,20200602,6.4,6.4,6.3,6.3,192960
LCS,20200602,2,2,1.9,2,8800
LDP,20200602,18.5,19.8,18.3,18.4,600
LHC,20200602,68.9,69.3,67.3,69.3,19700
LIG,20200602,3.2,3.2,3,3.1,201462
