<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VOS,20200107,1.58,1.6,1.56,1.6,64000
VPB,20200107,20,20.35,20,20.35,1298520
VPD,20200107,16.4,16.85,15.5,16.6,3680
VPG,20200107,22.9,23,22.9,23,83830
VPH,20200107,4,4.08,3.98,4.01,48440
VPI,20200107,42.35,42.5,42,42.2,430440
VPK,20200107,2.05,2.05,2.04,2.04,42740
VRC,20200107,12.65,12.65,12.65,12.65,2930
VRE,20200107,33.65,33.95,33.6,33.95,356780
VSC,20200107,27.9,27.9,27.2,27.2,53900
VSH,20200107,22.2,22.2,22.2,22.2,16500
VSI,20200107,22.05,22.05,22,22,3210
VTB,20200107,15.35,16.4,15.35,15.35,740
VTO,20200107,7.4,7.5,7.3,7.5,22780
YBM,20200107,3.82,3.98,3.82,3.9,4910
YEG,20200107,38.5,38.9,38,38.5,9720
VGC,20200107,17.8,18,17.8,18,121120
VHC,20200107,39,40.8,39,40.6,238070
VHM,20200107,83,84.8,83,83.8,590360
VIC,20200107,114.5,115,114.3,114.7,183910
VID,20200107,4,4,4,4,20
VIP,20200107,5,5,5,5,10400
VIS,20200107,23.8,23.8,23.8,23.8,350
VJC,20200107,145.8,146,145.5,145.9,360760
VND,20200107,14.3,14.3,14.1,14.3,68060
VNE,20200107,3.6,3.6,3.56,3.6,260660
VNG,20200107,19.55,19.55,19.3,19.3,295300
VNL,20200107,14.35,16.2,14.35,16.2,20
VNM,20200107,117.5,118.8,117.5,118.5,459520
VNS,20200107,12,12,11.4,11.5,25740
TTF,20200107,2.62,2.63,2.59,2.63,189350
TV2,20200107,82,83.2,82,82,10530
TVB,20200107,13.55,13.7,13.5,13.65,83620
TVS,20200107,13.6,13.9,13.6,13.85,27000
TVT,20200107,22.2,22.8,22.2,22.8,1660
TYA,20200107,14.2,14.45,13.65,14.3,11130
UDC,20200107,4.34,4.34,4.34,4.34,10
UIC,20200107,36,36.5,36,36.5,320
VCB,20200107,87,87.9,85.4,87.8,1013270
VCI,20200107,29.4,29.4,28.6,28.6,18320
VDP,20200107,32,32,32,32,100
TLG,20200107,39.95,40,39.8,39.8,19250
TLH,20200107,4.52,4.6,4.44,4.5,43960
TMP,20200107,36.2,36.5,36,36.5,2600
TMS,20200107,29,29,28.4,28.4,5010
TMT,20200107,5.51,5.88,5.5,5.88,1680
TN1,20200107,63.8,63.8,63.5,63.5,670
TNA,20200107,21.7,21.7,20.2,20.2,236430
TNC,20200107,16.6,16.6,16.6,16.6,10
TNI,20200107,10.05,10.25,9.98,10.2,702550
TNT,20200107,1.6,1.62,1.57,1.57,28700
TPB,20200107,21.15,21.25,21.05,21.2,65060
TPC,20200107,9.31,9.31,9.02,9.02,20
TRA,20200107,58.8,60.9,58.8,59,370
TSC,20200107,2.81,2.94,2.72,2.84,297730
TTB,20200107,3.81,3.88,3.58,3.82,684320
TCB,20200107,23.05,23.2,23,23.2,1043300
TCD,20200107,10.55,11.3,10.55,11.3,2280
TCH,20200107,33.7,34.35,33.65,34.1,1188090
TCL,20200107,19.8,20.2,19.75,20.2,1830
TCM,20200107,19.65,20.95,19.65,20.95,936940
TCO,20200107,12.4,12.4,10.85,10.85,60
TCR,20200107,2.17,2.3,2.17,2.3,1400
TCT,20200107,42.5,44.2,42.5,44.2,2710
TDC,20200107,8.5,8.65,8.5,8.62,161590
TDG,20200107,1.75,1.77,1.74,1.76,104910
