<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
ABC,20200514,10.5,10.5,9.6,10.5,4215
ABI,20200514,27.7,28.8,27.7,28,183700
ABR,20200514,31.4,31.4,31.4,31.4,1100
ACE,20200514,28.7,28.7,28.7,28.7,100
ACS,20200514,7.7,7.7,7.7,7.7,100
ACV,20200514,59.2,59.3,58.5,58.5,481910
ADG,20200514,106.8,107.1,106,107.1,8700
AFX,20200514,4.4,4.7,4.4,4.7,71900
AGP,20200514,17,17,17,17,20
AMS,20200514,6.7,6.7,6.7,6.7,100
ANT,20200514,10.4,10.4,10.4,10.4,4000
APF,20200514,27.2,27.6,27.2,27.2,9600
ATB,20200514,0.6,0.6,0.6,0.6,300
BAB,20200514,18.2,18.2,18.2,18.2,2700
BAL,20200514,8.4,8.4,8.4,8.4,100
BBT,20200514,18,18,18,18,510
BCM,20200514,23.9,23.9,23.3,23.4,20570
BDG,20200514,30.7,30.8,30.5,30.5,6000
BDT,20200514,18.2,18.2,18.1,18.2,12200
BEL,20200514,11,11.1,11,11.1,4000
BHK,20200514,15.4,15.4,11.4,11.4,200
BHP,20200514,6.5,6.5,6.5,6.5,100
BKH,20200514,33,33,33,33,100
BLI,20200514,9.3,9.3,9.3,9.3,100
BLT,20200514,14,14,14,14,100
BMF,20200514,15.4,15.4,15.4,15.4,100
BMS,20200514,4,4,4,4,4100
BOT,20200514,53.9,53.9,53.3,53.5,27400
BSA,20200514,14.5,14.5,14.4,14.4,15610
BSP,20200514,16,16,15.9,15.9,2000
BSQ,20200514,20,20,20,20,1400
BSR,20200514,6.4,6.6,6.3,6.5,6662670
BT1,20200514,17.5,17.5,16,16,8700
BTD,20200514,17,18,17,17.6,14800
BTN,20200514,2.9,2.9,2.9,2.9,300
BVG,20200514,1.4,1.4,1.4,1.4,105900
BWS,20200514,37.6,37.6,37.6,37.6,1100
C21,20200514,21.8,21.8,21.8,21.8,2000
C4G,20200514,7,7.6,6.9,7.5,1671820
CAT,20200514,10.4,11.1,10.4,10.9,51200
CCA,20200514,9,9,8.1,9,2200
CCP,20200514,6.8,6.8,6.8,6.8,200
CDO,20200514,0.9,0.9,0.9,0.9,1300
CDP,20200514,7.9,7.9,7.9,7.9,1000
CEN,20200514,5.1,5.6,5.1,5.6,22593
CGV,20200514,3.3,3.3,3,3,700
CHS,20200514,8.8,8.8,7.5,8.5,6400
CID,20200514,5.2,5.9,5.2,5.9,600
CKA,20200514,17.2,17.2,17.2,17.2,310
CLX,20200514,11.6,11.6,11.5,11.6,6200
CMT,20200514,6.3,6.3,6.3,6.3,115
CT3,20200514,11.9,11.9,11.9,11.9,1100
CTR,20200514,42.3,43.9,41.7,42.9,407033
DAR,20200514,12,12,12,12,100
DAS,20200514,10.7,11.1,10.7,10.9,11510
DCD,20200514,10.5,10.8,10.1,10.8,2400
DDN,20200514,10.5,10.5,9.8,9.8,200
DDV,20200514,5.8,5.8,5.8,5.8,3000
DNL,20200514,19,19,19,19,100
DNR,20200514,12,12,12,12,1001
DNW,20200514,15.6,15.6,15.6,15.6,100
DP1,20200514,14.6,14.6,14,14.2,2800
DPP,20200514,17.2,17.2,17.2,17.2,200
DRG,20200514,4.2,4.2,4.2,4.2,100
DRI,20200514,4.1,4.4,4,4.3,555200
DSC,20200514,5.5,5.9,5.5,5.9,500
DSP,20200514,11,11,9,10,1400
DSS,20200514,8.6,8.6,8.6,8.6,1400
DVN,20200514,11.3,11.4,11,11,289290
EIN,20200514,4.2,4.2,3.9,4.2,3009
EMS,20200514,41,41,41,41,60
EVF,20200514,7.1,7.4,7.1,7.1,70247
FOC,20200514,125,125,125,125,700
FOX,20200514,47.5,48,47.5,48,11300
FRC,20200514,12.8,12.8,12.8,12.8,100
G36,20200514,4.5,4.6,4.5,4.5,243500
GHC,20200514,31.5,31.5,30.7,30.7,606
GND,20200514,24.9,24.9,24.9,24.9,100
GSM,20200514,8,8,8,8,500
GTS,20200514,9.3,9.3,9.3,9.3,400
GVT,20200514,39.6,39.6,39.6,39.6,100
HAC,20200514,5.1,5.2,5.1,5.2,27400
HAF,20200514,18.9,18.9,18.9,18.9,100
HC3,20200514,24.5,24.5,24.5,24.5,200
HD8,20200514,5.3,5.3,5.3,5.3,100
HDM,20200514,13.6,13.6,13.6,13.6,100
HEC,20200514,34,34,34,34,1000
HEM,20200514,13.9,13.9,13.9,13.9,1
HEP,20200514,8.3,8.3,8.3,8.3,1000
HFB,20200514,5.5,5.6,5.5,5.6,600
HIG,20200514,6.6,6.6,6.6,6.6,10
HLB,20200514,88.5,88.5,88.5,88.5,10
HND,20200514,18.4,18.6,17.9,18.2,223305
HNE,20200514,8.3,8.3,8.3,8.3,1400
HNF,20200514,24,24.5,22.3,22.3,4900
HNP,20200514,23.4,23.4,23.4,23.4,200
HPI,20200514,15.4,15.4,14.9,14.9,20100
HPP,20200514,36.3,36.3,36.3,36.3,100
HPW,20200514,11.1,11.1,11.1,11.1,100
HRT,20200514,2.7,2.7,2.4,2.4,6100
HSI,20200514,1.4,1.4,1.4,1.4,300
HTM,20200514,11.9,11.9,11.6,11.7,12300
HU6,20200514,5,5,5,5,100
HUG,20200514,52,52,52,52,1000
ICF,20200514,1.1,1.1,0.9,1.1,300
