<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
ABC,20200316,8.8,8.8,8.8,8.8,500
ABI,20200316,27.9,27.9,24.3,24.3,2000
ABR,20200316,31,32.8,31,32.8,2300
ACV,20200316,52,57.5,48.7,49,172010
ADG,20200316,90.7,91.4,90.7,90.8,17610
ADP,20200316,17.3,17.3,17.3,17.3,2100
AFX,20200316,2.8,2.8,2.8,2.8,3300
AGX,20200316,17.4,17.4,13,13,13000
AMS,20200316,7.6,7.6,7.6,7.6,300
ANT,20200316,10.5,10.5,10.5,10.5,500
ATB,20200316,0.6,0.6,0.5,0.6,4500
BAB,20200316,17.6,18,17.6,17.6,2300
BAL,20200316,7.7,7.7,7.7,7.7,100
BBT,20200316,18.5,18.5,18.5,18.5,1800
BCM,20200316,20,21,19.8,20,4700
BDG,20200316,36.6,36.6,36.6,36.6,300
BDT,20200316,14.2,14.3,13.8,13.8,4400
BEL,20200316,9,9.5,9,9,1700
BGW,20200316,19.3,19.3,18.8,18.8,200
BHK,20200316,14,14,14,14,100
BLI,20200316,6.5,6.9,6.5,6.9,3100
BLT,20200316,15,15,15,15,100
BMS,20200316,2.9,2.9,2.9,2.9,100
BOT,20200316,55.7,55.9,55.7,55.8,32100
BPW,20200316,43.5,49,43.5,49,1500
BSA,20200316,13.1,13.8,13.1,13.1,19600
BSG,20200316,10,10,10,10,25100
BSR,20200316,6.8,7.1,6.7,6.9,2839903
BTD,20200316,13.2,13.9,13.2,13.6,2775
BTV,20200316,16.7,16.7,16.7,16.7,100
BUD,20200316,5,5,5,5,1000
BVG,20200316,1.2,1.2,1.1,1.2,6700
BWS,20200316,36.2,36.3,35,35,1600
C4G,20200316,4,4.6,3.7,4.6,256160
CAT,20200316,10,10,10,10,200
CDO,20200316,0.8,0.8,0.8,0.8,4520
CDP,20200316,7.9,7.9,7.9,7.9,200
CEN,20200316,5.3,5.6,5.2,5.6,7200
CI5,20200316,4.3,4.3,4,4,300
CKA,20200316,16,16,16,16,1400
CKD,20200316,16.7,16.7,16.7,16.7,400
CLX,20200316,11.9,11.9,11.9,11.9,27
CMT,20200316,7,7,7,7,500
CTR,20200316,32,34,31,31.4,609456
DDN,20200316,9.3,9.3,9.3,9.3,1305
DDV,20200316,5.8,6.5,5.7,5.7,1000
DHN,20200316,12,12,12,12,100
DNA,20200316,16.5,16.5,16.5,16.5,1000
DNL,20200316,13.8,13.8,13.8,13.8,110
DNW,20200316,10.8,14.4,10.8,14.4,1000
DRI,20200316,4,4.4,4,4.1,83200
DSC,20200316,4.2,4.2,4.1,4.1,3000
DSP,20200316,13.1,16.9,13.1,15,1800
DVC,20200316,6.8,6.8,6.8,6.8,100
DVN,20200316,9.5,10,9.3,9.9,207910
EIN,20200316,3.4,3.7,3.4,3.4,158104
EMS,20200316,38,38,38,38,1000
EPH,20200316,7.2,7.4,7.2,7.4,3700
EVF,20200316,6.9,7.4,6.9,7.3,98995
FOC,20200316,110.1,119,110.1,119,520
FOX,20200316,43.9,43.9,43.5,43.5,4000
G36,20200316,4.2,4.6,4.2,4.3,333873
GHC,20200316,29,30,28.7,29.9,27700
HAC,20200316,4.8,4.8,4.8,4.8,4000
HDM,20200316,15,15,15,15,1100
HEJ,20200316,19.4,19.4,19.4,19.4,5000
HEM,20200316,15.9,15.9,15,15,3830
HFB,20200316,4.7,4.7,4.5,4.5,2500
HHV,20200316,14.5,14.5,14.5,14.5,100
HIG,20200316,7.5,7.6,7.5,7.6,910
HMS,20200316,21.5,21.5,21.5,21.5,100
HND,20200316,14.7,15.4,14.7,14.8,52320
HNF,20200316,25,25.4,25,25.4,1500
HNI,20200316,35,35,35,35,500
HPI,20200316,14.4,14.4,13.5,13.5,2200
HPP,20200316,47.7,47.7,47.7,47.7,20
HTG,20200316,17.1,17.1,17.1,17.1,1100
HTM,20200316,10,11.1,10,11.1,42200
HU6,20200316,6.5,6.5,6.5,6.5,100
HWS,20200316,12,12,12,12,300
IFS,20200316,17.5,17.5,17.5,17.5,1150
ILA,20200316,2.3,2.3,2.3,2.3,100
ILS,20200316,13.4,13.4,11.8,12.7,5700
ITS,20200316,3.1,3.1,3.1,3.1,1000
KDF,20200316,24.5,24.5,21,22.8,5110
KHA,20200316,38.9,38.9,38.9,38.9,30
KHD,20200316,8,8,7.6,7.6,9594
KLB,20200316,9.4,10.8,9.4,10.8,452
LLM,20200316,16,17,16,17,400
LMI,20200316,10,10,10,10,200
LPB,20200316,7.2,7.2,6.5,6.9,2630457
LTG,20200316,16,16.4,15.8,16.1,36276
M10,20200316,15.8,19.5,15.8,19.5,200
MCH,20200316,58,58.5,57,58.1,21044
MFS,20200316,20,22.8,20,20.2,20830
MH3,20200316,31,31,30,30.5,12010
MIG,20200316,9.5,9.7,9.5,9.7,1800
MML,20200316,39,41,33.5,39,5230
MPC,20200316,17.5,19.3,17.5,18.6,46885
MQN,20200316,36.7,37.5,32.3,37.2,2400
MSR,20200316,14.6,14.6,14,14.6,41793
MTH,20200316,12.3,12.3,10.6,10.6,1300
MTV,20200316,15,15,15,15,5000
MVB,20200316,10.2,10.2,10.2,10.2,200
NAS,20200316,35,35,33,33,1500
NCP,20200316,7.1,7.1,6.9,6.9,30900
NCS,20200316,17.5,17.5,17.5,17.5,800
ND2,20200316,23,23,23,23,600
NDC,20200316,53,56,50.1,50.5,43800
NDT,20200316,5.5,5.5,5.5,5.5,100
NHT,20200316,31,31,30,30,1300
NMK,20200316,8,8,7.8,7.8,1600
NNG,20200316,8.1,8.1,8.1,8.1,2100
NS2,20200316,10,10,10,10,3300
NTC,20200316,139.5,144.9,136,138.8,101800
NUE,20200316,8.2,8.2,8.2,8.2,200
OIL,20200316,6,6.3,6,6.2,269250
ORS,20200316,6,6,5.9,5.9,5600
PDT,20200316,13.6,13.6,13.6,13.6,100
PFL,20200316,0.6,0.7,0.6,0.7,52340
PGV,20200316,11,11,11,11,100
