<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAV,20200611,6.6,6.7,5.9,5.9,567910
ACB,20200611,25.6,25.8,24.4,24.5,9172138
ACM,20200611,0.8,0.8,0.7,0.7,2812194
AME,20200611,7.4,7.4,7.4,7.4,2200
AMV,20200611,18.9,18.9,17.2,17.2,1286722
API,20200611,10.1,10.1,10,10.1,300
APP,20200611,4,4,4,4,200
APS,20200611,2.6,2.7,2.5,2.5,53300
ART,20200611,3,3.1,2.7,2.7,4292695
BAX,20200611,43.6,43.6,41,43.2,800
BCC,20200611,7.8,8,7.5,7.5,325205
BII,20200611,1,1.1,0.9,1,2796342
BST,20200611,13.4,13.4,12.2,13.3,1700
BTS,20200611,4.1,4.1,4.1,4.1,244
BTW,20200611,34.8,34.8,34.8,34.8,2500
BVS,20200611,11,11,10,10,314750
C69,20200611,7.2,7.2,6.1,6.1,340310
C92,20200611,3.8,4,3.8,4,6890
CAN,20200611,21.8,21.8,21.8,21.8,100
CAP,20200611,28.6,28.8,28.5,28.5,11000
CDN,20200611,18.4,19,18.2,19,2830
CEO,20200611,10.3,10.3,9.3,9.6,4374374
CET,20200611,2,2,1.9,2,115130
CIA,20200611,11.8,11.9,11.6,11.7,17014
CKV,20200611,11.4,11.8,11.4,11.8,1400
CLH,20200611,17.2,17.4,17,17.3,5400
CMC,20200611,4.9,4.9,4.9,4.9,56
CMS,20200611,2.5,2.7,2.5,2.6,85640
CSC,20200611,26,26.7,24.5,24.5,8710
CTP,20200611,3.9,3.9,3.5,3.5,164537
CTT,20200611,9.6,9.6,9.6,9.6,11
CTX,20200611,8.8,9.9,8.8,9,23369
CVN,20200611,11.1,11.1,11,11,41100
D11,20200611,34,36,33.9,35.8,36000
DAE,20200611,14.1,14.1,14.1,14.1,2000
DBT,20200611,10.5,10.5,10.5,10.5,7000
DDG,20200611,28.1,28.2,27.9,28.1,50800
DGC,20200611,39.2,39.2,36.5,36.8,1411706
DHP,20200611,9.5,9.5,9.5,9.5,200
DHT,20200611,48,48.4,45.2,45.3,28555
DNM,20200611,35,35.4,34.5,35.4,12232
DNP,20200611,16.2,17,16.2,17,11000
DP3,20200611,68,68,65.9,65.9,13830
DS3,20200611,3.7,3.8,3.6,3.6,100200
DST,20200611,6.6,6.6,6.4,6.6,310245
DTD,20200611,12.4,12.5,11.7,11.7,116508
DXP,20200611,10.1,10.1,10,10,6200
DZM,20200611,4,4,4,4,14700
EBS,20200611,6.8,6.9,6.8,6.8,8100
EID,20200611,10.9,11.1,10.9,11,24700
EVS,20200611,7.5,7.5,6.9,7.5,20000
FID,20200611,1,1.1,1,1.1,489900
GKM,20200611,17.9,18,17.9,18,178800
GLT,20200611,22.9,22.9,22.9,22.9,150
HAD,20200611,13.9,14.3,13.8,13.9,14900
HAT,20200611,19.6,20,19.6,19.7,8200
HBS,20200611,2.1,2.3,2.1,2.3,73452
HCC,20200611,11.4,11.7,11.2,11.2,12277
HCT,20200611,11.3,11.3,10.9,10.9,403
HDA,20200611,8.8,8.8,8,8,443200
HHG,20200611,1.6,1.6,1.5,1.5,356891
HHP,20200611,11.2,11.4,11.1,11.3,610909
HKB,20200611,0.8,0.8,0.7,0.8,1118612
HKT,20200611,6.1,6.1,6.1,6.1,23200
HLD,20200611,20.7,20.8,20.4,20.4,101320
