<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VSC,20200113,27,27.45,26.6,27.35,34110
VSH,20200113,22,22,21.8,21.8,5520
VSI,20200113,23.35,23.35,23.35,23.35,10
VTB,20200113,13.1,14.75,13.1,14.6,270
VTO,20200113,7.37,7.5,7.35,7.35,27740
YBM,20200113,3.7,3.86,3.5,3.85,3450
YEG,20200113,36.7,37,36.2,36.3,20620
VND,20200113,14.3,14.35,14.2,14.3,109370
VNE,20200113,3.65,3.69,3.57,3.67,237810
VNG,20200113,19.5,19.6,19.3,19.6,354230
VNL,20200113,14.15,14.15,14.15,14.15,10
VNM,20200113,119,119,117.4,117.4,412880
VNS,20200113,11.3,11.3,10.65,11.2,46750
VOS,20200113,1.57,1.57,1.53,1.53,45860
VPB,20200113,21,21.15,20.6,20.6,1278670
VPD,20200113,15.5,15.7,14.8,14.8,11790
VPG,20200113,23.1,23.1,23,23,83610
VPH,20200113,3.95,4,3.92,4,18310
VPI,20200113,42.3,42.5,42,42.25,418780
VPS,20200113,12.4,12.4,10.8,12.35,160
VRC,20200113,9.54,9.54,9.54,9.54,660
VRE,20200113,34,34,33.6,33.75,417280
VFG,20200113,41,41.95,41,41.95,70
VGC,20200113,18.05,18.05,18,18,131260
VHC,20200113,41,41,39.7,40,82480
VHM,20200113,84.8,86.8,84.5,86.3,882160
VIC,20200113,114.7,115.1,114.5,114.9,146680
VID,20200113,4.25,4.25,4.25,4.25,10
VIP,20200113,5,5,4.91,4.99,7320
VIS,20200113,22.7,22.7,22.7,22.7,10
VJC,20200113,146.2,146.5,145.9,146.5,466570
TRC,20200113,31,32.75,30.7,30.7,316060
TS4,20200113,3.62,3.65,3.6,3.65,5290
TSC,20200113,2.79,2.79,2.66,2.75,218590
TTB,20200113,3.82,4,3.81,3.85,419990
TTF,20200113,2.6,2.6,2.55,2.55,225840
TV2,20200113,80.5,80.5,79.1,79.2,7450
TVB,20200113,13.6,14,13.6,13.95,131680
TVS,20200113,13.6,13.9,13,13.9,12100
TVT,20200113,22.55,23,22.5,23,1550
TYA,20200113,14,14.2,13.7,14.2,2610
UDC,20200113,4.47,4.47,3.89,4.43,30
UIC,20200113,35.5,36.8,35.5,36.8,250
VAF,20200113,9.77,9.77,9.77,9.77,10
VCB,20200113,89,89.8,89,89.4,1044640
VCF,20200113,182,194.5,182,194.5,1940
VCI,20200113,28.2,29.4,28.2,29,40860
TLH,20200113,4.15,4.15,3.9,4.04,103260
TMP,20200113,36.45,36.45,36.45,36.45,10
TMS,20200113,29,29,28.3,28.95,4310
TN1,20200113,63.8,65.2,63.8,63.8,1300
TNA,20200113,19.2,19.2,18,19,175180
TNC,20200113,15.5,15.5,15.5,15.5,10
TNI,20200113,10.15,10.35,10.1,10.1,659460
TNT,20200113,1.55,1.58,1.52,1.56,15060
TPB,20200113,21.5,21.65,21.4,21.55,98460
TPC,20200113,8.28,8.28,8.28,8.28,280
TRA,20200113,58.3,58.3,58.2,58.2,1200
TDC,20200113,8.71,8.79,8.59,8.65,37080
TDG,20200113,1.75,1.76,1.7,1.7,80110
TDH,20200113,10.35,10.45,9.98,10.1,1033560
TDM,20200113,25.6,25.6,25.2,25.4,28900
TDW,20200113,25.85,25.85,25.85,25.85,10
TGG,20200113,1.78,1.81,1.75,1.79,125550
THG,20200113,45,45.5,44.6,45.5,5850
THI,20200113,26.7,26.7,26.7,26.7,10
TIP,20200113,18.1,18.2,17.85,17.9,14090
TLD,20200113,4.39,4.54,4.32,4.39,79200
TLG,20200113,39.95,39.95,39,39,37140
STK,20200113,17,17,16.4,17,29210
SVC,20200113,40.1,40.1,40.1,40.1,6180
SVI,20200113,69,69,69,69,1500
SZC,20200113,16.15,16.25,15.2,15.5,271350
SZL,20200113,40.5,41,39.5,40.5,44700
