<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAV,20200603,5.4,5.5,5.3,5.5,327070
ACB,20200603,24.8,25.5,24.8,25.5,3758964
ACM,20200603,0.6,0.6,0.5,0.5,104628
ADC,20200603,14.1,14.1,13.8,14.1,1500
AME,20200603,6.9,7.2,6.4,7.2,2100
AMV,20200603,17,17.3,16.8,17.3,492406
API,20200603,8.9,9,8.6,9,2200
APS,20200603,2.3,2.3,2.2,2.3,32300
ART,20200603,2.7,2.8,2.6,2.7,1057409
BAX,20200603,42.8,44.1,42.8,42.8,1000
BCC,20200603,7.7,7.9,7.7,7.9,105230
BII,20200603,0.8,0.8,0.7,0.8,28915
BPC,20200603,11.8,11.8,11.8,11.8,100
BST,20200603,15,16.1,14.1,14.5,1500
BTS,20200603,4.3,4.3,4.3,4.3,20
BTW,20200603,32.4,32.4,32.4,32.4,100
BVS,20200603,9.4,9.5,9.3,9.5,54910
C69,20200603,5.7,5.7,5.4,5.5,127630
C92,20200603,4.6,4.6,4.6,4.6,200
CAN,20200603,22,22,22,22,10
CAP,20200603,28.8,28.9,28.7,28.9,7650
CDN,20200603,19.4,20,19.2,19.2,1120
CEO,20200603,7.7,7.7,7.6,7.6,329078
CET,20200603,1.9,2,1.9,2,145000
CIA,20200603,11.4,11.9,11.4,11.9,734
CLH,20200603,17.4,17.4,17,17.3,800
CPC,20200603,15.4,15.4,15.4,15.4,20
CSC,20200603,22.1,23,22.1,22.3,1501
CTB,20200603,30.7,30.7,30.6,30.6,300
CTP,20200603,3.4,3.6,3.4,3.5,57159
CTT,20200603,9.1,9.1,9.1,9.1,10140
CTX,20200603,9,9.2,9,9.2,2000
CVN,20200603,10.6,10.8,10.6,10.8,4514
D11,20200603,32,32.4,28.9,30.4,37000
DAE,20200603,14.5,14.5,14.5,14.5,100
DC4,20200603,14.2,14.2,14.2,14.2,100
DDG,20200603,27.8,28,27.3,27.7,110300
DGC,20200603,39,39,37.5,38.2,162716
DHP,20200603,10,10,10,10,200
DHT,20200603,44.8,44.9,44.2,44.8,16720
DIH,20200603,13.4,13.4,13.4,13.4,300
DNM,20200603,33.4,35,33.4,35,21114
DNP,20200603,16.6,16.6,16.5,16.6,6100
DP3,20200603,78,78,71.7,74,6080
DPC,20200603,10.3,10.3,10.3,10.3,500
DS3,20200603,3.5,3.7,3.5,3.6,102300
DST,20200603,4.1,4.8,4.1,4.8,395530
DTD,20200603,12,12.1,11.8,12,63625
DXP,20200603,10.1,10.4,10,10.3,8440
DZM,20200603,3.1,3.3,2.9,3.1,139720
EBS,20200603,7,7,7,7,100
EID,20200603,10.9,10.9,10.8,10.8,9100
EVS,20200603,8.6,8.6,8.6,8.6,600
FID,20200603,1,1,1,1,19600
GDW,20200603,26,28.9,26,28.9,200
GKM,20200603,17.5,18,17.5,18,144700
GMX,20200603,21.6,21.6,21.6,21.6,3
HAD,20200603,14.1,14.2,13.5,14.2,3800
HAT,20200603,19.5,19.5,19.2,19.2,2380
HBS,20200603,2,2,1.8,2,1700
HCC,20200603,11.3,11.5,11.2,11.5,10400
