<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VRC,20200203,6.14,6.14,6.14,6.14,38790
VRE,20200203,30.2,30.3,27.95,30.2,1977600
VSC,20200203,25.35,25.35,23.75,25.35,158860
VSH,20200203,22,22,20.85,22,4130
VSI,20200203,22.95,22.95,22.35,22.95,70
VTB,20200203,15.3,15.3,15.3,15.3,50
VTO,20200203,7.55,7.55,7.36,7.55,76870
YBM,20200203,3.46,3.71,3.46,3.46,21800
YEG,20200203,35.5,36.2,34.9,35.5,76590
VCI,20200203,26.8,26.8,25,26.8,96440
VDP,20200203,30.55,32,30.55,30.55,2790
VFG,20200203,41,41.5,40.5,41,17020
VGC,20200203,17.3,17.8,17.2,17.3,254350
VHC,20200203,32.5,34,32.5,32.5,253500
VHM,20200203,85.2,85.9,82,85.2,755310
VIC,20200203,114.8,114.8,112.3,114.8,760420
VIP,20200203,4.9,4.9,4.77,4.9,102770
VIS,20200203,24.6,24.6,24.6,24.6,100
VJC,20200203,125.5,125.5,121.1,125.5,1089690
VMD,20200203,23.9,23.9,23.9,23.9,200
VND,20200203,14,14.55,13.7,14,854260
VNE,20200203,3.55,3.65,3.32,3.55,71750
VNG,20200203,19.45,19.6,19.4,19.45,290390
VNL,20200203,14.35,14.4,14.35,14.35,140
VNM,20200203,108.3,110.5,101,108.3,2289150
VNS,20200203,10.1,10.45,10,10.1,94750
VOS,20200203,1.56,1.56,1.47,1.56,56310
VPB,20200203,22.6,23.45,21.25,22.6,4531780
VPD,20200203,14.5,15,13.8,14.5,480
VPG,20200203,22.9,23,22.8,22.9,131620
VPH,20200203,3.9,4.11,3.7,3.9,17680
VPI,20200203,42.05,42.2,41.8,42.05,641050
VPS,20200203,12.1,12.1,10.65,12.1,40
TNA,20200203,18.4,18.4,17.45,18.4,365010
TNC,20200203,12.65,12.65,12.65,12.65,1000
TNI,20200203,9.98,10,9.9,9.98,543840
TNT,20200203,1.55,1.57,1.47,1.55,62090
TPB,20200203,20.75,20.75,19.5,20.75,173210
TPC,20200203,10.65,10.65,9.68,10.65,470
TRA,20200203,58.1,62,58.1,58.1,71790
TRC,20200203,30.7,32.4,30.7,30.7,5190
TS4,20200203,3.01,3.2,3,3.01,3950
TSC,20200203,2.03,2.12,2.03,2.03,1746990
TTB,20200203,3.45,3.7,3.45,3.45,944870
TTF,20200203,2.33,2.45,2.31,2.33,1522650
TV2,20200203,70,70,69.1,70,104480
TVB,20200203,14.75,14.75,14.4,14.75,99820
TVS,20200203,13,13.2,12.95,13,34050
TVT,20200203,23.1,23.4,22.5,23.1,10420
TYA,20200203,13.85,14,13.2,13.85,1100
UDC,20200203,3.99,4.11,3.59,3.99,1120
UIC,20200203,38.1,40,37,38.1,1140
VAF,20200203,8.38,9.63,8.38,8.38,20
