<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VND,20200810,11.45,11.65,11.45,11.5,521100
VNE,20200810,4.81,4.95,4.75,4.95,173050
VNG,20200810,15.1,15.2,14.95,15.2,202730
VNL,20200810,16.8,16.8,16.75,16.75,20
VNM,20200810,116,116.5,114.5,114.5,1412680
VNS,20200810,11.35,11.35,11.3,11.3,130
VOS,20200810,1.4,1.4,1.36,1.39,63130
VPB,20200810,21.5,21.7,21.35,21.35,3389710
VPD,20200810,14.5,15,14.5,15,120
VPG,20200810,13.6,14,13.6,13.95,307970
VPH,20200810,4.13,4.39,4.13,4.22,37350
VPI,20200810,42,42.4,41.8,41.85,430280
VPS,20200810,16.6,16.6,15.9,16.5,113000
VRC,20200810,6.06,6.06,5.75,5.8,92400
VRE,20200810,26.5,26.95,26.5,26.65,1680830
VSC,20200810,31.8,32,31.45,31.7,222440
VSH,20200810,16.75,17,16.7,16.75,1730
VSI,20200810,20.1,20.1,18.7,20.05,24400
VTB,20200810,9.65,10,9.53,10,2760
VTO,20200810,6.6,6.75,6.6,6.75,2530
YBM,20200810,3.84,3.88,3.78,3.8,4420
YEG,20200810,47.55,49.3,47.5,49.25,9920
UIC,20200810,37,37,37,37,10
VAF,20200810,9.25,9.25,9.25,9.25,10
VCB,20200810,83,83.2,81.9,81.9,576570
VCF,20200810,214.9,215,214.9,215,130
VCI,20200810,21.4,21.65,21.35,21.4,410500
VDP,20200810,32.9,34.65,32.9,34.65,20
VFG,20200810,37.25,40.5,37.25,40.5,7650
VGC,20200810,21.65,21.65,21.15,21.25,655270
VHC,20200810,37,37.3,36.7,36.9,497720
VHM,20200810,79.8,80,78.9,79.6,1688770
VIC,20200810,88,89.9,87.4,88.2,542550
VID,20200810,11,11.5,10.6,11,3860
VIP,20200810,5.68,5.68,5.46,5.5,139300
VJC,20200810,100.3,101,100,100,339710
VMD,20200810,21.3,21.3,21.3,21.3,300
TN1,20200810,52.5,52.6,52.4,52.6,1170
TNA,20200810,16.45,16.9,16.3,16.6,201870
TNC,20200810,19.3,21.9,19.3,20,1290
TNI,20200810,3.41,3.41,3.23,3.3,1456550
TNT,20200810,1.44,1.45,1.4,1.42,51380
TPB,20200810,20.9,21.1,20.9,21,63600
TPC,20200810,8.1,8.1,8.1,8.1,3220
TRA,20200810,57.8,57.8,56,56.1,540
TRC,20200810,30.4,31.9,30.3,31.6,20130
TS4,20200810,3.2,3.2,2.97,3.19,630
TSC,20200810,2.51,2.51,2.45,2.51,508680
TTB,20200810,5.06,5.42,5.06,5.21,711210
TTE,20200810,15.65,16.9,15.65,16.9,140
TTF,20200810,3.22,3.24,3.16,3.17,1117020
TV2,20200810,70,72,70,71,125980
TVB,20200810,7.25,7.25,7.02,7.03,245760
TVS,20200810,10.6,10.9,10.5,10.6,11260
TVT,20200810,19.3,19.3,19.3,19.3,1000
TYA,20200810,14.2,14.2,13.6,13.6,192510
UDC,20200810,5.18,5.3,4.96,5.1,74460
SVI,20200810,58,60.9,58,60.9,1630
SVT,20200810,16.5,16.7,16.5,16.7,170
SZC,20200810,26.9,28.5,26.8,27.3,1960140
SZL,20200810,44.9,47.6,44.7,47.6,228460
TAC,20200810,35.9,36.9,35.5,36.4,54250
TBC,20200810,26,26.65,25.7,25.7,28010
TCB,20200810,19.3,19.7,19.3,19.4,2743500
TCD,20200810,8.99,8.99,8.47,8.51,3640
TCH,20200810,20.4,20.85,20.3,20.6,3049920
TCL,20200810,24.85,25,24.85,25,26160
TCM,20200810,22.5,22.7,21.75,21.9,2014060
TCO,20200810,8.01,8.01,8.01,8.01,10
TCR,20200810,3,3.08,2.8,2.81,36050
TCT,20200810,24.6,24.7,23.75,24.7,9000
TDC,20200810,8.1,8.16,8.1,8.16,92620
TDG,20200810,1.66,1.71,1.66,1.7,140810
TDH,20200810,8.44,8.58,8.37,8.49,722020
TDM,20200810,24.6,24.95,24,24,423970
TDW,20200810,20.5,20.5,20.5,20.5,10
TEG,20200810,4.96,5.25,4.76,5,11210
TGG,20200810,0.96,1.01,0.96,0.97,175930
THG,20200810,49,50.5,49,50.5,6350
THI,20200810,25.65,25.65,25.65,25.65,600
TIP,20200810,19.2,20.1,19.2,20.1,218230
TLD,20200810,10.3,10.5,10.05,10.4,165300
TLG,20200810,34,34.9,33.85,34.15,55990
TLH,20200810,3.2,3.37,3.2,3.32,218780
TMP,20200810,35.5,35.6,35,35,2080
TMS,20200810,25.8,26.3,25.65,26.3,610
SGR,20200810,18.1,18.1,17.7,17.7,250
SGT,20200810,5.64,5.64,5.26,5.64,1620
SHA,20200810,4.29,4.35,4.29,4.29,7020
SHI,20200810,9.84,10.45,9.8,10.45,747960
SHP,20200810,23.8,23.85,23.6,23.7,24210
SII,20200810,17.4,17.4,17.4,17.4,10
SJD,20200810,17.5,17.5,17.15,17.25,21120
SJF,20200810,1.88,1.97,1.83,1.96,2435880
SJS,20200810,21.35,21.35,20.8,21.1,76860
SKG,20200810,8.3,8.3,8.13,8.22,153770
SMA,20200810,12.15,12.15,11.1,12,3380
SMB,20200810,32.1,32.1,30.5,31,15620
SMC,20200810,9.8,9.8,9.6,9.8,19250
SPM,20200810,12.45,12.45,12.45,12.45,50
SRC,20200810,14.6,14.6,14.6,14.6,5000
SRF,20200810,14,14,13.9,13.95,14850
SSC,20200810,53.2,53.2,50,50,160
SSI,20200810,14.5,14.6,14.4,14.4,3288010
ST8,20200810,10.2,10.3,10,10.3,700
STB,20200810,10.55,10.8,10.55,10.6,11949300
STG,20200810,14,14.05,13.05,14.05,490
STK,20200810,14.8,14.8,14.5,14.8,48640
PVD,20200810,10.2,10.45,10.2,10.35,5031810
PVT,20200810,10.1,10.3,10.1,10.2,855560
PXI,20200810,2.75,2.75,2.64,2.73,540
PXS,20200810,4.9,4.9,4.7,4.7,61010
PXT,20200810,1.3,1.36,1.3,1.36,47810
QBS,20200810,2,2.14,1.9,2.14,45300
QCG,20200810,6.09,6.15,6.04,6.1,237190
RAL,20200810,88.9,92.1,88.2,91.9,37720
RDP,20200810,7.69,7.7,7.65,7.65,4500
REE,20200810,34.9,35.1,34.55,34.55,354460
RIC,20200810,5.05,5.05,5.05,5.05,540
ROS,20200810,2.33,2.4,2.33,2.37,10667130
S4A,20200810,28,28,28,28,970
SAB,20200810,183.1,186,179.9,179.9,151620
SAM,20200810,10.95,11.1,10.95,11.1,255350
SAV,20200810,7.8,7.8,7.62,7.65,7510
SBA,20200810,14,14.15,14,14.15,19640
SBT,20200810,14.2,14.25,14,14.15,3709130
