<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HAP,20200410,2.93,2.93,2.85,2.93,17350
HAR,20200410,2.62,2.67,2.55,2.64,860140
HAS,20200410,5.9,5.9,5.9,5.9,10
HAX,20200410,11.2,11.25,11,11,111610
HCD,20200410,2.75,3.15,2.75,2.85,580150
HCM,20200410,15.1,15.5,14.75,15.45,2697120
HDB,20200410,20.15,20.5,19.8,20,1576090
HDC,20200410,16.3,16.65,16.05,16.35,405740
HDG,20200410,19.7,20.55,19.7,20,230190
HHS,20200410,3.33,3.4,3.28,3.36,2065740
HII,20200410,13,13.35,12.5,12.95,364910
HMC,20200410,11.5,12.5,11.5,11.6,8270
HNG,20200410,12.7,12.7,12.4,12.7,56950
HOT,20200410,27.7,27.7,27.7,27.7,10
HPG,20200410,18.5,19,18.3,18.8,5558450
HPX,20200410,27.25,27.75,27.25,27.6,220950
HQC,20200410,1.09,1.11,1.06,1.07,5051890
HSG,20200410,5.58,5.76,5.52,5.6,4184730
HSL,20200410,5.31,5.35,5.2,5.35,254520
HT1,20200410,12.4,12.6,12,12.3,99730
HTI,20200410,10.8,10.8,10.8,10.8,740
CHP,20200410,18.35,18.35,18.35,18.35,680
CIG,20200410,1.84,1.84,1.83,1.84,1550
CII,20200410,18.1,18.65,18.1,18.4,602830
CKG,20200410,8.5,8.5,8,8,51570
CLC,20200410,27.45,27.5,27,27.4,8500
CLG,20200410,1.93,1.93,1.8,1.8,27760
CLL,20200410,27.9,27.9,27.9,27.9,100
CLW,20200410,26.9,26.9,26.9,26.9,40
CMG,20200410,26,26.8,26,26.5,21100
CMV,20200410,16.75,16.75,16.75,16.75,70
CMX,20200410,10.4,10.55,10.2,10.4,55020
CNG,20200410,20,20.05,19.9,20,13140
CRC,20200410,11.45,11.45,11.4,11.45,20120
CRE,20200410,15.8,15.8,15.8,15.8,341310
CSM,20200410,14.4,14.4,14,14.35,21050
CSV,20200410,18.7,18.75,18.3,18.3,102850
CTD,20200410,54,55,53,53.5,143230
CTF,20200410,21.9,22.5,21.65,22.5,155650
CTG,20200410,19.8,20.1,19.3,19.45,5700980
CTI,20200410,19.8,19.8,19,19.2,62180
CTS,20200410,6.14,6.17,5.8,6.14,90160
CVT,20200410,17.8,18.4,17.6,17.6,156050
D2D,20200410,52,52.8,50.1,51,107090
DAG,20200410,5,5.1,4.79,5,117870
DAH,20200410,9.5,9.7,9.25,9.7,135710
DBC,20200410,20.4,21.15,20,20.85,2621760
DBD,20200410,50,50.9,49.7,50.1,20470
DCL,20200410,18.95,20.25,18.95,20.25,391360
DCM,20200410,6.36,6.45,6.2,6.4,580060
DGW,20200410,22.1,22.2,21.5,21.85,422150
DHA,20200410,27.05,27.7,27,27.5,10300
DHC,20200410,34,34.75,34,34.6,138650
DHG,20200410,88,89.7,87.8,89.2,36400
DHM,20200410,3.18,3.63,3.18,3.63,302750
DIC,20200410,1.41,1.45,1.39,1.42,163650
DIG,20200410,11.1,11.35,10.8,11.2,1529370
DLG,20200410,1.55,1.58,1.51,1.53,3761920
DMC,20200410,53.2,53.2,51.8,52.7,204120
DPG,20200410,24.6,25.1,24.25,24.9,327830
DPM,20200410,13.8,13.95,13.4,13.7,1602940
DPR,20200410,35.7,36,35.7,35.8,940
DQC,20200410,17,17.8,16.9,17.45,90130
DRC,20200410,17.4,17.4,16.9,17.3,385770
DRH,20200410,3.94,4.01,3.8,4.01,1408510
DRL,20200410,51,51,51,51,700
DSN,20200410,44.8,44.8,44,44.2,19320
DTA,20200410,4.22,4.23,4.1,4.23,8000
DTL,20200410,15.95,15.95,15.7,15.9,510
AAA,20200410,10.95,10.95,10.5,10.65,1045380
AAM,20200410,11.7,11.7,11.55,11.55,130
ABS,20200410,37.65,37.65,32.75,32.75,311640
ABT,20200410,31,31,31,31,50
ACL,20200410,20,20.05,18.35,19,7060
ADS,20200410,10.45,10.45,10.4,10.45,2010
AGG,20200410,28.3,28.65,27.9,28.3,203400
AGM,20200410,10.8,11,10.5,10.7,22920
AGR,20200410,2.5,2.62,2.48,2.6,218760
AMD,20200410,2.9,2.92,2.78,2.81,13839620
ANV,20200410,17,17,16.1,16.4,210690
APC,20200410,15.3,15.3,14.7,15,5170
APG,20200410,9.1,9.2,9.1,9.2,527150
ASM,20200410,4.35,4.38,4.19,4.25,1973180
ASP,20200410,5,5.15,4.95,5.1,109550
AST,20200410,45,47.8,44.5,47.25,170570
ATG,20200410,0.58,0.58,0.54,0.54,85920
BBC,20200410,42.2,45,42.2,45,20
BCE,20200410,6.74,7.06,6.74,7.04,99180
BCG,20200410,5.13,5.13,4.93,4.95,290300
BFC,20200410,10.9,10.9,10.5,10.65,256030
BHN,20200410,42.8,43.95,42,43.95,26950
BIC,20200410,25,25,25,25,650
BID,20200410,37.3,37.8,36.7,36.9,1198580
BMC,20200410,11.2,11.3,10.2,10.5,19910
BMI,20200410,16.3,16.45,16.05,16.1,353710
BMP,20200410,40.85,40.85,39.5,39.6,271480
BSI,20200410,8.6,8.6,8.3,8.4,1540
BTP,20200410,15.45,15.45,14.5,15,482640
BTT,20200410,36,38,34.55,38,3020
BVH,20200410,47,48.1,45.55,46,750810
BWE,20200410,17.95,18,17.6,17.8,186080
C32,20200410,20.8,21,20.8,20.8,15810
C47,20200410,6.8,7,6.8,6.8,14110
CAV,20200410,59,59,59,59,90
CCL,20200410,5.35,5.5,5.3,5.4,143530
CDC,20200410,13.9,13.9,13.9,13.9,20
CEE,20200410,14.6,16.45,14.5,16.45,3640
VNAll-INDEX,20200410,674.38,676.36,664.54,671.62,275257130
CDPM2001,20200410,0.82,0.82,0.51,0.7,24260
CFPT1905,20200410,0.1,0.12,0.06,0.1,26280
CFPT1908,20200410,0.38,0.43,0.38,0.42,59670
CFPT2001,20200410,0.26,0.26,0.21,0.21,22510
CFPT2002,20200410,0.43,0.43,0.38,0.38,770
CGMD1901,20200410,0.02,0.02,0.01,0.02,69030
CGMD2001,20200410,0.06,0.06,0.04,0.04,150580
CHDB2001,20200410,0.14,0.16,0.12,0.13,156100
CHDB2003,20200410,0.7,0.73,0.68,0.69,58700
CHDB2004,20200410,0.04,0.04,0.02,0.03,214130
CHPG1907,20200410,0.06,0.15,0.06,0.13,73670
CHPG1909,20200410,0.06,0.09,0.06,0.09,167280
CHPG2001,20200410,0.22,0.28,0.22,0.26,34440
CHPG2002,20200410,0.68,0.71,0.64,0.67,31550
CHPG2003,20200410,0.1,0.1,0.08,0.1,105930
CHPG2004,20200410,0.35,0.41,0.34,0.39,141730
CMBB1903,20200410,0.03,0.03,0.02,0.02,65540
CMBB2001,20200410,0.11,0.12,0.1,0.1,83610
CMSN1902,20200410,0.08,0.14,0.08,0.14,170100
CMSN2001,20200410,1.97,2.37,1.97,2.29,66240
CMWG2001,20200410,0.07,0.08,0.05,0.06,523140
CMWG2002,20200410,0.1,0.1,0.08,0.1,50270
CMWG2003,20200410,0.01,0.02,0.01,0.02,196550
CMWG2004,20200410,0.25,0.36,0.25,0.3,21930
CNVL2001,20200410,1.43,1.47,1.43,1.47,10940
CPNJ2001,20200410,0.01,0.02,0.01,0.01,236890
CREE1903,20200410,0.11,0.18,0.1,0.1,39500
CREE1905,20200410,0.43,0.47,0.41,0.47,31260
CREE2001,20200410,0.28,0.34,0.28,0.32,13160
