<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
FUCVREIT,20200304,7.07,7.07,7.07,7.07,10
VNG,20200304,16.3,16.35,16,16.15,313410
VNL,20200304,14.55,14.55,14.55,14.55,20
VNM,20200304,105.3,106,104.5,104.8,612800
VNS,20200304,9.88,9.89,9.8,9.8,9250
VOS,20200304,1.57,1.58,1.56,1.58,91600
VPB,20200304,26.95,27.3,26.55,27.15,2990200
VPD,20200304,15,15.1,15,15,3460
VPG,20200304,22.9,23,22.9,23,55090
VPH,20200304,3.89,3.89,3.88,3.88,760
VPI,20200304,41.6,41.7,41.4,41.55,636860
VPS,20200304,10,10,10,10,10
VRC,20200304,6.58,6.58,6.36,6.52,132930
VRE,20200304,28.3,28.5,28.1,28.45,966120
VSC,20200304,24.15,24.15,24,24,14510
VSH,20200304,21.8,22,21.8,21.9,30560
VSI,20200304,23.5,23.5,22,22,4580
VTB,20200304,13,13.4,13,13.2,3270
VTO,20200304,7.7,7.7,7.56,7.57,10730
YBM,20200304,3.95,4.16,3.9,3.91,10440
YEG,20200304,73.7,73.7,73.7,73.7,13750
TVB,20200304,16.8,17,16.7,17,134990
TVS,20200304,11.8,11.8,11.2,11.8,32440
TYA,20200304,13.65,14,13.6,13.9,44400
UDC,20200304,3.7,3.89,3.7,3.72,1380
UIC,20200304,38,39,36.8,37.95,6820
VCB,20200304,82,82,81,81.7,581530
VCF,20200304,199,199.9,197,197,530
VCI,20200304,26.4,26.4,26,26,6280
VDP,20200304,31,31,31,31,3000
VDS,20200304,7.15,7.15,7.1,7.1,20
VFG,20200304,41.9,43.9,41.9,42,17350
VGC,20200304,18.5,18.6,18.3,18.5,644960
VHC,20200304,33.5,33.6,32.2,32.4,155530
VHM,20200304,79.1,80.5,78.9,80.5,901070
VIC,20200304,104.6,105.5,103.5,105.5,443810
VID,20200304,3.75,3.75,3.75,3.75,240
VIP,20200304,5.16,5.16,5.1,5.15,4570
VIS,20200304,22.5,22.5,22.5,22.5,150
VJC,20200304,120.8,128.7,119.9,121.3,401940
VMD,20200304,21,21,20,20,3410
VND,20200304,13.55,13.75,13.4,13.75,342750
VNE,20200304,4.39,4.39,4.1,4.11,517860
TLD,20200304,4.45,4.5,4.45,4.5,161840
TLG,20200304,38,38.5,38,38.5,43310
TLH,20200304,3.21,3.25,3.17,3.2,76880
TMP,20200304,35.2,35.5,35.2,35.3,3400
TMS,20200304,25.55,26.5,25.5,25.5,1750
TMT,20200304,5.1,5.1,4.9,4.9,910
TN1,20200304,61.8,61.8,60.3,60.3,5280
TNA,20200304,17.7,17.7,17.3,17.5,497550
TNC,20200304,12.3,12.3,12.3,12.3,4700
TNI,20200304,10.15,10.15,9.9,10.05,681000
TNT,20200304,1.5,1.53,1.5,1.53,20460
TPB,20200304,21.75,22.15,21.35,21.9,671700
TRA,20200304,55,55,53.5,53.5,12960
TRC,20200304,30,30,29.5,30,510
TS4,20200304,2.85,3.05,2.85,3.05,1050
TSC,20200304,2.14,2.28,2,2.28,943860
TTB,20200304,3.38,3.57,3.38,3.53,620790
TTE,20200304,12.5,12.5,12.5,12.5,10
TTF,20200304,2.7,2.88,2.68,2.85,1187780
TV2,20200304,68,69.4,68,69.4,8710
TCL,20200304,19.2,19.5,19,19.1,6990
TCM,20200304,17.5,18.2,17.4,18.1,326740
TCO,20200304,12.1,12.1,10.6,12.1,70
TCR,20200304,3.06,3.27,3.06,3.27,340
TCT,20200304,37.5,37.9,37.5,37.7,14560
TDC,20200304,8.1,8.15,8.08,8.08,19850
TDG,20200304,1.77,1.88,1.74,1.88,601960
TDH,20200304,9.45,9.5,9.42,9.45,381650
TDM,20200304,23.1,23.3,22.75,22.8,145310
TEG,20200304,4,4,3.81,3.9,10010
