<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
A32,20200203,40.2,40.2,40.2,40.2,200
ABC,20200203,9.7,9.7,9,9.7,27200
ABI,20200203,29.2,29.2,29,29.1,1300
ABR,20200203,16,16,16,16,200
ACV,20200203,62,62,56,58.7,99773
ADG,20200203,90.7,90.7,90.2,90.6,9600
AFX,20200203,2.7,3.1,2.7,2.8,99900
AGP,20200203,19.2,19.2,19.2,19.2,600
AMS,20200203,7,7,7,7,100
ANT,20200203,10.5,11.2,10.5,10.5,40400
APF,20200203,22,22,22,22,5600
ATB,20200203,0.7,0.7,0.7,0.7,300
AVC,20200203,27,27,27,27,100
BAB,20200203,18.1,18.1,18.1,18.1,3100
BAL,20200203,9.4,9.4,9.4,9.4,100
BBT,20200203,25.2,27,25.2,25.5,21732
BCM,20200203,27.1,27.1,23.7,24.2,16840
BCP,20200203,13,13,13,13,1
BDG,20200203,37.3,37.3,36,36,400
BDT,20200203,11.4,11.4,11,11,15100
BHK,20200203,10.8,10.8,10.8,10.8,100
BLT,20200203,14,14,14,14,100
BMS,20200203,3.3,3.3,3.2,3.2,900
BOT,20200203,55.7,56,55.6,56,30800
BSA,20200203,13.1,13.1,12.2,12.3,7200
BSP,20200203,17.1,17.1,17.1,17.1,2800
BSR,20200203,7.6,7.6,6.8,7.4,3747796
BTD,20200203,16.2,16.2,14.3,15.7,12000
BVG,20200203,1.8,1.8,1.8,1.8,10000
BWS,20200203,31.2,34,31,33.9,4507
C12,20200203,1.8,1.8,1.8,1.8,300
C21,20200203,24.5,24.5,24.5,24.5,1
C4G,20200203,5.7,6.6,5,5.8,665100
CAT,20200203,9.3,9.5,9.3,9.5,17300
CBI,20200203,4.5,4.5,4.5,4.5,4600
CC4,20200203,11.5,11.5,11.5,11.5,1000
CCR,20200203,14,14.1,13.3,13.5,3400
CDO,20200203,0.9,1,0.9,0.9,87300
CDP,20200203,10.3,10.3,10.3,10.3,2300
CEN,20200203,9.3,9.3,9.2,9.2,14300
CLX,20200203,12.3,12.3,11.5,11.5,2300
CMF,20200203,172.3,172.3,172.3,172.3,100
CMT,20200203,8.2,8.2,8,8,3000
CNC,20200203,20.9,20.9,20.5,20.5,200
CTR,20200203,43,43.5,39.5,42.1,608742
DAS,20200203,9.4,9.4,8.3,8.3,600
DC1,20200203,8,8,8,8,100
DDN,20200203,12.8,12.9,12,12,8333
DHD,20200203,26.8,26.9,26.8,26.9,2700
DNE,20200203,9,9,9,9,300
DNH,20200203,25.8,25.8,25.8,25.8,500
DNW,20200203,19.4,19.4,19.4,19.4,100
DRG,20200203,10.1,10.1,10.1,10.1,100
DRI,20200203,5.3,5.4,4.8,5.1,52840
DSC,20200203,5.1,5.1,5.1,5.1,400
DSP,20200203,12.1,12.2,12.1,12.2,302
DTG,20200203,15.8,15.8,15.8,15.8,500
DTK,20200203,8.5,8.5,8.5,8.5,11200
DVN,20200203,14.4,14.6,14,14.4,978941
E29,20200203,13.6,13.6,13.6,13.6,100
EIN,20200203,5,5,5,5,11600
EMS,20200203,38,38,38,38,4400
EPH,20200203,7.2,7.5,7.2,7.5,400
EVF,20200203,6.4,6.4,5.6,6.3,174185
FOX,20200203,38,40,34.4,40,1240
FRM,20200203,12.2,12.2,12,12,1500
