<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
ABC,20200703,11,11,10.8,10.8,4210
ABI,20200703,28.6,28.6,28.1,28.4,19000
ACE,20200703,28.5,28.5,28.5,28.5,10
ACS,20200703,11,11,11,11,200
ACV,20200703,59.9,59.9,57,59.1,83392
ADG,20200703,107.3,107.3,107,107.2,19200
AFX,20200703,4.9,5.1,4.9,5.1,16390
AGF,20200703,2.8,2.8,2.5,2.8,1754
AGP,20200703,16.8,16.8,16.8,16.8,1000
ALV,20200703,2,2,2,2,1720
AMS,20200703,8.6,8.6,7.5,7.9,11500
APT,20200703,3.2,3.3,3.2,3.3,26500
ASA,20200703,1.2,1.2,1.2,1.2,100
ATA,20200703,0.3,0.3,0.2,0.3,25422
ATB,20200703,0.6,0.7,0.6,0.7,160400
AVC,20200703,25,25,25,25,1
AVF,20200703,0.3,0.4,0.3,0.4,496891
B82,20200703,0.4,0.4,0.4,0.4,62
BAB,20200703,18.3,18.3,18,18.3,3400
BAL,20200703,7,7,6.7,6.7,800
BBT,20200703,18.3,18.3,18.3,18.3,2000
BCM,20200703,26.7,26.7,26.4,26.7,7410
BDG,20200703,29.7,30,29.6,30,1600
BDT,20200703,17,17.7,16.6,16.7,42500
BHC,20200703,2.8,2.8,2.8,2.8,107
BHT,20200703,6.3,6.3,6.3,6.3,100
BHV,20200703,6,6,6,6,93
BLI,20200703,7.5,7.5,7.5,7.5,108
BOT,20200703,51,51.2,50.8,51.1,28000
BRR,20200703,9.1,9.1,9.1,9.1,100
BSA,20200703,11.9,11.9,11.8,11.8,5500
BSL,20200703,12,12,11.9,11.9,1300
BSP,20200703,18,18,18,18,1
BSR,20200703,7,7.1,6.9,6.9,1134101
BT6,20200703,1.2,1.2,1.2,1.2,259
BUD,20200703,5.1,5.1,5,5,1900
BVG,20200703,1.3,1.3,1.3,1.3,2000
BWS,20200703,37,37,31.4,35.1,300
C21,20200703,18.5,18.5,18.5,18.5,6
C4G,20200703,7.1,7.1,6.9,7.1,144790
CAD,20200703,0.3,0.3,0.3,0.3,2720
CAT,20200703,10,10,10,10,2000
CBI,20200703,3.3,3.3,3.3,3.3,100
CC4,20200703,9,9,9,9,500
CCA,20200703,7.2,7.2,7,7,1800
CCR,20200703,12,12,12,12,50
CDO,20200703,0.9,0.9,0.8,0.9,745
CDP,20200703,9,9,9,9,200
CEN,20200703,6,6,6,6,500
CHS,20200703,8.5,8.6,8.5,8.6,1100
CKA,20200703,19.3,19.3,19.3,19.3,100
CLX,20200703,12,12,12,12,2903
CMI,20200703,1.1,1.1,1.1,1.1,5000
CMT,20200703,6.2,6.2,6.2,6.2,9620
CNC,20200703,18.6,18.6,18.5,18.5,500
CNT,20200703,4.8,4.8,4.7,4.7,1309
CTA,20200703,0.3,0.3,0.3,0.3,47
CTN,20200703,0.2,0.2,0.2,0.2,2
CTR,20200703,46.8,46.9,46.2,46.6,164166
CYC,20200703,0.7,0.7,0.6,0.6,4000
DAC,20200703,3.3,3.3,3.3,3.3,80
DCR,20200703,1.9,1.9,1.9,1.9,100
DCS,20200703,0.5,0.5,0.4,0.4,57758
DCT,20200703,0.6,0.6,0.6,0.6,17000
DDM,20200703,0.4,0.4,0.3,0.3,3064
DDN,20200703,9.1,9.1,9.1,9.1,28
DLR,20200703,10.4,10.4,10.4,10.4,100
DNE,20200703,9.3,9.3,9.3,9.3,100
DNR,20200703,10.2,10.2,10.2,10.2,100
DNW,20200703,16.5,17.3,16.5,17.3,3400
DNY,20200703,1.4,1.4,1.4,1.4,30000
DP2,20200703,2.6,2.6,2.6,2.6,1300
DRI,20200703,4.4,4.4,4.3,4.3,46912
DSC,20200703,6.9,6.9,6.9,6.9,1000
DTC,20200703,9.3,9.3,9.3,9.3,500
DVN,20200703,11.1,11.1,10.8,10.9,148010
E29,20200703,13.8,13.8,13.8,13.8,200
EFI,20200703,1.9,2,1.9,2,111911
EMS,20200703,36.7,36.7,36.7,36.7,20
EVF,20200703,6.8,7,6.7,6.8,29773
FDG,20200703,0.5,0.5,0.4,0.4,320
FHS,20200703,29,29,29,29,100
FIC,20200703,8,9.3,8,9.3,500
FOC,20200703,119.7,119.7,119.7,119.7,120
FOX,20200703,49,49.5,49,49.5,10120
G20,20200703,0.3,0.3,0.2,0.3,700
G36,20200703,6.3,6.3,6,6.2,310023
GCB,20200703,5.7,5.7,5.7,5.7,500
GGG,20200703,1,1,1,1,5157
GHC,20200703,32.5,32.5,32.5,32.5,2000
GTT,20200703,0.2,0.3,0.2,0.2,202435
GVT,20200703,30.4,30.4,30.4,30.4,1000
HAC,20200703,4.9,4.9,4.9,4.9,40
HBH,20200703,4.6,4.6,4.6,4.6,990
HCB,20200703,18,18,18,18,3100
HCI,20200703,28.4,28.4,28.4,28.4,100
HD2,20200703,5.5,5.5,5.5,5.5,1500
HD8,20200703,6.2,6.2,6.2,6.2,2000
HDO,20200703,0.3,0.3,0.2,0.2,6146
HDP,20200703,9.5,9.5,9.5,9.5,800
HEP,20200703,9.5,9.5,8.6,8.6,600
HES,20200703,10.5,10.5,10.5,10.5,11410
HIG,20200703,7.1,7.1,7.1,7.1,5
HLA,20200703,0.3,0.3,0.2,0.3,14818
HLB,20200703,103,103,103,103,9
HLG,20200703,6.2,7,6.2,7,23750
HND,20200703,17.4,17.6,17.4,17.5,42415
HNE,20200703,7.8,7.8,7.8,7.8,200
HNF,20200703,22.1,23,22.1,23,579
HNI,20200703,34.9,35,34.9,35,5000
HNM,20200703,3.8,4.3,3.8,4.3,62990
HPB,20200703,15,15,15,15,6000
HPD,20200703,14.5,14.5,14.5,14.5,1600
HPH,20200703,4.6,4.6,4.6,4.6,600
HPI,20200703,14.1,14.1,12.4,12.4,42000
HPT,20200703,9.9,9.9,9.9,9.9,3005
HSA,20200703,32.8,32.8,32.8,32.8,2000
HSI,20200703,1,1,1,1,6
HSP,20200703,11.5,11.5,11.5,11.5,1000
HTG,20200703,20.9,21.2,20.8,21,6800
HTM,20200703,11.4,11.7,11.3,11.3,6111
HTT,20200703,0.7,0.8,0.6,0.8,73080
HU4,20200703,7.8,7.8,7.8,7.8,100
HU6,20200703,6.3,6.3,6.3,6.3,1200
HVA,20200703,1.9,1.9,1.9,1.9,8300
HWS,20200703,11,12.1,11,12.1,600
ICC,20200703,36,36.7,36,36.7,200
ICF,20200703,1.2,1.2,1.2,1.2,10
IFS,20200703,18.5,18.5,18.5,18.5,14
ILA,20200703,2.5,2.5,2.5,2.5,2700
ILC,20200703,3,3,3,3,75
ILS,20200703,11.8,12,11.7,12,11600
ITS,20200703,3.6,3.6,2.9,3.6,610
KDF,20200703,30.2,30.2,29.6,30,9500
KHB,20200703,0.4,0.6,0.4,0.4,111500
KHD,20200703,8.6,8.6,8.4,8.4,300
KHL,20200703,0.2,0.3,0.2,0.3,15500
KLB,20200703,9.5,9.5,9,9.5,205
KSH,20200703,0.5,0.5,0.4,0.5,4453072
KSK,20200703,0.3,0.3,0.2,0.2,373800
KTL,20200703,20.4,20.4,20.4,20.4,502
L44,20200703,1.4,1.4,1.4,1.4,2
LKW,20200703,23.5,23.5,23.5,23.5,5
LMH,20200703,0.8,0.9,0.6,0.8,1178100
LPB,20200703,8.2,8.3,8.1,8.2,887057
LTC,20200703,2.4,2.4,2.4,2.4,632
LTG,20200703,19.1,19.6,19.1,19.2,40249
M10,20200703,16.5,16.8,16.5,16.6,5620
MCH,20200703,70,70.3,69,69.9,11225
MFS,20200703,25.4,25.6,25.3,25.6,21940
MGG,20200703,49.3,49.3,49.3,49.3,100
MH3,20200703,46.5,46.5,42.5,43,700
MIG,20200703,9.7,9.7,9.6,9.7,29400
MLS,20200703,22.6,23.2,22,22.1,90400
MML,20200703,48,48.4,40.8,48,4636
MPC,20200703,26,26.4,26,26.2,40032
MQN,20200703,44.2,44.2,44.2,44.2,100
MSR,20200703,15.3,15.3,15,15,21702
MTA,20200703,3.8,3.8,3.8,3.8,2300
MTH,20200703,8.1,8.1,8.1,8.1,80
MVB,20200703,10.8,10.8,10.8,10.8,100
MVN,20200703,9,9,9,9,100
NBE,20200703,6.8,6.8,6.8,6.8,9700
NCP,20200703,9.7,9.7,9.7,9.7,10000
NDF,20200703,0.5,0.5,0.4,0.4,25600
NDT,20200703,4,4,4,4,300
NHT,20200703,24.1,24.1,24.1,24.1,300
NHV,20200703,16.8,16.8,16.8,16.8,200
NNG,20200703,9.5,9.9,9.5,9.9,1100
NOS,20200703,0.3,0.3,0.3,0.3,1000
NTB,20200703,0.2,0.3,0.2,0.3,92930
NTC,20200703,191.4,191.4,189.5,191,4939
NTT,20200703,5.7,5.7,5.6,5.6,700
NUE,20200703,8.1,8.4,8.1,8.1,4000
OIL,20200703,8.1,8.6,8,8.1,199730
