<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VPG,20200609,19.1,19.2,17.8,19,36290
VPH,20200609,5,5.21,4.8,5.19,356160
VPI,20200609,41.3,41.6,40.5,41.35,457560
VPS,20200609,10.2,10.2,10.2,10.2,100
VRC,20200609,8.2,8.88,8.01,8.88,617520
VRE,20200609,28.35,28.6,27.8,27.9,2864250
VSC,20200609,29,29.6,28.5,29,548200
VSH,20200609,17.7,17.7,17.6,17.7,15790
VSI,20200609,22.2,22.75,20.85,22.4,4550
VTB,20200609,10.85,10.85,10.45,10.55,33390
VTO,20200609,7.69,7.7,7.68,7.7,17300
YBM,20200609,5.1,5.1,4.9,5,53930
YEG,20200609,58.3,58.4,57.6,57.7,24640
VJC,20200609,116.8,118.8,116,117.8,727700
VMD,20200609,20.8,21.15,20,21.1,3460
VND,20200609,13.9,14,13.6,13.65,1098390
VNE,20200609,4.65,4.79,4.57,4.62,88150
VNG,20200609,13.75,14.7,13.75,14.7,252890
VNL,20200609,13.8,13.8,13.8,13.8,800
VNM,20200609,123.1,126,123.1,125,1704320
VNS,20200609,11.05,11.35,10.7,11,28230
VOS,20200609,1.65,1.66,1.56,1.56,516720
VPB,20200609,24.45,24.45,24,24.1,4906760
VPD,20200609,14.6,14.6,14.6,14.6,700
VCB,20200609,89.9,90,89.4,89.5,417690
VCF,20200609,220,220,219.9,220,70
VCI,20200609,25.5,25.6,24.7,24.85,1394860
VDS,20200609,6.03,6.2,6.02,6.2,13660
VFG,20200609,38.3,38.3,38.3,38.3,10
VGC,20200609,19.1,19.25,18.95,19.15,354680
VHC,20200609,40.75,40.75,39.3,39.55,847390
VHM,20200609,78,78.7,77.4,77.6,2837400
VIC,20200609,97,97,96.1,96.2,318400
VID,20200609,8.19,8.19,8.19,8.19,34380
VIP,20200609,5.12,5.25,5.12,5.22,56010
VIS,20200609,19,19,19,19,150
TV2,20200609,80.2,80.8,79,79.2,70510
TVB,20200609,10,10,9.75,9.85,944060
TVS,20200609,10.9,10.9,10.7,10.7,52300
TVT,20200609,19.8,20.7,19.8,20.5,1710
TYA,20200609,13.3,13.4,13.2,13.3,86500
UDC,20200609,4.05,4.05,4,4.05,269890
UIC,20200609,37.05,37.2,37,37.2,23670
TTF,20200609,3.42,3.45,3.1,3.38,3836750
TNI,20200609,7.39,8.49,7.39,8.49,13764680
TNT,20200609,1.74,1.75,1.64,1.75,147400
TPB,20200609,21.8,21.8,21.5,21.65,42790
TPC,20200609,8.37,8.37,8.37,8.37,100
TRA,20200609,58.5,58.5,58.1,58.1,2860
TRC,20200609,30,30,30,30,12030
TS4,20200609,3.45,3.65,3.45,3.65,113300
TSC,20200609,2.75,2.75,2.58,2.59,1400740
TTB,20200609,5.68,5.78,5.61,5.78,2016050
TIP,20200609,22.2,22.7,21.75,22,235700
TLD,20200609,6.3,6.51,6.3,6.4,85860
TLG,20200609,33.7,34,33.6,33.8,373370
TLH,20200609,4,4.04,3.89,3.89,287770
TMP,20200609,35.25,35.25,35.25,35.25,530
TMS,20200609,27,27,26,26.25,1150
TMT,20200609,5.6,6.1,5.6,6.1,4110
TN1,20200609,66,66,65.7,66,1320
TNA,20200609,19.1,20,18.8,19.9,713720
TNC,20200609,20.8,20.8,20.8,20.8,3040
TBC,20200609,23.6,24,23.6,24,800
TCB,20200609,21.7,21.8,21.5,21.55,1702620
TCD,20200609,9.25,9.25,9.1,9.1,4900
TCH,20200609,23,23.1,22.3,22.65,1873080
TCL,20200609,25.85,26,25.8,25.85,133770
TCM,20200609,20.7,20.7,19.95,19.95,839200
TCR,20200609,2.85,3.04,2.8,2.99,14970
TCT,20200609,32.6,33,32,32,36700
TDC,20200609,8.37,8.37,8.25,8.32,156540
TDG,20200609,1.77,1.85,1.77,1.78,413540
TDH,20200609,9.67,9.9,9.51,9.6,1824030
TDM,20200609,23.6,23.7,23.2,23.3,143030
TDW,20200609,26,27,26,26.1,410
TEG,20200609,5.7,5.7,5.51,5.69,47330
TGG,20200609,1.07,1.14,1.07,1.14,780770
THG,20200609,55,55.9,54.7,55.9,11650
THI,20200609,27.6,27.6,27.6,27.6,90
SSI,20200609,16.3,16.3,15.8,15.85,6435790
ST8,20200609,11.4,11.6,11.4,11.6,610
STB,20200609,10.75,10.9,10.65,10.75,14170310
STG,20200609,15.5,15.5,15.4,15.45,820
STK,20200609,18,18.2,17.9,18,335840
SVC,20200609,69.8,69.8,69.8,69.8,10
SVI,20200609,71.1,71.1,69.6,69.6,720
SVT,20200609,18.65,18.65,18.65,18.65,3010
SZC,20200609,21.55,22.4,21.35,21.9,1822080
SZL,20200609,41.9,41.9,41.1,41.5,82630
TAC,20200609,34.2,34.8,33.7,34,81180
SJF,20200609,2.68,2.68,2.68,2.68,285240
SJS,20200609,24.7,25.1,24.2,24.3,119690
SKG,20200609,10.8,11,10.6,10.65,164160
SMA,20200609,12.7,13.3,12.7,13.3,940
SMB,20200609,31.4,31.9,31.4,31.9,23720
SMC,20200609,10.9,11,10.65,10.95,50630
SPM,20200609,9.95,11.25,9.95,11.25,6040
SRC,20200609,16.9,16.9,16.5,16.5,19830
SRF,20200609,13.4,13.6,13.3,13.55,460
SFG,20200609,6.1,6.25,6,6.01,32630
SFI,20200609,19.9,19.9,19.4,19.5,110
SGN,20200609,71.5,75,71.5,75,44950
SGR,20200609,16.5,16.5,16.5,16.5,10
SGT,20200609,5.54,5.54,5.25,5.54,9240
SHA,20200609,4.2,4.35,4.2,4.35,27370
SHI,20200609,9,9,8.85,8.99,555490
SHP,20200609,24.4,24.5,24.4,24.5,1140
SII,20200609,17.7,17.7,17.7,17.7,10
SJD,20200609,17.35,17.45,17.25,17.4,40400
SAB,20200609,182.7,182.7,178,178.7,54360
SAM,20200609,9.2,9.26,9.11,9.25,38500
SAV,20200609,10,10,9.5,9.9,14780
SBA,20200609,14.2,14.5,14.2,14.5,6560
SBT,20200609,16.7,16.7,16.1,16.15,2200060
SBV,20200609,10.8,10.8,10,10,41430
SCD,20200609,22,22,22,22,6950
SCR,20200609,6.05,6.06,5.8,6.04,6032090
SCS,20200609,131,132,128,129,19130
PTB,20200609,50.7,54.2,50.7,53.7,509000
PTC,20200609,8.56,9.5,8.56,9.35,210
PTL,20200609,3.15,3.15,3.08,3.15,19990
PVD,20200609,12,12,11.7,11.75,6511690
PVT,20200609,11.75,11.75,11.6,11.65,1635860
PXI,20200609,2.69,2.69,2.59,2.6,21010
PXS,20200609,4.6,4.6,4.4,4.5,119910
PXT,20200609,1.7,1.7,1.7,1.7,180510
QBS,20200609,3.6,3.6,3.2,3.6,742690
QCG,20200609,8.51,8.8,8.38,8.41,955140
RAL,20200609,80,80,78.4,79,6950
RDP,20200609,8.94,9.4,8.94,8.94,3940
REE,20200609,32.5,32.5,31.9,31.95,585770
RIC,20200609,4.28,4.48,4.28,4.48,1620
ROS,20200609,3.88,3.92,3.51,3.69,58448790
S4A,20200609,27.2,27.5,27.2,27.5,7000
PC1,20200609,18,18.1,17.7,17.7,448740
PDR,20200609,26.2,26.4,25.9,26,575380
PET,20200609,8.6,8.63,8.53,8.56,441190
PGC,20200609,14.7,16,14.7,15.7,293410
PGD,20200609,30,30,29.4,29.4,8920
PGI,20200609,16.9,16.9,16.3,16.3,3630
PHC,20200609,10.5,10.7,10.1,10.45,218400
PHR,20200609,54.5,55.5,53.5,53.7,1190660
PIT,20200609,3.9,3.9,3.7,3.85,2520
PJT,20200609,11.35,11.35,10.9,11,11180
PLP,20200609,9.1,9.25,8.8,9.01,166690
PLX,20200609,48,48.1,47.4,47.6,670760
PME,20200609,62.7,65,62.5,63.5,66840
PMG,20200609,12.2,12.25,12.1,12.15,13700
PNC,20200609,10.2,10.2,9.4,10,70
PNJ,20200609,66.6,66.7,64.8,65.5,741240
POM,20200609,7,7,6.64,6.7,104810
POW,20200609,10.7,11.2,10.65,11.05,11287760
PPC,20200609,25.75,26,25.55,25.7,246080
MSN,20200609,63.5,64.2,62.7,63,1614250
MWG,20200609,90.8,90.8,88.6,88.7,1115180
NAF,20200609,26,26.9,26,26.5,144350
NBB,20200609,19.1,19.4,19.05,19.3,37370
NCT,20200609,62.2,62.2,61.5,61.7,14870
NHH,20200609,48.15,48.15,47.8,48,200280
NKG,20200609,8.4,8.5,8.19,8.4,3712540
NLG,20200609,24.3,24.65,23.85,24.3,1663490
NNC,20200609,47.1,48,47.1,47.2,8910
NSC,20200609,63,63,62.7,62.7,4220
NT2,20200609,21.6,21.9,21.45,21.75,347460
NTL,20200609,18.4,18.6,18,18.5,1865820
NVL,20200609,54.8,55.5,53.5,54.5,1389690
NVT,20200609,5.3,5.3,5.2,5.2,1240
OGC,20200609,3.84,3.84,3.6,3.65,3418070
OPC,20200609,58,58,58,58,1100
PAC,20200609,24,24,23.4,23.6,74590
PAN,20200609,21.55,22,21.55,21.6,29630
LBM,20200609,27.6,27.6,27.6,27.6,20
LCG,20200609,8.1,8.1,7.89,7.93,791790
LCM,20200609,0.66,0.7,0.66,0.7,39910
LDG,20200609,6.78,6.88,6.52,6.85,7521760
LEC,20200609,16.75,16.75,15.1,15.15,1400
LGC,20200609,40,40.5,39,40.5,6080
LGL,20200609,5.48,5.48,5.45,5.48,191700
LHG,20200609,18.45,18.7,18.45,18.6,386610
LIX,20200609,54.8,55.2,54,54.3,134480
LM8,20200609,16,16,15.3,15.8,2160
LMH,20200609,0.72,0.77,0.72,0.77,1172620
LSS,20200609,5.49,5.59,5.3,5.5,312820
MBB,20200609,18.15,18.2,18.05,18.1,5953860
MCG,20200609,1.72,1.79,1.63,1.79,59310
MDG,20200609,11,11.1,11,11.1,100
MHC,20200609,3.33,3.54,3.33,3.54,278430
MSH,20200609,37.6,39,37.6,38.8,444550
HVN,20200609,29,30.45,28.9,30.15,3082330
HVX,20200609,3.5,3.5,3.4,3.5,10950
IBC,20200609,22.4,22.4,22.3,22.3,201350
ICT,20200609,17.85,18.5,17.6,18.5,77150
IDI,20200609,5.14,5.14,4.88,4.91,3621520
IJC,20200609,13,13,12.7,12.9,606230
ILB,20200609,17.85,17.85,16.7,16.9,11080
IMP,20200609,58.8,59.5,57.7,58.5,61940
ITA,20200609,5.3,5.3,5.3,5.3,7096570
ITC,20200609,12.2,12.85,12.2,12.85,7020
ITD,20200609,9,9.3,8.87,9.3,84110
JVC,20200609,3.15,3.35,3.02,3.35,3065870
KBC,20200609,14.5,15.2,14.35,14.8,4940700
KDC,20200609,33.8,34.3,33.3,33.65,1237350
KDH,20200609,23.9,24.1,23.5,23.5,891610
KHP,20200609,8.12,8.3,8.11,8.3,1990
KMR,20200609,2.4,2.4,2.31,2.37,188670
KOS,20200609,32,32,31.2,31.4,421930
KSB,20200609,27.5,29.2,27.1,28.7,1460820
LAF,20200609,7.92,8.49,7.92,8.49,11600
HSG,20200609,11.7,11.9,11.2,11.3,13135230
HSL,20200609,5.98,5.99,5.62,5.84,131540
HT1,20200609,14.8,14.8,14.6,14.8,316270
HTI,20200609,12.5,12.6,12.1,12.6,15770
HTL,20200609,12.85,12.95,12.85,12.95,350
HTN,20200609,19,19.5,18.8,19.05,30140
HU1,20200609,5.7,5.7,5.7,5.7,10
HU3,20200609,7.3,7.5,7.3,7.5,1010
HUB,20200609,17.3,18.4,17,18.2,44630
HVH,20200609,10.3,10.5,10,10.5,1038400
GEX,20200609,18.2,18.2,17.55,17.55,1233220
GIL,20200609,20,20.5,19.6,20.35,492990
GMC,20200609,21.9,21.9,21.5,21.9,209730
GMD,20200609,21,21.3,20.7,20.75,289650
GSP,20200609,10.2,10.85,10.2,10.7,61240
GTA,20200609,10.75,11.25,10.7,11.25,2300
GTN,20200609,18.9,19.05,18.5,18.7,1358210
GVR,20200609,13,13.9,13,13.65,4848970
HAG,20200609,5.73,5.82,5.5,5.65,12715070
HAH,20200609,12.2,12.2,11.9,11.9,62580
HAI,20200609,3.57,3.63,3.35,3.36,8371490
