<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAV,20200324,4.4,4.4,4.2,4.4,110700
ACB,20200324,19.1,19.9,19.1,19.6,4315784
ACM,20200324,0.6,0.6,0.5,0.5,123677
ADC,20200324,12.7,12.7,12.7,12.7,3700
AMV,20200324,11.9,11.9,11.1,11.5,350270
API,20200324,8.9,10.6,8.9,9.7,400
APS,20200324,2,2.1,2,2.1,30204
ART,20200324,2.4,2.8,2.4,2.5,6278153
BAX,20200324,40.2,40.2,40.2,40.2,100
BCC,20200324,5.2,5.5,5.2,5.2,205220
BCF,20200324,53,53,53,53,5
BII,20200324,0.6,0.7,0.6,0.7,144120
BST,20200324,32.3,32.3,26.5,26.5,200
BVS,20200324,8.2,8.5,8.1,8.2,43621
C69,20200324,4.9,4.9,4.6,4.9,32700
CAN,20200324,18.1,18.1,18.1,18.1,100
CAP,20200324,28,29.5,27.5,29.5,2710
CEO,20200324,6.6,6.6,6.3,6.4,334413
CET,20200324,2.9,2.9,2.9,2.9,100
CIA,20200324,9.9,10,9.6,9.6,9507
CKV,20200324,14.5,17.3,14.5,17.3,400
CLH,20200324,17.4,17.4,17.4,17.4,100
CMS,20200324,2.3,2.5,2.3,2.5,200
CSC,20200324,23.2,23.9,23,23,30800
CTB,20200324,29,31,29,31,310
CTP,20200324,3.3,3.3,3.3,3.3,44
CTT,20200324,8.7,8.7,8.7,8.7,100
CTX,20200324,10,10,10,10,200
CVN,20200324,7.4,8.6,7.3,8.6,500
D11,20200324,17.1,17.1,14.5,14.5,3200
DAD,20200324,15.9,15.9,15.8,15.8,200
DAE,20200324,14.4,14.4,14.4,14.4,100
DC2,20200324,6.2,6.3,6.1,6.3,29000
DDG,20200324,27.4,27.5,27,27.3,87600
DGC,20200324,21.5,22.4,21.5,21.5,30320
DHT,20200324,43,44.4,43,44,8370
DIH,20200324,15,15,12.6,13.2,1400
DNM,20200324,15.4,15.4,14.1,14.8,8500
DNP,20200324,17.8,18,17.3,18,36713
DNY,20200324,2,2,2,2,300
DP3,20200324,63,63,62,62,5190
DPC,20200324,9.3,9.3,9.3,9.3,300
DS3,20200324,2.8,3,2.8,3,9600
DST,20200324,1.5,1.5,1.5,1.5,120
