<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
ABC,20200108,9.9,9.9,9.7,9.7,38100
ABI,20200108,29.9,30,29.9,30,1600
ABR,20200108,13.8,13.9,13,13.9,2800
ACV,20200108,73.1,73.8,73,73.5,14713
ADG,20200108,90,90.2,88.6,90.2,9600
AFX,20200108,3.4,3.4,3.2,3.2,2900
AGP,20200108,17,17.9,17,17.9,200
AMS,20200108,7.3,7.3,7.3,7.3,500
APF,20200108,21,21,21,21,6200
ATB,20200108,0.7,0.8,0.7,0.7,20500
BAB,20200108,18,18,18,18,3100
BBT,20200108,18.6,18.6,18.6,18.6,10
BCM,20200108,28.2,28.2,28,28,8133
BCP,20200108,14.3,14.3,14.3,14.3,100
BDG,20200108,35.3,35.3,35.3,35.3,700
BDT,20200108,12.6,12.6,12.5,12.5,8000
BEL,20200108,11.6,11.7,11.6,11.7,500
BHK,20200108,16.5,16.5,16.5,16.5,100
BLI,20200108,7.7,7.7,7.7,7.7,2210
BMS,20200108,3.6,3.6,3.6,3.6,100
BOT,20200108,55.7,55.9,55.6,55.7,30700
BSA,20200108,12.9,12.9,12.9,12.9,900
BSL,20200108,13.3,13.3,12.8,12.8,2600
BSP,20200108,19.9,22.7,19.6,19.6,9900
BSR,20200108,8.4,8.4,8,8.1,3326547
BTV,20200108,18.5,18.5,18.5,18.5,110
BVG,20200108,1.8,1.8,1.8,1.8,1500
BWS,20200108,38.3,38.3,31.2,35,2400
C12,20200108,4,4,4,4,100
C22,20200108,13.5,13.5,13,13,300
C4G,20200108,5.8,5.8,5.5,5.7,374100
CC1,20200108,16.4,16.4,14,14.1,1400
CCA,20200108,5.5,5.5,5.5,5.5,2200
CDO,20200108,1.1,1.1,1,1.1,51330
CEC,20200108,15,15,15,15,312
CEN,20200108,12.6,12.6,12.3,12.3,8800
CSI,20200108,12,12,12,12,500
CTR,20200108,39.9,40.4,39.2,39.9,217703
DAR,20200108,6,6,6,6,28000
DAS,20200108,13.5,13.5,13.5,13.5,100
DDN,20200108,9.5,9.5,9.5,9.5,100
DGT,20200108,61,61,61,61,1200
DNR,20200108,16.9,16.9,16.9,16.9,100
DNW,20200108,19,19,19,19,2100
DPH,20200108,22.6,22.6,22.6,22.6,500
DRG,20200108,8.7,8.7,8.7,8.7,200
DRI,20200108,5.9,5.9,5.7,5.9,37051
DVC,20200108,8,8,8,8,200
DVN,20200108,10,10,9.8,9.8,26870
EIN,20200108,5,5,5,5,20
EMS,20200108,39,39,39,39,2000
EVF,20200108,6,6.1,5.1,6,132184
FOC,20200108,122.7,122.7,117.5,117.9,1300
FOX,20200108,42,42,42,42,100
FRM,20200108,12.4,12.4,12.4,12.4,100
G36,20200108,4.5,4.5,4.5,4.5,9900
GHC,20200108,28.9,28.9,28.9,28.9,2500
