<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
ABC,20200519,10.5,10.5,10.3,10.3,1248
ABI,20200519,28.2,28.6,26.8,27.5,76300
ABR,20200519,32.1,32.1,31,31,2500
ACV,20200519,58.3,62,58.2,60.5,718226
ADG,20200519,108.9,110,108.7,109,9700
AFX,20200519,4.4,4.6,4.4,4.4,56300
AGP,20200519,17.9,17.9,17.9,17.9,31591
AGX,20200519,27,28,27,28,600
AMS,20200519,6.4,6.4,5.3,6.4,270
APF,20200519,26.5,26.6,26.5,26.5,2100
BAB,20200519,18.3,18.3,18.3,18.3,2100
BAL,20200519,9.5,9.5,9.5,9.5,100
BBT,20200519,18,18,18,18,20
BCM,20200519,22.8,23.5,22.7,23.5,37701
BCP,20200519,13,13,13,13,400
BDG,20200519,29.2,32.9,29.2,31,1600
BDT,20200519,18.2,18.3,18,18,19100
BHK,20200519,13.1,13.1,13.1,13.1,100
BHP,20200519,5.7,5.7,5.7,5.7,100
BKH,20200519,36.9,36.9,36.9,36.9,100
BLI,20200519,9.2,9.2,9.2,9.2,140
BMF,20200519,20.2,20.2,20.2,20.2,100
BMJ,20200519,22,22,22,22,100
BOT,20200519,53.4,53.5,53.2,53.2,31700
BPW,20200519,28.1,33.5,28.1,33.5,900
BSA,20200519,14.5,14.6,14.5,14.6,47300
BSP,20200519,16.2,16.2,16,16,11400
BSQ,20200519,20,20,20,20,700
BSR,20200519,6.5,6.8,6.4,6.5,5607514
BTD,20200519,21.9,21.9,21.9,21.9,4724
BVG,20200519,1.8,1.9,1.8,1.9,13300
BWS,20200519,35.2,35.2,35,35,600
C4G,20200519,7.5,7.6,7.2,7.3,610602
CAT,20200519,9.4,9.4,9.1,9.4,8500
CCA,20200519,9.5,9.5,9.5,9.5,2000
CCM,20200519,25.8,25.8,25.8,25.8,1100
CCR,20200519,12.7,12.7,12.7,12.7,100
CDO,20200519,0.8,0.9,0.8,0.9,13360
CDP,20200519,7.9,7.9,7.9,7.9,1000
CEN,20200519,8.2,8.2,6.3,7.3,63323
CID,20200519,6.5,6.5,6.5,6.5,500
CLX,20200519,11.3,11.3,11.1,11.1,5000
CMT,20200519,6.3,6.3,6.3,6.3,200
CNH,20200519,5.8,5.8,5.8,5.8,600
CTR,20200519,43.3,45.8,43.3,45,525293
DAR,20200519,13.8,13.8,13.8,13.8,31700
DAS,20200519,13.3,15.2,13.3,15.2,9730
DCD,20200519,10.7,10.7,10.7,10.7,1000
DCR,20200519,1.9,2.1,1.9,2.1,1700
DDN,20200519,10.2,10.2,10.2,10.2,100
DDV,20200519,5.7,5.7,5.7,5.7,5500
DND,20200519,20,20,20,20,100
DNH,20200519,23,23,23,23,1000
DNL,20200519,19.3,19.3,19.3,19.3,200
DNW,20200519,15.6,16.8,15.6,16.8,500
DP1,20200519,13.4,13.4,13.4,13.4,100
DRG,20200519,3.3,3.3,3.3,3.3,100
DRI,20200519,4.1,4.2,4,4.1,186900
DSC,20200519,6.1,6.1,6.1,6.1,13400
DTG,20200519,12.3,12.3,12.3,12.3,50
DTK,20200519,8.3,8.3,8.3,8.3,400
DVN,20200519,11,11.1,10.9,10.9,84710
EIN,20200519,4.4,4.4,4.4,4.4,700
EPH,20200519,6.9,6.9,6.9,6.9,300
EVF,20200519,7,7.9,6,7.6,1015977
FOC,20200519,129,129,128,129,716
FOX,20200519,51,51.5,50.5,51,6028
FRC,20200519,14.7,14.7,14.7,14.7,100
FRM,20200519,14,14,14,14,85
G36,20200519,4.5,4.6,4.4,4.5,325400
GHC,20200519,31,31,31,31,1400
GND,20200519,24.3,24.3,24.3,24.3,38000
GSM,20200519,8.4,8.4,8.4,8.4,900
GTH,20200519,4.5,4.5,4.5,4.5,500
GTS,20200519,8.5,9.7,8.5,9.7,200
GVT,20200519,39.1,39.1,39.1,39.1,200
HAC,20200519,4.7,5.2,4.7,5.2,38148
HAF,20200519,18.6,18.6,14.5,14.5,4100
HD8,20200519,6,6,6,6,1000
HDM,20200519,15.2,15.2,15.1,15.1,200
HEC,20200519,31.5,31.5,31.5,31.5,100
