<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
FUCVREIT,20200720,6.5,6.5,6.06,6.5,180
VSI,20200720,21.25,22,21.25,21.25,11240
VTB,20200720,9.6,9.8,9.45,9.6,1670
VTO,20200720,6.79,7.09,6.77,6.79,105130
YBM,20200720,4.16,4.16,4.09,4.16,2250
YEG,20200720,58,58.3,57,58,16500
VHC,20200720,38.1,39.4,38.1,38.1,584510
VHM,20200720,79.2,81.1,79,79.2,1361250
VIC,20200720,90.2,91.4,90.2,90.2,222400
VID,20200720,11.3,11.4,11,11.3,49350
VIP,20200720,5.82,5.9,5.65,5.82,193430
VIS,20200720,18.55,18.6,18.55,18.55,1320
VJC,20200720,107.5,108.7,107.3,107.5,218370
VMD,20200720,21,21,21,21,500
VND,20200720,12.7,12.95,12.7,12.7,417590
VNE,20200720,4.71,4.83,4.7,4.71,76960
VNG,20200720,16.3,16.4,16.25,16.3,225580
VNM,20200720,115.7,116.7,115.5,115.7,474700
VNS,20200720,12.3,13,11.75,12.3,42170
VOS,20200720,1.45,1.46,1.44,1.45,284120
VPB,20200720,22.7,23.3,22.7,22.7,2940660
VPD,20200720,14.4,14.5,14.1,14.4,16270
VPG,20200720,12.6,13.2,12.5,12.6,134660
VPH,20200720,4.25,4.32,4.25,4.25,15740
VPI,20200720,41.65,41.75,41.35,41.65,537800
VPS,20200720,8.03,8.03,8.03,8.03,10
VRC,20200720,6.5,6.51,6.4,6.5,115210
VRE,20200720,26.2,26.85,26.2,26.2,1258900
VSC,20200720,29.75,30.2,29.35,29.75,256240
VSH,20200720,17.1,17.2,17.05,17.1,49410
TTF,20200720,3.18,3.26,3.1,3.18,1596910
TV2,20200720,74,74.3,73.4,74,20700
TVB,20200720,8.65,8.7,8.4,8.65,232060
TVS,20200720,10.6,10.6,10.45,10.6,10010
TVT,20200720,19.4,19.4,18.75,19.4,110
TYA,20200720,16,16.25,15.9,16,148530
UDC,20200720,5.8,5.81,5.6,5.8,1145970
UIC,20200720,38.2,38.8,38,38.2,220
VAF,20200720,9.5,9.5,9.5,9.5,1660
VCB,20200720,82.2,82.7,81.7,82.2,696830
VCF,20200720,209,210.8,209,209,3000
VCI,20200720,23.35,23.6,23,23.35,599990
VDP,20200720,33.25,33.25,33.25,33.25,10
VDS,20200720,6.25,6.25,5.91,6.25,4010
VFG,20200720,39.5,39.5,39.5,39.5,60
VGC,20200720,20.05,20.3,19.9,20.05,494460
TGG,20200720,1.13,1.15,1.1,1.13,125670
THG,20200720,45.4,45.4,44.3,45.4,15040
TIP,20200720,21.2,22.05,21.2,21.2,360620
TLD,20200720,8.66,8.66,8.15,8.66,798350
TLG,20200720,39.45,40,39.45,39.45,114080
TLH,20200720,3.41,3.48,3.36,3.41,140830
TMP,20200720,35,35.05,35,35,130
TMS,20200720,26.4,26.4,26.4,26.4,10
TMT,20200720,5.39,5.39,5.11,5.39,520
TN1,20200720,60,61,60,60,1190
TNA,20200720,17.8,18,17.65,17.8,63950
TNC,20200720,24,24.05,21,24,30580
TNI,20200720,4.04,4.18,4.04,4.04,1236260
TNT,20200720,1.58,1.6,1.55,1.58,44530
TPB,20200720,21.85,22,21.85,21.85,30750
TPC,20200720,8.19,8.34,7.71,8.19,630
TRA,20200720,56.4,57,56,56.4,3480
TRC,20200720,30,30.7,30,30,10790
TS4,20200720,3.12,3.17,3.12,3.12,2690
TSC,20200720,2.87,3.02,2.87,2.87,699580
TTB,20200720,5.59,5.65,5.48,5.59,489530
STB,20200720,11.45,11.7,11.45,11.45,8089560
STG,20200720,15,15,14.9,15,2620
STK,20200720,15.95,16.4,15.6,15.95,87460
SVC,20200720,81,81,81,81,10
SVI,20200720,66,66,63,66,2100
SVT,20200720,18.4,18.9,17.6,18.4,650
SZC,20200720,22.4,22.75,22,22.4,3357980
SZL,20200720,45,46,44.55,45,98150
TAC,20200720,34.95,35,34.5,34.95,9400
TBC,20200720,23.7,23.9,23.7,23.7,500
TCB,20200720,20.5,20.65,20.45,20.5,1164560
TCD,20200720,9.78,9.88,9.24,9.78,840
TCH,20200720,21.5,21.95,21.5,21.5,1082330
TCL,20200720,25.7,25.7,25.4,25.7,34210
TCM,20200720,21.2,22,21.15,21.2,862870
TCO,20200720,9.17,9.17,9.17,9.17,130
TCR,20200720,3.15,3.15,3.15,3.15,10
TCT,20200720,27,27.6,27,27,7680
TDC,20200720,8.3,8.4,8.25,8.3,52630
TDG,20200720,1.73,1.75,1.72,1.73,156950
TDH,20200720,8.87,8.98,8.86,8.87,328100
TDM,20200720,24.4,24.6,24.25,24.4,81160
TEG,20200720,5.69,5.88,5.48,5.69,67730
SHA,20200720,4.35,4.35,4.2,4.35,23760
SHI,20200720,8.94,8.95,8.92,8.94,481560
SII,20200720,17.35,17.35,16.2,17.35,160
SJD,20200720,17.5,17.5,17.4,17.5,5490
SJF,20200720,2.24,2.38,2.24,2.24,6323900
SJS,20200720,21.5,22.9,21.4,21.5,446600
SKG,20200720,9.24,9.4,9.17,9.24,236650
SMA,20200720,11.4,11.4,11.4,11.4,280
SMB,20200720,31.4,31.5,31.4,31.4,12530
SMC,20200720,10.6,10.6,10.1,10.6,680
SPM,20200720,11.4,11.4,10.8,11.4,110
SRC,20200720,15.45,15.6,15.45,15.45,990
SRF,20200720,13.35,13.35,13.35,13.35,100
SSI,20200720,15.45,16,15.45,15.45,6438130
ST8,20200720,11.4,11.4,11.35,11.4,20
PXT,20200720,1.51,1.59,1.48,1.51,46630
QBS,20200720,2.25,2.4,2.23,2.25,143760
QCG,20200720,6.91,6.95,6.79,6.91,186890
RAL,20200720,83.9,85.8,83.1,83.9,21500
RDP,20200720,7.85,7.85,7.44,7.85,20530
REE,20200720,32.4,32.75,32.25,32.4,341680
RIC,20200720,4.53,4.53,4.5,4.53,2520
ROS,20200720,2.9,2.98,2.9,2.9,12724110
SAB,20200720,191,194,190.5,191,129850
SAM,20200720,10.1,10.2,9.95,10.1,69650
SAV,20200720,8,8.1,8,8,920
SBA,20200720,14.25,14.25,14.1,14.25,30080
SBT,20200720,14.95,15.2,14.85,14.95,4873730
SBV,20200720,9.58,9.59,9.49,9.58,30860
SC5,20200720,20.5,20.5,20.3,20.5,600
