<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
FUCVREIT,20200622,6.63,6.63,6.62,6.63,710
YBM,20200622,4.47,4.59,4.39,4.59,6810
YEG,20200622,54.1,54.5,53,54,27190
VJC,20200622,110,110,108.2,109,276620
VMD,20200622,21,21,21,21,40
VND,20200622,13.3,13.3,13.05,13.2,276600
VNE,20200622,4.29,4.35,4.28,4.29,110880
VNG,20200622,15.3,15.3,15,15.15,216370
VNM,20200622,115,115.9,114.8,115.4,867620
VNS,20200622,10.5,10.65,10.3,10.3,4430
VOS,20200622,1.68,1.7,1.61,1.64,301950
VPB,20200622,23,23,22.5,22.7,2070530
VPD,20200622,14.6,14.6,14.6,14.6,6000
VPG,20200622,19.2,19.85,19.2,19.85,90660
VPH,20200622,4.57,4.67,4.56,4.6,77400
VPI,20200622,41.15,41.5,41.15,41.4,379220
VPS,20200622,9.9,9.9,9.36,9.36,150
VRC,20200622,8.1,8.19,7.68,7.92,357670
VRE,20200622,27.8,28,27.4,27.6,1559410
VSC,20200622,27.1,27.7,27.05,27.7,85200
VSH,20200622,17.65,17.65,17.65,17.65,2100
VSI,20200622,22,22.8,22,22.6,2060
VTB,20200622,10.2,10.2,10.05,10.15,1380
VTO,20200622,7.62,7.7,7.61,7.61,5470
TTF,20200622,3.26,3.32,3.16,3.18,1828130
TV2,20200622,83.9,84,83.4,83.8,65600
TVB,20200622,8.08,8.08,7.85,8,344500
TVS,20200622,10.5,10.5,10.5,10.5,2820
TVT,20200622,19.85,20,19.8,19.8,5300
TYA,20200622,14.55,14.7,14.4,14.7,100690
UDC,20200622,3.85,3.85,3.83,3.85,89090
UIC,20200622,38.9,39,37.2,39,23220
VAF,20200622,8.79,8.79,8.79,8.79,10
VCB,20200622,85,85.6,85,85.5,1308600
VCF,20200622,223.9,223.9,222,223,190
VCI,20200622,23,23.45,22.8,22.9,459520
VDP,20200622,33.4,35.2,33.35,35,620
VDS,20200622,5.55,5.89,5.55,5.6,23720
VFG,20200622,36.5,38.2,36.5,36.6,90
VGC,20200622,20.5,20.5,19.9,19.95,794280
VHC,20200622,38.5,38.9,37.95,38.2,440810
VHM,20200622,77.3,78.4,76.9,78.3,2797780
VIC,20200622,97,97,95.2,96.9,508020
VID,20200622,7.35,7.36,7.35,7.36,29520
VIP,20200622,5.62,5.76,5.5,5.6,378270
TCT,20200622,30.2,32.4,30.1,30.7,68770
TDC,20200622,8.19,8.19,8.1,8.14,124980
TDG,20200622,2.12,2.12,2,2,642440
TDH,20200622,9.7,9.79,9.5,9.56,1527390
TDM,20200622,23.8,24.1,23.75,23.8,193380
TEG,20200622,4.55,4.75,4.25,4.65,44640
TGG,20200622,1.4,1.4,1.3,1.35,714760
THG,20200622,56.9,56.9,55.3,55.3,5550
TIP,20200622,21.35,21.5,21.2,21.25,107510
TIX,20200622,27.25,27.25,27.25,27.25,10
TLD,20200622,7.45,7.45,7,7.35,450980
TLG,20200622,34,34,33.3,33.5,191570
TLH,20200622,3.45,3.65,3.45,3.57,212800
TMP,20200622,35.6,36,35.6,36,700
TMS,20200622,25.7,25.7,25.65,25.65,1620
TMT,20200622,6,6,6,6,1110
TN1,20200622,64,64,63,63,1910
TNA,20200622,17.5,18,17.5,18,499370
TNC,20200622,19.4,22,19.4,22,40
TNI,20200622,5.1,5.72,5.01,5.72,6393260
TNT,20200622,1.88,1.88,1.8,1.88,347190
TPB,20200622,21,21.3,20.5,20.95,122470
TPC,20200622,8.1,8.2,7.63,8.19,1180
TRA,20200622,59.6,59.6,58,58,640
TRC,20200622,30.45,30.65,29.6,30.5,28450
TS4,20200622,3.47,3.55,3.32,3.55,10560
TSC,20200622,3.19,3.29,3,3,2621050
TTB,20200622,6.07,6.08,5.69,5.69,1065190
SMC,20200622,10.6,10.9,10.5,10.9,16750
SRC,20200622,16.45,16.45,16.2,16.45,23970
SRF,20200622,15.2,15.3,13.4,14.95,780
