<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
CMBB2005,20200715,0.62,0.67,0.55,0.67,830
CMBB2006,20200715,1.19,1.19,1.15,1.15,12450
CMSN2001,20200715,1.11,1.11,1.03,1.05,127470
CMSN2002,20200715,0.87,0.87,0.86,0.86,6130
CMSN2004,20200715,1.25,1.25,1.03,1.09,113470
CMSN2005,20200715,1.02,1.02,0.98,0.98,19660
CMWG2005,20200715,3.61,3.97,3.59,3.97,20480
CMWG2006,20200715,0.5,0.65,0.4,0.58,13910
CMWG2007,20200715,9.04,9.45,8.9,9.45,21630
CMWG2008,20200715,0.89,0.96,0.87,0.95,87620
CMWG2009,20200715,1.31,1.4,1.29,1.4,287490
CNVL2001,20200715,2.05,2.16,2.05,2.11,40600
CNVL2002,20200715,3.13,3.13,3.13,3.13,1000
CPNJ2002,20200715,2.05,2.13,2.01,2.09,91260
CPNJ2003,20200715,0.33,0.34,0.33,0.34,3300
CPNJ2004,20200715,0.29,0.33,0.1,0.27,118940
CPNJ2005,20200715,0.74,0.77,0.73,0.75,101120
CREE2003,20200715,1.07,1.07,1.02,1.04,29790
CREE2004,20200715,1.98,1.98,1.91,1.95,35800
CROS2002,20200715,0.42,0.56,0.31,0.4,36390
CSBT2001,20200715,0.7,0.75,0.7,0.75,5110
CSTB2002,20200715,1.79,1.84,1.77,1.84,66330
CSTB2003,20200715,1.54,1.63,1.49,1.5,246470
CSTB2004,20200715,1.86,1.86,1.7,1.72,293200
CSTB2005,20200715,1,1.02,0.98,1,5660
CSTB2006,20200715,1.44,1.44,1.44,1.44,20
CTCB2003,20200715,0.8,0.8,0.58,0.64,13750
CTCB2004,20200715,1.9,1.95,1.83,1.88,140570
CTCB2005,20200715,1.83,1.96,1.83,1.85,18930
CTCB2006,20200715,1.8,1.9,1.78,1.87,2320
CVHM2001,20200715,1.64,1.76,1.58,1.58,246440
CVHM2002,20200715,12.35,13.24,12.35,12.72,22280
CVHM2003,20200715,1.6,1.72,1.59,1.59,119800
CVHM2004,20200715,1.03,1.1,1,1,11010
CVIC2001,20200715,0.8,0.85,0.8,0.82,477940
CVIC2003,20200715,0.77,0.79,0.75,0.79,1340
CVJC2002,20200715,1.02,1.02,0.97,0.97,28720
CVNM2002,20200715,1.3,1.32,1.25,1.27,63110
CVNM2003,20200715,2.6,2.6,2.39,2.55,107520
CVNM2004,20200715,14.93,15.13,14.93,14.96,12800
CVNM2005,20200715,2.15,2.16,2.14,2.15,26930
CVNM2006,20200715,1.12,1.12,1.1,1.1,300
CVNM2007,20200715,1.93,1.93,1.93,1.93,2300
CVPB2003,20200715,0.82,0.82,0.54,0.56,52650
CVPB2005,20200715,1.78,1.8,1.71,1.79,75400
CVPB2006,20200715,2.32,2.38,2.22,2.24,39410
CVPB2007,20200715,1.28,1.34,1.28,1.3,2520
CVRE2001,20200715,0.14,0.14,0.12,0.14,241320
CVRE2003,20200715,0.76,0.8,0.73,0.8,132120
CVRE2005,20200715,2.84,2.94,2.83,2.94,33610
CVRE2006,20200715,1.34,1.4,1.29,1.38,30760
CVRE2007,20200715,0.9,0.96,0.9,0.95,67820
E1VFVN30,20200715,13.55,13.75,13.55,13.7,661900
FUESSV50,20200715,11.7,11.8,11.7,11.8,68590
FUESSVFL,20200715,9.45,9.5,9.43,9.47,9040
FUEVFVND,20200715,12.14,12.19,12.11,12.14,26260
