<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
PV2,20200303,2.9,2.9,2.8,2.8,1700
PVB,20200303,15.5,15.8,15.2,15.3,17500
PVC,20200303,6.1,6.2,6,6,46900
PVG,20200303,7.8,7.8,7.5,7.7,7700
PVI,20200303,31,31.2,30.8,31,29745
PVL,20200303,1.3,1.4,1.3,1.4,13900
PVS,20200303,15.8,15.8,15.1,15.2,2534038
PVX,20200303,0.9,1,0.9,0.9,597443
QNC,20200303,4.5,4.5,4.4,4.4,5000
RCL,20200303,14.5,14.5,14.4,14.4,600
S55,20200303,23.5,23.5,22.6,22.6,4500
S74,20200303,4.7,4.7,4.3,4.3,200
S99,20200303,7.1,7.7,7.1,7.1,300
SAF,20200303,51,51,51,51,10
SCI,20200303,8.4,8.4,8.1,8.4,21400
SD2,20200303,6.2,6.2,6.2,6.2,596
SD5,20200303,5.7,6,5.4,5.7,49270
SD6,20200303,2.4,2.5,2.4,2.4,18739
SD9,20200303,5.7,5.7,5.7,5.7,600
SDA,20200303,2.5,2.6,2.5,2.6,12100
SDT,20200303,3,3,3,3,5380
SEB,20200303,30.6,30.6,30.6,30.6,600
SED,20200303,15,15,14,14.6,6100
SHB,20200303,10.5,11.5,10.3,11.3,42647821
SHE,20200303,15,15,14.6,15,4100
SHN,20200303,8.6,8.9,8.6,8.9,20430
SHS,20200303,8.6,8.7,8.3,8.5,1878568
SJE,20200303,18.8,18.8,18.8,18.8,19206
SLS,20200303,57,59.3,54.4,54.4,33158
SMN,20200303,9.5,9.5,9.5,9.5,400
SMT,20200303,20.9,20.9,20.9,20.9,5
SPI,20200303,0.9,1,0.9,1,23000
SPP,20200303,1.5,1.6,1.5,1.6,18552
SRA,20200303,9.5,9.5,8.8,9,96400
STC,20200303,15.3,15.3,15.3,15.3,500
STP,20200303,6.6,6.6,6.6,6.6,100
SVN,20200303,1.9,2,1.9,2,200
SZB,20200303,30,30,30,30,100
TA9,20200303,9.2,9.2,9.2,9.2,100
TAR,20200303,32,33.9,30.5,33.2,225500
TCS,20200303,9,9,8.5,8.5,5600
TDN,20200303,6.6,6.7,6.6,6.6,6300
TDT,20200303,11,11.5,10.7,10.9,52000
THB,20200303,8.2,8.4,8.1,8.2,5900
THT,20200303,7.1,7.1,7.1,7.1,2000
TIG,20200303,6.8,7.4,6.8,7.4,1643855
TJC,20200303,6.3,6.3,6.3,6.3,10
TKC,20200303,2.7,2.8,2.7,2.7,15719
TKU,20200303,9.1,9.1,7.7,7.7,400
TMX,20200303,12.7,12.7,12.7,12.7,100
TNG,20200303,14,14.2,13.8,13.9,508119
TTC,20200303,10.6,10.6,10.6,10.6,210
TTH,20200303,2.6,2.6,2.5,2.5,104220
TTT,20200303,42.6,46,42.6,46,200
TTZ,20200303,2.5,2.5,2.4,2.4,76500
TV4,20200303,13.1,13.1,13.1,13.1,900
TVC,20200303,28.6,29.3,28.5,28.7,218060
TXM,20200303,2.8,3,2.7,2.8,6310
UNI,20200303,3.4,3.4,3.4,3.4,1005
VBC,20200303,18.5,18.5,18,18,34500
VC1,20200303,9.3,9.3,9.3,9.3,74
VC3,20200303,16.3,16.3,16.2,16.3,143526
VCC,20200303,9.7,9.8,9.7,9.8,4500
VCG,20200303,25.5,26,25.5,25.6,148561
VCR,20200303,11.8,12.2,11.5,11.8,160865
VCS,20200303,69,69,67.6,67.8,126298
VE9,20200303,1.4,1.4,1.4,1.4,500
VGP,20200303,14,14,14,14,500
VGS,20200303,7,7.3,7,7.2,61350
VHE,20200303,5,5.2,5,5,4500
VIF,20200303,18.5,18.5,17.1,18.4,1300
VIG,20200303,0.8,0.8,0.7,0.8,291600
VIT,20200303,14.8,14.8,14.8,14.8,100
VIX,20200303,5.6,5.6,5.4,5.5,16120
VKC,20200303,3,3,3,3,1000
VLA,20200303,13,13,13,13,100
VMC,20200303,11.6,11.6,11.2,11.5,1900
VMS,20200303,5.4,5.5,5.4,5.5,5000
VNC,20200303,34.5,34.5,34.5,34.5,100
VNR,20200303,20.4,20.5,20.4,20.5,3110
VTC,20200303,10.7,10.7,10.7,10.7,1010
VTJ,20200303,6,6,6,6,2
VTV,20200303,7,7,6.9,6.9,310
WCS,20200303,163,165.5,163,165.5,1200
WSS,20200303,2.1,2.1,2.1,2.1,304
X20,20200303,9.4,9.4,9.4,9.4,3000
