<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAV,20200722,5.4,5.5,5.3,5.3,182415
ACB,20200722,24.6,24.8,24.2,24.4,1726317
ACM,20200722,0.8,0.8,0.7,0.7,787210
ADC,20200722,14,14,14,14,500
AMC,20200722,17.3,17.3,17.3,17.3,100
AME,20200722,7.5,7.5,7.5,7.5,100
AMV,20200722,16.9,17,16.8,16.8,275408
API,20200722,9.8,9.8,9.8,9.8,500
APP,20200722,3.7,3.7,3.5,3.6,1636
APS,20200722,2.4,2.4,2.3,2.3,2500
ART,20200722,2.6,2.6,2.4,2.5,675120
ATS,20200722,26.4,26.4,26.4,26.4,100
BAX,20200722,40.5,40.5,40.1,40.5,5300
BCC,20200722,7,7.2,7,7.1,14750
BII,20200722,0.8,0.8,0.7,0.8,72620
BPC,20200722,11.4,11.4,11.4,11.4,100
BSC,20200722,14.4,14.4,14.4,14.4,100
BST,20200722,12.5,13.4,12.5,13.4,1600
BTS,20200722,4.9,5,4.9,5,500
BTW,20200722,25.8,25.8,25.8,25.8,100
BVS,20200722,10,10,9.8,10,73035
C69,20200722,5.8,6,5.8,5.9,93600
C92,20200722,3.3,3.7,3.3,3.7,1200
CAP,20200722,30.3,30.9,30,30.9,14110
CDN,20200722,18.8,19.6,18.8,19.6,3200
CEO,20200722,7.8,8,7.8,7.8,1171740
CET,20200722,2,2,2,2,26000
CIA,20200722,11.2,11.2,11.2,11.2,300
CLH,20200722,18.7,18.9,18.6,18.9,1500
CMS,20200722,3.8,3.9,3.5,3.7,78700
CPC,20200722,16.3,16.5,16.3,16.3,1500
CSC,20200722,23.8,23.8,23,23.5,7600
CTP,20200722,2.8,2.8,2.7,2.7,167011
CTT,20200722,9.9,9.9,9.9,9.9,100
CTX,20200722,8.3,8.3,8.2,8.2,1050
CVN,20200722,12.5,12.7,11.9,12.7,31200
D11,20200722,18.5,19,18.3,19,5800
DBT,20200722,11,11.1,11,11.1,5100
DC2,20200722,7.1,7.1,7.1,7.1,200
DDG,20200722,26.9,26.9,26.4,26.8,72796
DHT,20200722,57,57,51.9,52.6,50467
DIH,20200722,13.8,13.8,13.8,13.8,100
DNM,20200722,42.9,42.9,38.3,38.9,90409
DNP,20200722,17.8,18.1,17.8,18.1,31586
DP3,20200722,68,70,65,70,3048
DS3,20200722,3.6,3.6,3.5,3.6,9200
DST,20200722,6.3,6.9,5.9,6.9,1784231
DTD,20200722,14.5,14.6,14.3,14.5,114535
DXP,20200722,10.2,10.8,10,10,14540
DZM,20200722,3.9,4,3.6,3.7,156720
EBA,20200722,10,10,10,10,100
EID,20200722,11.2,11.2,10.9,11,3730
EVS,20200722,7.7,7.7,7.2,7.2,1100
FID,20200722,1,1,1,1,2193
GKM,20200722,17.4,17.4,17,17.1,199500
GLT,20200722,20.9,20.9,20.9,20.9,300
HAD,20200722,12.5,12.5,12.3,12.4,15100
HAT,20200722,20.7,20.7,20.7,20.7,1015
HBE,20200722,8,8,8,8,2500
HCC,20200722,11.4,11.5,11.3,11.3,17350
HDA,20200722,8.3,8.3,7.8,8,296320
HHC,20200722,90,90,90,90,300
HHG,20200722,1.4,1.4,1.3,1.4,7520
HHP,20200722,11.2,11.4,11,11.1,166100
HJS,20200722,27,27,27,27,3000
HKB,20200722,0.8,0.9,0.8,0.8,140200
HKT,20200722,6.9,6.9,6,6,290
HLD,20200722,20.9,21,20.4,20.7,72100
HOM,20200722,3.1,3.1,2.9,3,12200
HUT,20200722,2.5,2.6,2.4,2.4,2058203
IDC,20200722,19.6,19.6,19,19.4,6400
IDJ,20200722,12.3,12.3,12.1,12.1,75200
IDV,20200722,41.6,41.6,41.1,41.1,22272
