<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAV,20200507,4.8,4.8,4.7,4.8,158600
ACB,20200507,20.9,21.2,20.8,21.2,2973997
ACM,20200507,0.5,0.6,0.4,0.5,228352
AMV,20200507,16.9,16.9,16.6,16.8,337867
API,20200507,10.9,11.7,10.9,11.7,500
APS,20200507,2.1,2.1,2.1,2.1,500
ART,20200507,2.6,2.6,2.5,2.6,961930
ATS,20200507,26.7,26.7,26.7,26.7,400
BAX,20200507,39.9,39.9,39.9,39.9,2300
BBS,20200507,11,11,11,11,600
BCC,20200507,7.2,7.5,7.1,7.5,156637
BII,20200507,0.6,0.7,0.6,0.6,148000
BPC,20200507,10.8,10.8,10.8,10.8,400
BST,20200507,13.9,14.1,13.9,14.1,6400
BTS,20200507,3.9,3.9,3.9,3.9,143
BVS,20200507,8.6,8.7,8.5,8.6,163987
C69,20200507,6.2,6.3,6.1,6.1,198100
CAN,20200507,26.7,26.7,26.7,26.7,110
CAP,20200507,31.9,32,31.3,31.7,10300
CDN,20200507,18.5,18.5,17.3,17.3,1800
CEO,20200507,6.8,7.1,6.7,7,1848711
CET,20200507,1.8,1.8,1.6,1.6,3039
CIA,20200507,11.2,11.8,11.2,11.5,17232
CLH,20200507,18,18,18,18,200
CMS,20200507,2.3,2.4,2.3,2.4,26140
CPC,20200507,15.7,15.7,15.6,15.7,740
CSC,20200507,23,23,22.4,22.9,1630
CTP,20200507,2.7,2.9,2.7,2.9,2500
CTT,20200507,9,9.7,9,9.7,240
CTX,20200507,9,9.5,9,9.5,200
CVN,20200507,8.1,8.2,8.1,8.2,2600
D11,20200507,18.5,18.5,18.5,18.5,300
DAE,20200507,14.2,14.2,14,14,600
DBT,20200507,10.7,10.7,10.7,10.7,5
DDG,20200507,28.5,28.6,28.4,28.4,55500
DGC,20200507,29.2,29.2,28.8,28.9,148535
DHT,20200507,45.5,46,45,45.6,13835
DID,20200507,5,5,5,5,200
DIH,20200507,13.8,13.8,13.7,13.7,1000
DL1,20200507,16.2,16.2,16.2,16.2,100
DNC,20200507,49.5,59.8,49.5,59.8,1200
DNM,20200507,31.2,32.9,31.2,32.6,9031
DNP,20200507,16.4,16.4,16.4,16.4,3611
DP3,20200507,68.8,69,68.8,69,3000
DS3,20200507,3,3.1,3,3,42200
DST,20200507,2.1,2.2,2.1,2.2,262300
DTD,20200507,11.8,12.4,11.8,12.3,221507
DXP,20200507,10.2,10.2,10.1,10.2,10600
DZM,20200507,2.9,2.9,2.9,2.9,2100
EBA,20200507,14.7,14.7,14.7,14.7,100
EBS,20200507,7,7.1,7,7.1,700
EID,20200507,10.6,10.7,10.6,10.7,6605
EVS,20200507,8,8.4,8,8.4,1100
FID,20200507,0.9,0.9,0.9,0.9,35000
GKM,20200507,17.7,17.9,17.6,17.9,148400
GLT,20200507,23.6,25.9,23.4,25.9,2540
HAD,20200507,14.1,14.1,14,14,647
HAT,20200507,20.4,20.4,20.4,20.4,2660
HBS,20200507,2,2,1.8,2,7800
HCC,20200507,10,10.2,10,10.2,300
HDA,20200507,8.5,8.6,8.4,8.6,253300
HHG,20200507,1,1.1,1,1.1,12400
HHP,20200507,13.3,13.3,13.2,13.2,115000
HKB,20200507,0.7,0.7,0.6,0.7,35300
HKT,20200507,4.4,4.4,3.8,3.8,930
HLD,20200507,17.6,17.6,17.3,17.4,5600
HOM,20200507,3,3.1,2.9,3.1,56100
HTC,20200507,24.9,24.9,24.1,24.1,200
HTP,20200507,8,8,8,8,1500
HUT,20200507,1.7,1.7,1.6,1.7,696688
ICG,20200507,5.3,5.4,5.3,5.3,11202
IDC,20200507,16.7,16.8,16.7,16.8,3609
IDJ,20200507,14.4,15.1,14.4,14.8,452633
IDV,20200507,39.3,39.3,38.9,38.9,6980
INN,20200507,24.6,24.6,24.6,24.6,1000
ITQ,20200507,2.6,2.6,2.4,2.6,175900
IVS,20200507,7.1,7.3,7.1,7.2,2400
KDM,20200507,1.9,1.9,1.9,1.9,30000
KKC,20200507,4.5,4.5,4.5,4.5,100
KLF,20200507,1.8,1.9,1.7,1.9,5109145
KSD,20200507,5.5,5.5,5.5,5.5,100
KSQ,20200507,1.2,1.2,1.1,1.2,36300
KTS,20200507,7.2,8,7.2,8,200
KVC,20200507,0.9,0.9,0.8,0.9,973600
L14,20200507,65.8,67.6,65.8,66.8,27357
L18,20200507,9.2,9.2,9.2,9.2,1000
LAS,20200507,6,6.1,6,6,295810
LHC,20200507,63.8,65,63.2,64,57800
LIG,20200507,2.9,3.1,2.9,3.1,145400
LM7,20200507,4.1,4.5,4.1,4.5,2100
MAS,20200507,33,34.9,33,33.8,2260
MBG,20200507,8.4,8.8,8.2,8.5,492822
MBS,20200507,9,9.1,8.9,9.1,42000
MCC,20200507,11.5,11.5,11.5,11.5,300
MCF,20200507,9.9,9.9,9.9,9.9,100
MEC,20200507,0.7,0.8,0.7,0.7,30903
MED,20200507,46,46,46,46,100
MPT,20200507,1.3,1.3,1.2,1.2,123561
MST,20200507,2.5,2.6,2.5,2.5,738300
NAG,20200507,4.1,4.5,4.1,4.4,95435
NBC,20200507,5.8,5.8,5.7,5.7,81000
NBW,20200507,30.8,30.8,30.8,30.8,100
NDN,20200507,16.2,16.3,16.1,16.2,162903
NDX,20200507,10.8,10.8,10.8,10.8,2000
NET,20200507,48,48,48,48,500
NHA,20200507,10.2,11,10,10.8,18420
NHP,20200507,0.3,0.5,0.3,0.4,36510
NRC,20200507,9,9,8.8,8.8,32660
NSH,20200507,1.3,1.4,1.3,1.4,22000
NTH,20200507,28.7,28.7,28.7,28.7,1200
NTP,20200507,33.1,33.5,32.6,32.7,51549
NVB,20200507,7.8,7.9,7.5,7.9,3352900
PBP,20200507,6.4,6.4,6.2,6.2,1500
PCT,20200507,5.7,5.7,5.2,5.2,1000
PDB,20200507,8.8,8.8,8.3,8.8,11400
PGS,20200507,17.5,17.8,17.5,17.5,3400
PHP,20200507,8.7,8.9,8.7,8.9,900
PIC,20200507,9,9,9,9,100
PJC,20200507,25.2,25.2,25.2,25.2,100
PLC,20200507,16.4,16.7,16.2,16.6,470430
PMC,20200507,52,52,52,52,20
POT,20200507,13.6,13.6,13.6,13.6,30
PPP,20200507,14.9,14.9,14.9,14.9,700
PPS,20200507,6,6,6,6,200
PSD,20200507,9.5,9.5,9.5,9.5,200
PSI,20200507,2.2,2.2,2.2,2.2,310
PTI,20200507,17.5,18.6,17.5,18.6,389
PV2,20200507,2.6,2.6,2.6,2.6,4000
PVB,20200507,13.9,14,13.8,13.9,93500
PVC,20200507,5,5,4.9,5,110445
PVG,20200507,6.9,7,6.9,6.9,2700
PVI,20200507,30.3,30.6,30,30.4,10170
PVL,20200507,1.1,1.2,1.1,1.2,12100
PVS,20200507,12,12.2,11.9,12,2655538
PVX,20200507,0.7,0.9,0.7,0.8,2991036
QHD,20200507,20,20.1,20,20,9200
QNC,20200507,2.9,3.1,2.9,3.1,1621
QTC,20200507,17.2,17.2,16.1,16.1,2425
RCL,20200507,13.6,13.7,13.5,13.5,2200
S99,20200507,6.9,6.9,6.9,6.9,5000
SAF,20200507,61,64.5,61,64.5,800
SCI,20200507,9.1,9.2,9.1,9.1,7840
SCL,20200507,2.3,2.3,2.3,2.3,100
