<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAV,20200218,7,7,6.8,7,48420
ACB,20200218,26.4,27.1,26.3,26.6,6293208
ACM,20200218,0.6,0.7,0.5,0.6,584800
AMC,20200218,18.5,18.5,18.5,18.5,3500
AMV,20200218,17.3,17.8,17.3,17.4,164822
APP,20200218,5.6,5.6,5.6,5.6,40
APS,20200218,2,2,1.9,2,12506
ART,20200218,2.3,2.5,2.3,2.5,1188528
BAX,20200218,45.2,45.5,45.2,45.5,900
BCC,20200218,6.6,6.7,6.4,6.6,253700
BII,20200218,0.7,0.8,0.7,0.7,28480
BKC,20200218,5.8,5.8,5.8,5.8,700
BPC,20200218,12,12,12,12,1500
BTS,20200218,4.1,4.1,4,4.1,4100
BVS,20200218,10,10,9.9,10,31370
C69,20200218,7.7,8.1,7.1,7.3,896966
CAN,20200218,23.9,26.5,23.9,26.5,300
CAP,20200218,29.5,30,29.5,29.5,7430
CDN,20200218,19.9,19.9,19.9,19.9,1139
CEO,20200218,8.9,8.9,8.7,8.8,290240
CIA,20200218,12.1,12.2,12.1,12.1,5270
CKV,20200218,12.7,12.7,12.7,12.7,100
CPC,20200218,20.7,20.7,20.7,20.7,300
CSC,20200218,32.6,35,32.5,35,55500
CTB,20200218,30,30,30,30,8
CTP,20200218,3.7,3.9,3.5,3.7,10400
CTT,20200218,8,8,8,8,10300
CVN,20200218,10.9,10.9,10.7,10.7,1100
D11,20200218,17.5,18.5,17.5,18.5,1300
DAE,20200218,17.6,17.6,17.6,17.6,2000
DC4,20200218,11.5,12.5,11.5,12.5,5106
DDG,20200218,26.6,26.6,26.3,26.4,96979
DGC,20200218,24.5,25,24.5,25,70077
DHP,20200218,9.5,10,9.5,10,3100
DHT,20200218,47.6,48,47.2,47.5,23445
DIH,20200218,15.6,15.6,15.6,15.6,600
DNM,20200218,14.9,15,13.5,13.6,17000
DNP,20200218,18.4,18.6,18.4,18.5,26100
DP3,20200218,74.7,74.7,74.7,74.7,110
DS3,20200218,3.1,3.2,3.1,3.2,41000
DST,20200218,0.8,0.9,0.8,0.9,180300
DTD,20200218,10.1,10.1,9.7,9.9,34950
DXP,20200218,12.2,12.2,11.7,12,3600
DZM,20200218,2.4,2.5,2.4,2.5,1100
EBS,20200218,7.8,7.8,7.8,7.8,100
EID,20200218,14,14,13.9,13.9,1100
EVS,20200218,8.8,8.8,8.8,8.8,100
GDW,20200218,28.6,28.6,28.6,28.6,16
GKM,20200218,15.7,15.8,15.7,15.8,185100
HAD,20200218,13.5,13.5,13.4,13.4,4500
HAT,20200218,24,25.8,24,25.8,300
HBS,20200218,2,2,2,2,5600
HCC,20200218,11.3,11.4,11.3,11.4,600
HDA,20200218,8.6,8.8,8.3,8.3,64400
HHG,20200218,1.3,1.3,1.3,1.3,1310
HHP,20200218,12.5,12.7,12.2,12.5,131060
HJS,20200218,26.6,26.6,26.6,26.6,100
HKB,20200218,0.7,0.7,0.6,0.6,76800
HKT,20200218,3.4,3.7,3.4,3.6,32200
HLD,20200218,17.6,17.9,17.5,17.9,5110
HMH,20200218,9.5,9.5,9.3,9.3,4400
HOM,20200218,3.3,3.3,3.2,3.3,5230
HPM,20200218,12.8,12.8,12.8,12.8,200
HTC,20200218,25.2,25.2,25.2,25.2,100
HUT,20200218,2.1,2.2,2.1,2.1,107574
IDC,20200218,18.4,18.4,18.4,18.4,9400
IDJ,20200218,12.5,12.6,12.2,12.6,459000
IDV,20200218,37.2,37.9,37.2,37.9,9800
INN,20200218,29.4,30,29.4,29.8,700
ITQ,20200218,2.2,2.3,2.2,2.3,269320
IVS,20200218,8.3,8.3,8.3,8.3,200
KHS,20200218,10.5,10.6,10.5,10.6,3100
KLF,20200218,1.4,1.5,1.4,1.4,720860
KSQ,20200218,1.3,1.3,1.3,1.3,13900
KST,20200218,15.1,15.1,15.1,15.1,100
KTS,20200218,10.1,10.1,10.1,10.1,100
KVC,20200218,1.1,1.1,1,1,28200
L14,20200218,54.6,55.7,54.2,55,47420
LAS,20200218,5.8,5.8,5.7,5.7,13736
LHC,20200218,60.3,61.7,60.3,61.7,3000
LIG,20200218,3.4,3.4,3.2,3.2,363240
LUT,20200218,1.8,1.8,1.8,1.8,500
MAC,20200218,5.4,5.6,5.2,5.2,6700
MBG,20200218,19.1,19.3,18.4,18.6,688420
MBS,20200218,11.7,11.8,11.4,11.8,53800
MCF,20200218,10.5,10.5,9,9.4,1010
MCO,20200218,1.8,1.8,1.8,1.8,100
MEC,20200218,1.1,1.1,1.1,1.1,100
MPT,20200218,1.7,1.7,1.7,1.7,36560
MST,20200218,6.6,6.7,6.3,6.3,381590
NAG,20200218,4.2,4.2,4.1,4.2,5800
NBC,20200218,6.6,6.6,6.5,6.5,9500
NDN,20200218,15.6,15.7,15.4,15.6,190857
NET,20200218,45.3,45.3,45.3,45.3,10
NGC,20200218,5,5,4.5,4.5,1100
NHA,20200218,12.7,12.7,11.7,12.5,39290
NHP,20200218,0.5,0.6,0.5,0.5,60600
NRC,20200218,7.7,8.2,7.7,7.9,47810
NSH,20200218,1.4,1.5,1.4,1.5,63900
NTH,20200218,30.4,31.5,30.4,31.5,1100
NTP,20200218,29,31.5,29,31,519553
NVB,20200218,8.9,9,8.7,8.9,1954800
ONE,20200218,3.5,3.5,3.5,3.5,100
PDB,20200218,8.4,9.3,8.4,9.3,200
PDC,20200218,4.3,5.1,4.3,5.1,8400
PGS,20200218,22,22.1,21,21,12600
PGT,20200218,5.8,5.8,5.8,5.8,4220
PHP,20200218,9.3,9.3,9.3,9.3,110
PIA,20200218,30,30,30,30,100
PLC,20200218,11.6,11.7,11.5,11.6,62500
PMC,20200218,54.4,54.4,53,53,801
PMP,20200218,11.7,11.7,11.7,11.7,100
PMS,20200218,13.4,13.4,13.4,13.4,100
PPP,20200218,17.7,17.8,17.7,17.8,2860
PPS,20200218,6.1,6.1,6.1,6.1,100
PSC,20200218,14.5,14.5,14.5,14.5,10
PSE,20200218,6.8,6.8,6.8,6.8,200
PTI,20200218,15,15,15,15,6403
PTS,20200218,5.1,5.1,5.1,5.1,1700
PV2,20200218,2.9,2.9,2.9,2.9,5000
PVB,20200218,16.2,16.3,15.5,16,96940
PVC,20200218,6.4,6.6,6.4,6.5,113921
PVG,20200218,8,8.2,8,8.1,5400
PVI,20200218,31.7,31.9,31.4,31.7,53455
PVL,20200218,1.4,1.4,1.3,1.3,1000
PVS,20200218,16.3,16.5,16.1,16.2,1059995
PVX,20200218,0.9,1,0.9,0.9,185140
QNC,20200218,2.2,2.2,2.2,2.2,600
RCL,20200218,14.6,14.6,14.6,14.6,1500
S55,20200218,23.5,24.3,23.5,24.3,3600
S74,20200218,4.6,4.6,4,4,300
SCI,20200218,8.7,8.8,8.6,8.8,5100
SD2,20200218,6.4,6.5,6.4,6.4,8500
SD4,20200218,4.5,4.5,4,4,100800
SD6,20200218,2.6,2.6,2.5,2.6,58700
SD9,20200218,5.8,5.8,5.8,5.8,8700
SDA,20200218,3.5,3.5,3.5,3.5,100
SDT,20200218,2.9,3,2.8,2.8,155000
SDU,20200218,8.5,8.5,8,8,2100
SEB,20200218,30.6,31,30.6,31,1100
SGH,20200218,38.5,38.5,38.5,38.5,300
SHB,20200218,7.3,7.4,7.2,7.3,4349999
SHE,20200218,15.9,15.9,15.5,15.9,2900
SHN,20200218,8.9,9,8.9,9,45500
SHS,20200218,7.2,7.2,7,7.1,272810
SIC,20200218,13.6,13.6,13.6,13.6,2
SJE,20200218,18.7,19.9,18.7,19.9,14000
SLS,20200218,53.1,55,52,54.5,17638
SPI,20200218,0.9,0.9,0.8,0.8,77000
SPP,20200218,1.5,1.6,1.5,1.5,510800
SRA,20200218,7.7,7.7,7.5,7.7,84201
STC,20200218,16.4,16.4,16.4,16.4,100
SVN,20200218,1.5,1.7,1.5,1.7,9800
SZB,20200218,32,32,32,32,100
TA9,20200218,9,9,9,9,200
TAR,20200218,31.5,32.1,31.3,31.6,116500
TBX,20200218,24.7,24.7,24.7,24.7,100
TC6,20200218,4.4,4.6,4.4,4.6,3215
TDN,20200218,6.3,6.5,6.3,6.5,5200
TDT,20200218,12.5,12.5,12,12.1,104400
THB,20200218,8.6,8.6,8.6,8.6,4000
THT,20200218,7,7,7,7,4700
TIG,20200218,6.7,7,6.7,6.8,1269064
TKC,20200218,3,3.1,3,3.1,7900
TKU,20200218,12.5,12.5,12.5,12.5,300
TMB,20200218,11.3,11.3,11.3,11.3,700
TMC,20200218,15,15,15,15,10
TNG,20200218,15.9,16.5,15.6,16.3,1034857
TTC,20200218,10.6,10.6,10.2,10.2,400
TTH,20200218,2.6,2.7,2.6,2.6,166000
TTT,20200218,46.4,46.4,46.4,46.4,100
TTZ,20200218,2.6,2.6,2.4,2.5,30200
TV3,20200218,27.9,27.9,27.9,27.9,4500
TV4,20200218,13,13,13,13,4300
TVC,20200218,31.9,32.8,28.8,32.2,483700
TVD,20200218,6.6,7,6.4,7,300
TXM,20200218,2.7,2.8,2.6,2.8,16700
UNI,20200218,3.4,3.4,3.4,3.4,13103
V21,20200218,36.5,36.5,36.5,36.5,3000
VBC,20200218,16.8,17,16.8,16.9,30520
VC2,20200218,16.5,16.5,16.5,16.5,100
VC3,20200218,16.3,16.4,16.1,16.4,111200
VCC,20200218,9.7,9.7,9.7,9.7,37000
VCG,20200218,24.8,24.8,24.7,24.8,30205
VCM,20200218,42.2,42.2,42.2,42.2,100
VCR,20200218,10.7,11.7,10.7,11.7,242100
VCS,20200218,74.8,78.2,74.3,77,305944
VE1,20200218,8.3,8.6,8.3,8.6,1000
VGS,20200218,7.1,7.1,7,7.1,11196
VHE,20200218,6.3,6.8,6,6.3,8500
VIF,20200218,18.9,18.9,17.5,18,5800
VIG,20200218,0.8,0.9,0.7,0.9,41200
VIT,20200218,15.1,15.1,15,15,2000
VIX,20200218,5.5,5.6,5.5,5.6,5800
VKC,20200218,2.9,2.9,2.9,2.9,13000
VMC,20200218,11.2,11.4,11.2,11.4,8850
VNR,20200218,18.7,18.8,18.7,18.8,3900
VTC,20200218,9.6,9.7,9.6,9.7,2400
VTV,20200218,7.2,7.2,7.2,7.2,100
WCS,20200218,155,155,155,155,303
WSS,20200218,1.8,1.9,1.8,1.9,600
