<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAV,20200113,9,9,8.8,8.8,103800
ACB,20200113,22.9,22.9,22.7,22.9,1523181
ACM,20200113,0.4,0.5,0.3,0.4,59098
ADC,20200113,15.8,15.8,15.8,15.8,200
AMV,20200113,23.4,23.8,22.6,23,158930
APP,20200113,5.7,5.7,5.7,5.7,5000
APS,20200113,1.8,1.8,1.8,1.8,31500
ARM,20200113,36,36,36,36,10
ART,20200113,2.4,2.4,2.2,2.3,611200
BCC,20200113,6.8,6.9,6.7,6.8,24100
BII,20200113,0.8,0.9,0.7,0.8,157901
BKC,20200113,6.3,6.3,6.3,6.3,500
BTS,20200113,4.4,4.4,4.4,4.4,100
BTW,20200113,37.9,37.9,36,36,1101
BVS,20200113,9.9,10,9.8,10,36900
C69,20200113,6.7,6.8,6.2,6.7,60700
C92,20200113,9.2,9.2,9.2,9.2,100
CAP,20200113,29.8,30,29.8,29.8,5550
CEO,20200113,8.9,8.9,8.7,8.7,195909
CET,20200113,3.2,3.2,3.2,3.2,400
CLM,20200113,18.7,18.7,18.7,18.7,6300
CPC,20200113,20,20,20,20,200
CSC,20200113,25.7,27.7,25.5,27.7,28400
CTP,20200113,4,4,4,4,1700
CTT,20200113,7.3,7.3,7.3,7.3,100
CVN,20200113,11.1,11.4,11,11,17400
DBT,20200113,11.9,11.9,11.9,11.9,121
DC4,20200113,12.6,12.8,12.6,12.8,300
DDG,20200113,27,27,26.6,26.7,110800
DGC,20200113,23.9,24.1,23.9,24.1,72290
DHT,20200113,49.8,49.8,48.5,48.5,300
DIH,20200113,17.2,17.2,17.2,17.2,400
DNC,20200113,33.5,33.5,33.5,33.5,800
DNP,20200113,17.5,17.6,17.5,17.6,6600
DNY,20200113,1.4,1.4,1.4,1.4,100
DP3,20200113,71,71,71,71,212
DPC,20200113,10.9,10.9,10.9,10.9,1800
DS3,20200113,3,3,2.9,3,56500
DST,20200113,0.9,0.9,0.8,0.8,43000
DTD,20200113,10.4,10.5,10.2,10.2,19900
DXP,20200113,11.9,11.9,11.9,11.9,100
EID,20200113,14,14,14,14,10
EVS,20200113,8.9,8.9,8.9,8.9,100
FID,20200113,0.9,0.9,0.9,0.9,200
GKM,20200113,15.3,15.5,15.3,15.5,131500
GLT,20200113,25,26,25,26,115000
HAD,20200113,18.1,18.1,17,17,10144
HBS,20200113,2.4,2.4,2.4,2.4,500
HCC,20200113,11,11.1,11,11.1,1300
HDA,20200113,9.5,9.7,9.4,9.5,55600
HHG,20200113,1.3,1.4,1.3,1.4,40100
HHP,20200113,12.1,12.3,12,12.3,166600
HKB,20200113,0.6,0.8,0.6,0.7,245810
HKT,20200113,3,3,3,3,100
HLC,20200113,6.8,6.8,6.8,6.8,900
HLD,20200113,16.1,17.1,16.1,16.6,7200
HUT,20200113,2.3,2.3,2.2,2.2,1200240
HVT,20200113,36,36,36,36,3000
IDC,20200113,18,18,18,18,500
IDJ,20200113,8,8.1,6.9,7.3,326700
IDV,20200113,37.7,37.7,37.7,37.7,40
INN,20200113,28,28.1,28,28.1,5600
ITQ,20200113,2,2,1.9,2,4300
IVS,20200113,9.4,9.5,9.4,9.5,6300
KDM,20200113,2.8,2.8,2.8,2.8,100
KHS,20200113,11.3,11.7,10.7,10.7,7800
KKC,20200113,6.9,6.9,6.9,6.9,400
KLF,20200113,1.4,1.5,1.4,1.4,2643641
KVC,20200113,1.1,1.1,1,1,52408
L14,20200113,60,61,55.8,56.3,103435
L35,20200113,12.6,13,12.6,13,400
LAS,20200113,6.2,6.2,6.2,6.2,722
LIG,20200113,4.2,4.2,4.1,4.1,48200
LM7,20200113,12.3,12.3,12.3,12.3,100
LO5,20200113,1.8,1.8,1.8,1.8,100
LUT,20200113,1.8,1.8,1.8,1.8,100
MBG,20200113,15.7,16.1,14.7,15.5,87100
MBS,20200113,14.3,14.5,14,14.5,52435
MCF,20200113,10.1,10.1,10.1,10.1,100
MDC,20200113,7.1,7.1,7.1,7.1,30
MPT,20200113,1.7,1.8,1.7,1.7,36200
MSC,20200113,15,15,15,15,1470
MST,20200113,5.2,5.3,5.2,5.3,137100
NAG,20200113,4.7,4.9,4.5,4.5,90620
NBC,20200113,6.4,6.4,6.4,6.4,34800
NDN,20200113,15.7,15.8,15.1,15.3,345454
NDX,20200113,12.7,12.7,12.7,12.7,8000
NET,20200113,46,46.5,46,46.5,2545
NHA,20200113,6.7,6.7,6.7,6.7,4300
NHP,20200113,0.5,0.5,0.4,0.4,74400
NRC,20200113,9.7,10.5,9.7,10,32600
NSH,20200113,1.9,1.9,1.9,1.9,300
NTH,20200113,29.9,29.9,29.8,29.8,2300
NTP,20200113,31,31.3,30.8,31.3,5781
NVB,20200113,9.3,9.3,9,9.2,1708300
ONE,20200113,3.6,3.6,3.6,3.6,1200
PBP,20200113,8.2,8.2,8.2,8.2,100
PDB,20200113,9.3,9.3,9.3,9.3,50
PGN,20200113,10.8,12,10.8,12,23700
PHP,20200113,9.2,9.4,9.2,9.4,4000
PLC,20200113,10.6,10.7,10.6,10.6,91840
PMC,20200113,45.4,48.4,45.3,48.4,500
PMS,20200113,12.6,12.6,12.6,12.6,10
POT,20200113,14,15.9,13.6,15.9,5181
PPP,20200113,13.5,15.1,12.9,12.9,700
PPS,20200113,6.4,6.4,6.4,6.4,15
PSC,20200113,14.7,16.9,14.7,16.9,236
PSI,20200113,2.1,2.1,2.1,2.1,3000
PTS,20200113,4.8,4.8,4.8,4.8,200
PVB,20200113,17.5,17.7,17.4,17.4,34900
