<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
ABC,20200602,10.2,10.2,10.1,10.1,1309
ABI,20200602,27,27,25.8,26,47500
ACE,20200602,29,29,29,29,1020
ACV,20200602,59.4,60.5,59.4,60.1,427557
ADG,20200602,106.6,106.7,105.2,106.3,10600
AFX,20200602,4.4,4.5,4.2,4.2,40400
AG1,20200602,9,9,9,9,100
AGP,20200602,16,17,16,17,3230
AMS,20200602,6.8,6.8,6.8,6.8,500
APF,20200602,28,28.3,28,28.3,1100
ATB,20200602,0.5,0.5,0.5,0.5,500
BAB,20200602,18.2,18.2,18,18.2,2600
BBT,20200602,19,19.3,19,19,7400
BCM,20200602,26.9,26.9,25.6,25.7,34310
BCP,20200602,12.8,12.8,12.8,12.8,1000
BDG,20200602,31.2,31.4,31.2,31.4,800
BDT,20200602,17.8,17.8,17.5,17.8,26000
BEL,20200602,11.3,11.3,11.3,11.3,20
BHP,20200602,10.2,10.2,7.6,7.6,1910
BLI,20200602,6.9,6.9,6.9,6.9,110
BMF,20200602,18,18,18,18,1000
BOT,20200602,51.5,51.7,51.5,51.6,27100
BRR,20200602,9,9,9,9,400
BSL,20200602,11,11,11,11,100
BSP,20200602,16.8,16.8,16.8,16.8,100
BSQ,20200602,20.5,20.5,20.5,20.5,1600
BSR,20200602,6.3,7.1,6.2,6.6,12354255
BTD,20200602,22.4,22.4,22.2,22.2,709
BTN,20200602,3.1,3.1,3.1,3.1,1000
BTV,20200602,18,18,18,18,100
BVG,20200602,1.6,1.6,1.6,1.6,500
BWS,20200602,38,38,37.5,37.5,300
C4G,20200602,8.2,8.3,7.9,8.1,747300
C71,20200602,11.9,11.9,11.9,11.9,600
CAT,20200602,9.4,9.5,9.4,9.5,4900
CBS,20200602,8,8,8,8,2200
CC1,20200602,15.2,15.2,15.2,15.2,1
CC4,20200602,10.3,10.3,10.3,10.3,1000
CCA,20200602,8,8,8,8,1500
CCM,20200602,24.6,26,24.6,26,1100
CCR,20200602,12,12,12,12,2040
CDO,20200602,0.9,0.9,0.9,0.9,10300
CEN,20200602,6.6,6.6,6.4,6.5,2700
CHS,20200602,9.2,9.2,8,8,1600
CKA,20200602,18.6,18.6,18.6,18.6,500
CLX,20200602,11.6,12,11.6,11.8,12200
CQT,20200602,2.2,2.5,2.2,2.2,1100
CTR,20200602,47.5,48,47,47.4,195636
DAR,20200602,11.8,11.8,10.5,10.5,6900
DC1,20200602,12.2,12.2,12.2,12.2,100
DDV,20200602,5.9,5.9,5.9,5.9,4000
DNH,20200602,24,24,24,24,500
DNR,20200602,12.5,12.5,12.5,12.5,210
DNW,20200602,16.2,17.2,16.2,16.7,1000
DP1,20200602,13.1,13.1,13.1,13.1,200
DPH,20200602,23,23,23,23,100
DPP,20200602,16.4,16.4,16.4,16.4,100
DRI,20200602,4.4,4.4,4.3,4.3,231206
DSP,20200602,11,11,11,11,170
DTG,20200602,14.7,14.7,14.7,14.7,100
DVN,20200602,11.6,11.7,11.3,11.3,376431
EIC,20200602,8.6,8.6,8.6,8.6,100
EVF,20200602,7.3,7.6,6.3,7.5,110747
FIC,20200602,10.2,10.2,10.2,10.2,100
FOC,20200602,126,132,126,126,3020
FOX,20200602,50,50,49,49.1,8786
G36,20200602,5.7,6.1,5.5,5.6,760875
GCB,20200602,2.5,5,2.5,5,700
GHC,20200602,31.2,31.2,30.6,31,6100
GND,20200602,26.8,26.8,24,24,4100
GTS,20200602,9.1,9.1,9.1,9.1,10
GVT,20200602,44,44.1,44,44.1,937
HAC,20200602,4.7,4.9,4.6,4.7,118290
HAM,20200602,22,22,22,22,4000
HBD,20200602,15.1,15.1,15,15,200
HEC,20200602,50,55,50,52,1400
HEJ,20200602,17.6,17.7,17.6,17.7,5000
HEM,20200602,13.2,13.2,13.2,13.2,20000
HEP,20200602,8.7,8.7,8.7,8.7,200
HIG,20200602,7,7,7,7,2800
HIZ,20200602,24.7,24.7,24.7,24.7,100
HND,20200602,17.8,18.1,17.7,17.8,80175
HNE,20200602,8,8,8,8,5000
HNF,20200602,26,26,26,26,223
HPH,20200602,5.1,5.1,5,5,6000
HPP,20200602,36.5,37.5,36.5,37.5,5200
HPT,20200602,9.5,9.5,9.5,9.5,200
HSI,20200602,1.2,1.2,1.2,1.2,900
HTE,20200602,5,5,5,5,8700
HTG,20200602,20.5,21,20.5,21,5000
HTM,20200602,11.4,11.7,11.4,11.6,7600
HU4,20200602,5.4,5.6,5.4,5.6,12300
ICF,20200602,0.8,0.8,0.8,0.8,1000
ICN,20200602,74.5,74.5,74.4,74.4,4000
IFS,20200602,15.9,15.9,15.9,15.9,210
ILA,20200602,2.6,2.6,2.6,2.6,4200
ILC,20200602,3,3,2.7,3,1500
ILS,20200602,11.3,11.3,11.2,11.2,3100
KCB,20200602,1.6,1.6,1.6,1.6,1000
KDF,20200602,33.3,33.5,33,33.1,66233
KHD,20200602,9.4,9.4,9.1,9.1,4341
KTL,20200602,23.5,23.5,22.5,22.5,7900
LIC,20200602,8.4,8.4,8.4,8.4,500
LPB,20200602,8,9,8,8.7,18040091
LTG,20200602,21.2,21.4,20.5,20.6,265773
M10,20200602,19.2,19.2,18.6,19,15745
MCH,20200602,71.8,73,71.8,72.5,27747
MEC,20200602,0.5,0.7,0.5,0.7,500
MFS,20200602,25.7,27,25.7,26,61210
MGG,20200602,49,49,49,49,20
MH3,20200602,41.4,41.4,40,40,5300
MIC,20200602,8.9,8.9,6.9,8.8,1700
MIG,20200602,10.2,10.4,10.2,10.3,73700
MKP,20200602,46,46,46,46,140
MLS,20200602,25,25.1,24.9,24.9,13500
MML,20200602,53.9,55.5,53.6,53.6,118613
MPC,20200602,27.8,27.8,27.2,27.7,71072
MQN,20200602,42.5,42.5,41.8,42,2200
MSR,20200602,15.5,15.5,14.9,15,6600
MTA,20200602,3.9,3.9,3.8,3.8,56000
MVB,20200602,9.5,9.5,9.5,9.5,900
MVY,20200602,3.9,3.9,3.9,3.9,100
NBE,20200602,6.6,6.6,6.6,6.6,100
NCP,20200602,10.1,10.1,10,10,2216400
NCS,20200602,20,20.1,20,20.1,4000
ND2,20200602,24.3,24.3,24.3,24.3,1012
NDT,20200602,4.1,4.1,4.1,4.1,200
NED,20200602,7.5,7.5,7.1,7.1,6400
NHT,20200602,25.2,25.2,25,25,2300
NLS,20200602,11.8,11.8,11.8,11.8,100
NMK,20200602,7.7,7.7,7.7,7.7,100
NNG,20200602,10.4,10.4,10.4,10.4,1100
NQN,20200602,13,13,13,13,200
NTC,20200602,204,207.9,200,203,18274
NTW,20200602,31.2,31.2,31.2,31.2,100
NUE,20200602,8.1,8.1,8.1,8.1,2700
OIL,20200602,7.9,8.4,7.8,8,3370920
ORS,20200602,6.9,7,6.8,7,47800
PCC,20200602,15.9,15.9,15.9,15.9,100
PDT,20200602,9.3,9.3,9.3,9.3,100
PDV,20200602,2.6,2.6,2.6,2.6,100
PFL,20200602,0.8,0.8,0.8,0.8,2200
PGV,20200602,10.9,10.9,10.9,10.9,18
PJS,20200602,9.4,9.6,9.4,9.6,200
PNG,20200602,10,10,10,10,72000
POB,20200602,7.5,7.5,7.5,7.5,16140
POS,20200602,8,8.2,8,8.2,5200
POV,20200602,7,7,7,7,1000
PPH,20200602,15.8,15.8,15.8,15.8,100
PPI,20200602,0.4,0.4,0.3,0.3,106030
PRT,20200602,13.2,13.2,13.2,13.2,2000
PSB,20200602,4.3,4.4,4.3,4.4,7200
PSL,20200602,24.8,24.9,23,24.9,3110
PSP,20200602,5.4,5.4,5.3,5.3,2000
PTT,20200602,6.1,6.1,6.1,6.1,100
PVM,20200602,9.7,9.7,9.7,9.7,10
PVO,20200602,2.9,2.9,2.9,2.9,11000
PVP,20200602,6.2,6.2,6,6,31101
PVV,20200602,0.5,0.6,0.5,0.6,848820
PWA,20200602,9.1,9.2,8.9,9.1,79310
PXL,20200602,9.5,9.6,9.2,9.6,399825
QNS,20200602,26.1,26.5,26,26.1,231838
QTP,20200602,11.5,11.6,11.4,11.6,18800
RGC,20200602,3.6,3.6,3.5,3.5,3100
RTS,20200602,20.6,20.6,20.6,20.6,300
SAP,20200602,5.7,5.7,5.7,5.7,66
SAS,20200602,27.8,28.4,27.8,28,14160
SBD,20200602,7.6,7.6,7.6,7.6,2500
SBS,20200602,1.1,1.2,1.1,1.2,763755
SCJ,20200602,2.8,2.8,2.6,2.6,17900
SD3,20200602,1.6,1.7,1.6,1.7,30000
SD7,20200602,3.4,3.4,3.2,3.2,38000
SDD,20200602,3.1,3.1,3.1,3.1,55
SDP,20200602,1.1,1.1,1.1,1.1,31000
SDV,20200602,21,21,20,20,4600
SEA,20200602,14,14.6,14,14.6,1000
SGP,20200602,7,7.1,6.8,6.9,48800
SGS,20200602,15,15,15,15,800
