<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
ABC,20200210,9.6,9.6,9.4,9.4,4320
ABI,20200210,29.6,29.6,29,29,5800
ACV,20200210,59,59,57,57,93422
ADG,20200210,92,93,91.4,92.3,9700
ADP,20200210,16.5,16.5,16.5,16.5,200
AFX,20200210,3.5,3.5,3.3,3.3,12200
AGP,20200210,19.2,19.2,19.2,19.2,200
AMS,20200210,7.4,7.4,7.4,7.4,100
ANT,20200210,10,10.4,9.6,10.4,6100
ATB,20200210,0.7,0.7,0.6,0.6,10900
BAB,20200210,18.2,18.2,18.2,18.2,2900
BAL,20200210,7.2,7.2,7.2,7.2,100
BBT,20200210,18,18,18,18,2000
BCM,20200210,25.5,26.4,25.5,26.2,14200
BDG,20200210,36.1,36.7,36.1,36.1,300
BDT,20200210,12,12,11.5,12,21600
BDW,20200210,9.5,9.5,9.5,9.5,1700
BEL,20200210,11.4,11.4,9.2,9.2,600
BKH,20200210,34.5,34.5,34.5,34.5,100
BLI,20200210,7.4,7.4,7.3,7.3,2100
BMF,20200210,20,20,20,20,810
BMS,20200210,4,4,4,4,800
BOT,20200210,55.6,55.8,55.4,55.6,29100
BSQ,20200210,19,19,19,19,300
BSR,20200210,7.6,7.6,7.4,7.5,1080915
BTD,20200210,15.8,15.8,15.8,15.8,100
BTV,20200210,23,23,23,23,100
BVG,20200210,1.8,1.8,1.8,1.8,100
BWS,20200210,35.4,35.4,35.4,35.4,1000
C4G,20200210,5.6,5.9,5.6,5.8,175700
CCA,20200210,5.7,6,5.7,6,6900
CCT,20200210,9.5,9.5,9.5,9.5,1000
CDO,20200210,0.9,1.1,0.9,1,34492
CDP,20200210,10.8,10.8,9.9,10,4600
CEN,20200210,8.5,8.5,8,8,7420
CI5,20200210,5.2,5.2,5.2,5.2,100
CLX,20200210,12.3,12.3,12.3,12.3,1800
CMN,20200210,45,45,45,45,500
CMT,20200210,9.1,9.1,8.2,8.2,6500
CNC,20200210,23.9,23.9,21,21,300
CTR,20200210,46.6,47.2,45,45.3,355073
DAS,20200210,13.2,13.2,13.2,13.2,500
DDN,20200210,12.7,12.7,12.7,12.7,50
DNE,20200210,9.5,9.5,9.5,9.5,500
DRG,20200210,7.4,7.4,7.4,7.4,300
DRI,20200210,5.2,5.4,5.2,5.4,25200
DSC,20200210,5.1,5.1,5.1,5.1,3000
DSP,20200210,10.3,10.3,10.3,10.3,300
DVN,20200210,12.4,13.8,12.4,13.2,334594
E29,20200210,8.7,10.1,8.7,10.1,1800
EIN,20200210,5,5,5,5,150
EVF,20200210,6.9,7.9,6.9,7.9,495066
FHN,20200210,14.3,14.3,14.3,14.3,3600
FOC,20200210,121.5,121.5,121,121,7720
FOX,20200210,41.9,44.8,41,41.2,63500
G36,20200210,4.3,4.3,4.2,4.2,51700
GHC,20200210,31.7,31.9,31.7,31.9,4000
GLW,20200210,6.8,6.8,6.8,6.8,2700
GND,20200210,23.2,23.5,23.2,23.5,5300
