<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
FUCVREIT,20200319,6,6,6,6,10
VJC,20200319,99.2,100,95.1,98,540170
VMD,20200319,20.45,20.65,19.05,19.1,780
VND,20200319,12.7,12.95,12.45,12.95,414640
VNE,20200319,3.65,3.65,3.48,3.55,1208090
VNG,20200319,14.05,14.05,13.9,14,291870
VNL,20200319,14.35,14.35,13.45,13.45,20
VNM,20200319,93,94,89,89,2774560
VNS,20200319,8.77,8.8,8.45,8.46,37090
VOS,20200319,1.36,1.39,1.33,1.33,124080
VPB,20200319,21,21,20.1,20.8,3825580
VPD,20200319,14,14,13.9,13.9,4010
VPG,20200319,22.1,22.1,22,22,57250
VPH,20200319,3.79,3.79,3.54,3.74,6080
VPI,20200319,41.5,41.8,41.5,41.65,381820
VPS,20200319,9.86,9.86,9.86,9.86,500
VRC,20200319,6.43,6.43,5.86,6.35,599930
VRE,20200319,21,22,20.7,21.9,2175340
VSC,20200319,20.5,20.7,20.4,20.6,126830
VSH,20200319,18.55,19.95,18.5,19.95,9980
VSI,20200319,22.2,22.2,22.2,22.2,100
VTB,20200319,12.55,12.55,10.95,12.5,2140
VTO,20200319,7.01,7.19,7,7.1,12960
YBM,20200319,4.05,4.25,3.77,3.77,17170
YEG,20200319,56.9,60,56.4,56.4,28340
TTF,20200319,2.6,2.6,2.47,2.49,442160
TV2,20200319,65,66.9,60.5,64,54400
TVB,20200319,16.85,16.9,16.7,16.8,132340
TVS,20200319,10.75,11.4,10.7,11.4,19480
TVT,20200319,22.4,24.5,22.4,24,3000
TYA,20200319,12.15,12.35,11.5,12.3,7030
UDC,20200319,3.35,3.49,3.35,3.35,1640
UIC,20200319,36.9,36.9,36.9,36.9,70
VAF,20200319,7.44,7.44,7.44,7.44,10
VCB,20200319,67.3,68.7,66,66,1191150
VCF,20200319,197.9,198,187.8,187.8,360
VCI,20200319,17.7,18.7,17.7,18.7,30150
VDP,20200319,32.5,32.5,32,32,520
VDS,20200319,6.05,6.05,6.05,6.05,20610
VFG,20200319,40.3,41.4,39,41.4,190
VGC,20200319,15.5,16,15.2,15.2,408650
VHC,20200319,24.3,24.7,24.05,24.05,268060
VHM,20200319,67.3,69.3,65,68.5,1482170
VIC,20200319,86.9,88.7,83.1,88.7,1103680
VID,20200319,3.72,3.9,3.72,3.9,2020
VIP,20200319,4.35,4.35,4.12,4.3,87660
VIS,20200319,18.6,21.4,18.6,21.4,130
THG,20200319,43.7,44,42.8,43,4930
TIP,20200319,15,15,14.4,14.7,8550
TIX,20200319,30,30.8,30,30.8,1970
TLD,20200319,4.58,4.58,4.45,4.55,173270
TLG,20200319,31,31,30.4,30.8,26590
TLH,20200319,2.99,2.99,2.8,2.93,198920
TMP,20200319,32,32,32,32,2990
TMS,20200319,24.8,25,24.1,24.1,3080
TMT,20200319,4.85,5.14,4.85,5.14,250
TN1,20200319,60,60.1,59,60,1610
TNA,20200319,14.4,14.8,14.35,14.8,57670
TNC,20200319,11.9,12.75,11.9,12,6050
TNI,20200319,10.05,10.1,9.95,10.1,275940
TNT,20200319,1.85,1.85,1.73,1.79,556890
TPB,20200319,21.25,21.3,20.8,21.3,503440
TPC,20200319,8.58,9.85,8.58,8.66,50
TRA,20200319,52.9,52.9,48.8,48.8,1330
TRC,20200319,27,27,26,26.9,5010
TS4,20200319,2.81,2.97,2.81,2.97,780
TSC,20200319,2.64,2.64,2.3,2.3,2823840
TTB,20200319,2.9,2.94,2.71,2.94,727880
TTE,20200319,17.1,17.1,17.1,17.1,40
TCR,20200319,3.2,3.2,3.2,3.2,20000
TCT,20200319,30.5,32.7,30.05,31,630
TDC,20200319,7.1,7.26,6.9,7.04,54130
TDG,20200319,2.06,2.14,1.9,1.93,298160
TDH,20200319,6.95,6.96,6.7,6.9,494300
TDM,20200319,19,19.2,18.7,18.7,157300
TDW,20200319,23,23,23,23,10
TEG,20200319,3,3.4,3,3.4,210
TGG,20200319,1.37,1.37,1.26,1.31,155300
STB,20200319,9.9,9.96,9.6,9.75,7516500
STK,20200319,15,15.4,14.9,15.35,123290
SVC,20200319,42.65,42.65,40.1,42.5,55510
SZC,20200319,14.6,14.95,14.1,14.3,76080
SZL,20200319,31.7,31.7,30.75,31,35300
TAC,20200319,22.3,22.4,22.3,22.4,160
TBC,20200319,22.8,22.8,22.8,22.8,10
TCB,20200319,17.6,17.8,17.15,17.25,2214980
TCD,20200319,8.47,9.1,8.47,8.47,5340
TCH,20200319,22.55,22.55,22.55,22.55,212900
TCL,20200319,18.5,18.9,17.8,18.35,39140
TCM,20200319,13.55,13.7,13.4,13.5,433150
TCO,20200319,11.15,11.15,11.15,11.15,50
SBT,20200319,15,15,14.5,14.95,2218220
SBV,20200319,9.65,9.7,9.6,9.64,10690
SC5,20200319,19.5,19.5,19.2,19.35,120
SCD,20200319,23.8,23.8,22.5,23.7,2130
SCR,20200319,4.44,4.44,4.12,4.25,5717870
SCS,20200319,103.5,103.5,99.5,100,59360
