<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
ABC,20200714,9.8,10,9.8,9.9,5300
ABI,20200714,32.5,32.5,31.9,32.1,65472
ACV,20200714,59.1,59.6,57,59.3,140533
ADG,20200714,113.2,115.9,112.5,113.6,24820
AFX,20200714,5.3,5.5,5.2,5.4,31810
AMS,20200714,7.5,7.5,7.5,7.5,14500
APF,20200714,29,29.5,28.2,29.5,1200
ATB,20200714,0.6,0.7,0.6,0.7,3700
BAB,20200714,18.3,18.3,18,18.3,2500
BCM,20200714,26.3,26.8,26.2,26.7,7510
BDT,20200714,17.2,17.5,17.2,17.3,8200
BLI,20200714,6.9,6.9,6.9,6.9,3311
BMG,20200714,28,28,28,28,800
BOT,20200714,51.7,51.7,51.4,51.6,26400
BPW,20200714,21.6,21.6,21.6,21.6,500
BSA,20200714,11.7,11.7,11.7,11.7,570
BSP,20200714,18.7,18.7,18.7,18.7,5000
BSR,20200714,7.1,7.1,7,7.1,1530826
BT1,20200714,16.5,16.5,16.5,16.5,1000
BTD,20200714,22.3,22.3,22,22,1500
BTN,20200714,2.9,2.9,2.9,2.9,2700
BUD,20200714,5,5,5,5,2500
BVB,20200714,20.9,20.9,15.5,15.5,2377048
BWS,20200714,35.1,35.1,35,35.1,1010
C4G,20200714,7.4,7.4,7.3,7.4,600834
C71,20200714,10,10,10,10,100
CAT,20200714,10.8,10.8,10.6,10.7,1200
CCR,20200714,12.5,12.5,12.5,12.5,300
CDO,20200714,0.8,0.9,0.8,0.9,57885
CDP,20200714,8.8,8.8,8.8,8.8,300
CEN,20200714,6.1,6.1,6.1,6.1,100
CHS,20200714,9.6,9.6,9.6,9.6,100
CI5,20200714,3.7,3.7,3.7,3.7,100
CID,20200714,4.7,4.7,4.7,4.7,300
CKD,20200714,16.3,16.3,16.3,16.3,100
CLX,20200714,12.2,12.2,12.2,12.2,2600
CMT,20200714,6.9,6.9,6.9,6.9,110
CNC,20200714,20.2,20.2,20.2,20.2,100
CTR,20200714,48.2,48.3,47.6,48.3,203520
DAS,20200714,18.5,18.9,18.5,18.9,10700
DHD,20200714,24,24,24,24,310
DNA,20200714,20,20,20,20,100
DND,20200714,26.4,26.4,26.4,26.4,13
DNE,20200714,9.1,9.1,9.1,9.1,100
DNW,20200714,16.8,16.8,16.8,16.8,100
DOP,20200714,10.1,10.2,10.1,10.1,2550
DPP,20200714,14.3,15.1,14.3,15.1,800
DRG,20200714,9,9.6,9,9.6,1700
DRI,20200714,4.4,4.4,4.2,4.4,105810
DTP,20200714,43.3,43.3,32.2,43.3,3500
DVC,20200714,13.5,13.5,13.5,13.5,400
DVN,20200714,11.5,11.8,11.5,11.8,288685
E29,20200714,7,7,7,7,100
EIN,20200714,3.8,3.8,3.8,3.8,1200
EVF,20200714,6.7,6.8,6.6,6.7,96286
FOC,20200714,120.5,120.5,120.5,120.5,123
FOX,20200714,47,49,47,48,4220
G36,20200714,6,6,5.7,5.9,642400
GCB,20200714,10,10,9.5,9.5,500
GHC,20200714,33,33,33,33,5000
GSM,20200714,8.6,8.9,8.6,8.9,10200
HD2,20200714,5,5,5,5,500
HFB,20200714,6.2,6.2,6.2,6.2,200
HIG,20200714,7.3,8,7.3,8,30900
HNA,20200714,10.5,10.5,10.5,10.5,300
HND,20200714,18,19.3,18,19.3,906647
HNF,20200714,24,25,24,24,4900
HPD,20200714,15,15.5,15,15.5,6300
HPP,20200714,36.9,36.9,36.9,36.9,100
HPT,20200714,10,10,10,10,200
HPW,20200714,11.6,11.6,11.6,11.6,100
HTE,20200714,6.1,6.1,6,6,3680
HTG,20200714,20.7,21.5,20.7,21.4,14600
HTM,20200714,11.8,11.8,11.5,11.7,600
HU6,20200714,6.2,6.2,6.2,6.2,500
ICC,20200714,30.3,34.2,30.3,34.2,200
IFS,20200714,19,19,17.3,17.3,1100
ILA,20200714,2.6,2.6,2.6,2.6,3400
ILC,20200714,3,3,3,3,100
ILS,20200714,11.1,11.1,11.1,11.1,300
IN4,20200714,95.3,95.3,95.3,95.3,4400
ISH,20200714,15.4,15.4,15.4,15.4,100
