<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
ABC,20200410,9.1,9.5,9.1,9.5,3300
ABI,20200410,22.9,22.9,22.9,22.9,4100
ACV,20200410,50,54,49.8,52.9,336489
ADG,20200410,92.5,92.5,92.4,92.4,800
AFX,20200410,4.1,4.1,3.8,4.1,105200
AG1,20200410,5.6,5.6,5.6,5.6,300
AGF,20200410,2.1,2.4,2.1,2.4,2310
ALV,20200410,2.1,2.1,1.9,1.9,30300
AMS,20200410,6.5,6.5,6.5,6.5,200
APF,20200410,24,24,24,24,4000
ASA,20200410,1,1,0.9,0.9,84400
ATA,20200410,0.1,0.3,0.1,0.2,193200
ATB,20200410,0.5,0.5,0.4,0.5,26400
AVF,20200410,0.4,0.5,0.4,0.4,349410
BAB,20200410,17.8,17.8,17.8,17.8,3100
BAL,20200410,12.5,12.5,12.5,12.5,100
BBT,20200410,17.1,17.1,17.1,17.1,100
BCM,20200410,19.5,19.5,18.8,18.8,3400
BCP,20200410,12.5,12.5,12.5,12.5,1800
BDG,20200410,29,29.5,29,29.5,200
BDT,20200410,15.4,16.3,15.4,16.2,17900
BLI,20200410,7.1,7.2,7.1,7.2,300
BMF,20200410,12.3,12.3,12.3,12.3,100
BMS,20200410,4.5,4.5,4.5,4.5,100
BOT,20200410,54.8,54.8,54.6,54.7,28000
BRR,20200410,8,8,8,8,600
BSA,20200410,14.6,14.6,14.4,14.4,2000
BSP,20200410,18.5,18.5,16.1,16.1,3100
BSR,20200410,5.7,5.9,5.7,5.8,4935592
BTD,20200410,16,16.3,16,16.3,5300
BVG,20200410,1.2,1.3,1.2,1.3,42000
BWS,20200410,36.7,36.7,29.1,36.7,200
C12,20200410,3.5,3.5,3.5,3.5,500
C4G,20200410,4.5,4.8,4.4,4.8,788004
CAD,20200410,0.3,0.3,0.3,0.3,11855
CAT,20200410,11.3,11.4,10.8,10.8,21970
CCM,20200410,17.7,17.7,17.7,17.7,100
CCP,20200410,8.5,8.5,8.5,8.5,200
CDG,20200410,7.8,7.8,7.8,7.8,100
CDO,20200410,0.9,0.9,0.8,0.9,31911
