<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
FUCVREIT,20200710,6.48,6.48,6.48,6.48,10
VNM,20200710,116,116.4,115.3,115.3,677180
VNS,20200710,12,12.55,11.75,11.75,175080
VOS,20200710,1.53,1.53,1.49,1.5,58120
VPB,20200710,22.7,23.05,22.55,22.65,2240110
VPD,20200710,14.2,14.4,14,14.4,2540
VPG,20200710,12.35,12.7,12.3,12.3,54180
VPH,20200710,4.5,4.5,4.4,4.46,26720
VPI,20200710,41.4,41.7,41.25,41.3,321970
VRC,20200710,6.7,6.8,6.62,6.62,116010
VRE,20200710,27.35,27.55,26.95,27.05,947980
VSC,20200710,29,29.5,28.9,28.95,570620
VSH,20200710,17.3,17.45,17.3,17.45,39160
VSI,20200710,22,22.5,22,22.5,10420
VTB,20200710,9.96,10.2,9.8,9.96,1220
VTO,20200710,7.62,7.99,7.6,7.97,91160
YBM,20200710,4.14,4.14,3.99,4,8910
YEG,20200710,54.2,55,53,54.9,5600
VDS,20200710,6.15,6.21,6.15,6.16,8510
VFG,20200710,37.1,37.1,37.1,37.1,10
VGC,20200710,20.4,20.6,20.1,20.5,428260
VHC,20200710,38,38.45,37.6,38,436690
VHM,20200710,80.5,80.7,79,79.4,1706520
VIC,20200710,91,92,91,91.4,193330
VID,20200710,9.7,10,9.63,10,90470
VIP,20200710,5.51,5.55,5.4,5.46,56900
VJC,20200710,108.1,110,107.7,108,401690
VND,20200710,13.3,13.45,13.15,13.15,421530
VNE,20200710,4.85,4.99,4.84,4.84,144200
VNG,20200710,16.55,16.6,16.35,16.45,165760
VNL,20200710,16,16,16,16,2400
TRA,20200710,53.9,53.9,51.8,52.1,2750
TRC,20200710,30.8,31.45,30.8,31.3,302200
TS4,20200710,3.49,3.55,3.45,3.5,6770
TSC,20200710,2.8,2.81,2.7,2.71,737000
TTB,20200710,5.7,5.86,5.65,5.66,967180
TTF,20200710,2.88,2.95,2.88,2.94,852280
TV2,20200710,76.5,77,75.5,76,115800
TVB,20200710,9.18,9.3,8.54,9,218370
TVS,20200710,10.6,10.6,10.6,10.6,1750
TVT,20200710,19.9,19.9,19.4,19.5,150
TYA,20200710,15.2,15.45,15.1,15.3,62800
UDC,20200710,4.38,4.6,4.25,4.57,138380
UIC,20200710,38,39,38,38.7,3950
VAF,20200710,9.95,9.95,9.95,9.95,30
VCB,20200710,83.4,83.6,82.1,82.7,918560
VCF,20200710,210,220,210,220,860
VCI,20200710,24.15,25.4,24.15,24.8,1770990
VDP,20200710,31.1,34.4,31.1,31.1,40
TCR,20200710,3.09,3.1,3,3.1,6740
TCT,20200710,28.7,28.7,27,27.5,3960
TDC,20200710,8.03,8.14,8.03,8.1,18790
TDG,20200710,1.74,1.79,1.73,1.76,207120
TDH,20200710,9.13,9.13,8.92,9.03,837640
TDM,20200710,24,24,23.8,24,66670
TDW,20200710,26.5,26.5,26.5,26.5,10
TEG,20200710,5.5,6,5.48,5.99,190210
TGG,20200710,1.17,1.22,1.16,1.21,193060
THG,20200710,47,47,46.2,46.5,13670
THI,20200710,25.3,25.3,25.3,25.3,10
TIP,20200710,19.8,20.45,19.8,20,174900
TIX,20200710,28,29.95,27,29.95,40
TLD,20200710,7.75,7.84,7.6,7.73,153080
TLG,20200710,36.75,37.1,36.35,36.4,138740
TLH,20200710,3.43,3.44,3.4,3.41,477460
TMP,20200710,35.05,35.5,35.05,35.5,1130
TMS,20200710,25.75,25.9,25.75,25.9,500
TMT,20200710,5.1,5.65,5.1,5.29,5650
TN1,20200710,58.6,58.7,58.2,58.7,1070
TNA,20200710,18.1,18.1,17.6,17.6,159970
TNC,20200710,21.9,21.9,20.2,20.8,3080
TNI,20200710,4.55,4.55,4.24,4.24,11781090
TNT,20200710,1.58,1.64,1.58,1.63,57070
TPB,20200710,21.5,21.95,21.5,21.7,67580
TPC,20200710,8.04,8.04,7.36,7.36,20
STB,20200710,11.7,11.8,11.5,11.55,8382730
STG,20200710,14.45,14.6,14.45,14.6,1520
STK,20200710,17.65,17.8,17.6,17.65,126300
SVC,20200710,78,78,78,78,20
SVI,20200710,68.4,68.4,68.4,68.4,80
SVT,20200710,17.7,17.7,17.7,17.7,270
SZC,20200710,20.45,20.8,20.2,20.4,877370
SZL,20200710,41.8,42.2,41.6,41.6,28670
TAC,20200710,34.8,34.8,34.35,34.35,3620
TBC,20200710,23.2,23.2,23.2,23.2,3000
TCB,20200710,20.85,20.95,20.45,20.45,1398740
TCD,20200710,9.5,9.85,9.31,9.85,28700
TCH,20200710,20.85,21.3,20.6,21.2,3722560
TCL,20200710,24.5,24.7,24.1,24.7,32690
TCM,20200710,21,21.3,20.85,20.85,993490
