<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAV,20200320,4.7,4.8,4.7,4.8,3200
ACB,20200320,23.2,23.2,21,21.4,3341564
ACM,20200320,0.6,0.6,0.5,0.5,727798
AME,20200320,6.5,7,6.5,7,800
AMV,20200320,13.5,13.6,12.9,13.2,285100
API,20200320,10.7,10.7,10.7,10.7,300
APS,20200320,2.2,2.2,2.1,2.1,14008
ART,20200320,2.9,3,2.8,2.8,5075734
BAX,20200320,40.9,40.9,40.9,40.9,300
BCC,20200320,6,6,5.5,5.5,177610
BCF,20200320,48.2,48.2,48.2,48.2,100
BII,20200320,0.7,0.7,0.6,0.7,40500
BLF,20200320,2.8,2.9,2.8,2.8,17400
BTS,20200320,3.5,3.5,3.5,3.5,1000
BVS,20200320,8.9,8.9,8.6,8.8,33700
BXH,20200320,14.5,14.5,14.5,14.5,8
C69,20200320,5,5.2,5,5.2,1044650
CAN,20200320,18.9,18.9,18.9,18.9,100
CAP,20200320,29.8,29.8,29.5,29.7,8910
CEO,20200320,6.9,6.9,6.7,6.9,198865
CIA,20200320,10.2,10.4,9.5,9.5,16581
CKV,20200320,15.4,15.4,15.4,15.4,200
CMS,20200320,2.3,2.5,2.3,2.5,9900
CSC,20200320,25.3,26.2,24.7,25.7,34000
CTB,20200320,28.2,31.9,28.2,31.9,1615
CTP,20200320,3.3,3.4,3.3,3.3,2800
CTT,20200320,8.5,8.6,8.5,8.6,6500
CTX,20200320,10.4,10.4,10.4,10.4,100
DAD,20200320,15,16.5,15,16.5,900
DC2,20200320,6.3,6.3,6.3,6.3,100
DC4,20200320,12.2,12.2,12.2,12.2,2
DDG,20200320,27.3,27.5,27.1,27.4,55200
DGC,20200320,22.4,22.5,22.3,22.3,53410
DHP,20200320,10,10,9.5,9.5,16500
DHT,20200320,48,48,44,45.9,30800
DIH,20200320,15.3,15.3,15.3,15.3,100
DNC,20200320,47.3,52,47.3,52,472
DNM,20200320,16.5,16.5,14.6,14.7,7000
DNP,20200320,18.2,18.3,18.2,18.3,21610
DNY,20200320,1.8,1.8,1.8,1.8,200
DP3,20200320,67,67,67,67,16000
DPC,20200320,9.5,10.1,9.5,9.5,1100
DPS,20200320,0.3,0.3,0.2,0.3,254200
DS3,20200320,3,3,2.9,2.9,14800
DST,20200320,1.9,1.9,1.7,1.7,2649956
DTD,20200320,10,10.1,9.8,10,55100
DXP,20200320,10.5,11.3,10.3,11.3,47200
DZM,20200320,2.4,2.4,2.4,2.4,100
EBS,20200320,8,8,8,8,6000
EID,20200320,11.5,11.5,11.5,11.5,200
EVS,20200320,8.6,8.7,7.3,8,1800
FID,20200320,1,1.1,1,1.1,1900
GKM,20200320,15.4,15.6,15,15.6,163620
HAD,20200320,12.1,12.7,11.1,12.7,3920
HAT,20200320,20.4,22.1,20.4,22.1,200
HBE,20200320,8.3,8.3,8.3,8.3,100
HBS,20200320,2,2,1.8,2,5800
HCC,20200320,10.3,10.3,10.2,10.2,2200
HDA,20200320,6.9,7,6.8,6.9,43900
HHG,20200320,1.2,1.2,1.1,1.2,55700
HHP,20200320,12.9,13.5,12.9,13.2,104325
HKB,20200320,0.6,0.7,0.6,0.7,756000
HKT,20200320,3.4,3.4,3.4,3.4,200
HLD,20200320,17,17.3,17,17.3,10300
HOM,20200320,2.7,2.8,2.7,2.8,12400
HUT,20200320,2.2,2.2,1.9,2,5014334
ICG,20200320,7.7,8,7.7,7.8,10500
IDC,20200320,17,17,16.9,16.9,632
IDJ,20200320,15.6,16.5,15.6,16.5,191370
IDV,20200320,28.1,32.4,28.1,32.4,1200
INN,20200320,25.9,25.9,25.9,25.9,200
ITQ,20200320,2.2,2.3,2.2,2.3,117500
IVS,20200320,8,8.3,7.7,8,10700
KDM,20200320,2.1,2.2,2.1,2.2,21500
KHS,20200320,11.2,12.3,10.8,10.8,8300
KLF,20200320,1.8,2,1.8,2,6445171
KSQ,20200320,1.1,1.2,1.1,1.2,210
KVC,20200320,0.9,0.9,0.8,0.9,357600
L14,20200320,49.5,52.4,49.2,52.4,94008
L18,20200320,10.1,10.1,10.1,10.1,10
L35,20200320,8.5,8.5,8.5,8.5,100
L43,20200320,2.7,2.7,2.7,2.7,100
LAS,20200320,5.4,5.4,5.3,5.3,400
LHC,20200320,59.2,59.2,59.2,59.2,500
LIG,20200320,2.9,3,2.9,2.9,73700
LM7,20200320,8.7,8.7,8.6,8.6,1200
LO5,20200320,1.2,1.2,1.2,1.2,100
MAS,20200320,26.1,26.1,26.1,26.1,500
MBG,20200320,9.1,9.5,9,9,821600
MBS,20200320,8.9,9.1,8.9,9.1,20012
MCO,20200320,1.9,1.9,1.9,1.9,100
MEC,20200320,1,1,1,1,600
MED,20200320,43.2,52.8,43.2,44,18610
MPT,20200320,1.2,1.3,1.1,1.1,124500
MST,20200320,4.5,4.7,4.5,4.6,97870
NAG,20200320,3.9,3.9,3.9,3.9,1000
NBC,20200320,6,6,6,6,8500
NDN,20200320,14.5,15,14,14.3,165200
NDX,20200320,10.9,10.9,10.8,10.8,10200
NET,20200320,34.5,34.5,34.5,34.5,1
NHA,20200320,9.4,9.6,9.3,9.6,7400
NHP,20200320,0.5,0.5,0.5,0.5,20500
NRC,20200320,7.7,7.7,7.6,7.6,24100
NSH,20200320,1.3,1.4,1.3,1.4,57130
NTP,20200320,28.2,28.2,27.9,27.9,11830
NVB,20200320,8.5,8.7,8.3,8.5,2757200
ONE,20200320,3,3.1,2.9,3.1,8100
PGN,20200320,13,13,13,13,2000
PGS,20200320,19.8,19.8,19.8,19.8,7
PHP,20200320,8.8,8.8,8.5,8.5,2100
PIA,20200320,26,26,26,26,10
PIC,20200320,8.2,9.1,8.2,9.1,800
PLC,20200320,11.8,11.8,11.4,11.5,33200
PMC,20200320,50,50,50,50,100
PMP,20200320,7.8,7.8,7.8,7.8,300
PPP,20200320,15.6,15.6,15.5,15.5,200
PSC,20200320,11.2,13.6,11.2,13.6,300
PSD,20200320,9.9,10.9,9.9,10.9,200
PSE,20200320,6.1,6.1,6.1,6.1,146
PSI,20200320,1.8,1.8,1.7,1.7,1500
PTI,20200320,15,15,15,15,4600
PTS,20200320,4.8,4.8,4.8,4.8,11700
