<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAV,20200526,5.1,5.2,5,5,260451
ACB,20200526,22.5,23.5,22.5,23.3,5267006
ACM,20200526,0.5,0.6,0.5,0.6,355110
ADC,20200526,13.6,13.8,13.6,13.8,900
ALT,20200526,11.9,11.9,11.9,11.9,100
AME,20200526,6.8,6.8,6.8,6.8,100
AMV,20200526,17.2,17.4,17.1,17.4,515062
API,20200526,9.1,9.1,9.1,9.1,100
APP,20200526,4.5,4.5,4.5,4.5,110
APS,20200526,2.1,2.1,2.1,2.1,6300
ART,20200526,2.8,2.8,2.7,2.7,812870
BAX,20200526,40.5,44,40.5,43.5,6330
BCC,20200526,7,8,7,8,737205
BII,20200526,0.7,0.8,0.6,0.7,87700
BKC,20200526,5.6,5.6,5.6,5.6,200
BPC,20200526,11.7,11.7,11.7,11.7,100
BST,20200526,13.5,14,13.5,14,500
BTS,20200526,4,4.3,4,4.3,4000
BTW,20200526,44.1,44.1,44.1,44.1,100
BVS,20200526,8.8,9.3,8.8,9.1,208573
C69,20200526,5.8,5.8,5.7,5.7,114320
C92,20200526,8.3,8.3,8.3,8.3,100
CAN,20200526,21.6,21.6,21.6,21.6,100
CAP,20200526,30,30,29.3,29.3,16610
CDN,20200526,18.6,19,18.2,19,13040
CEO,20200526,7.6,7.7,7.5,7.7,1376493
CET,20200526,1.6,1.7,1.6,1.7,83400
CIA,20200526,11.6,11.7,11.6,11.6,1420
CKV,20200526,12,14.3,11.7,14.3,2950
CLH,20200526,18.4,18.4,16.7,17.1,1400
CMC,20200526,5.5,5.5,5.5,5.5,420
CMS,20200526,2.6,2.7,2.6,2.7,10100
CPC,20200526,15,15.6,15,15.6,625
CSC,20200526,22,23.2,22,23.2,6900
CTB,20200526,31.5,31.5,31.5,31.5,31
CTP,20200526,3,3,3,3,3005
CTX,20200526,9.3,9.3,9,9.2,3787
CVN,20200526,9.6,10.5,9.5,10.5,91500
D11,20200526,20.9,21.4,19.5,21.4,5600
DAD,20200526,14.6,15.8,14.6,15.8,2400
DAE,20200526,14.4,14.4,14.2,14.2,600
DBT,20200526,10.2,11,10.2,10.3,5800
DC4,20200526,13.8,13.8,13.8,13.8,100
DDG,20200526,27.7,28.3,27.7,28,176500
DGC,20200526,33,33.5,32.8,33.5,176738
DHT,20200526,45,45.3,44.8,45,19535
DIH,20200526,12.7,14.9,12.7,14.9,11600
DL1,20200526,11,11,11,11,100
DNM,20200526,34,35.5,33.7,35,20056
DNP,20200526,17,17,17,17,2
DNY,20200526,1.8,1.8,1.8,1.8,38
DP3,20200526,83,83,82,82.5,13012
DPC,20200526,10.2,10.3,10.2,10.3,3000
DS3,20200526,3.3,3.3,3.2,3.3,53300
DST,20200526,3.9,3.9,3.7,3.9,1691658
DTD,20200526,13.1,13.1,12.6,12.9,51735
DXP,20200526,10.1,10.3,10.1,10.3,10429
DZM,20200526,2.9,2.9,2.5,2.8,334558
EBS,20200526,7,7,7,7,1000
EID,20200526,10.7,10.9,10.6,10.6,37100
EVS,20200526,7.7,7.7,7.5,7.5,200
FID,20200526,0.9,0.9,0.9,0.9,6600
GDW,20200526,35.4,35.4,35.4,35.4,100
GKM,20200526,17.6,17.7,17.6,17.7,152100
GLT,20200526,23.9,23.9,23.9,23.9,500
HAD,20200526,14.3,14.3,14.1,14.2,6224
HAT,20200526,19.8,19.8,19.5,19.7,1400
HBS,20200526,1.9,1.9,1.9,1.9,9200
HCC,20200526,10.5,10.7,10.5,10.7,6705
HCT,20200526,9.8,10.7,9.8,10.6,14200
HDA,20200526,8.9,9.3,8.9,9.3,569400
HHG,20200526,1.1,1.1,1,1.1,47700
HHP,20200526,12.2,12.5,12.2,12.5,310300
HKB,20200526,0.7,0.7,0.6,0.7,243300
HKT,20200526,3.8,3.8,3.8,3.8,50
HLD,20200526,18.3,18.4,18.3,18.3,9400
HOM,20200526,3,3.3,3,3.3,85400
HUT,20200526,2,2.1,1.9,2,4979009
HVT,20200526,35.6,35.6,35.6,35.6,869
ICG,20200526,5,5.3,4.9,5,28084
IDC,20200526,18,18.4,18,18.4,29990
IDJ,20200526,14.8,15.4,14.7,14.9,276003
IDV,20200526,40,41,39.5,39.8,33040
INN,20200526,26.2,26.2,25.3,25.6,14400
ITQ,20200526,2.4,2.4,2.4,2.4,54800
IVS,20200526,7.8,7.8,7.1,7.6,8200
KDM,20200526,2,2,1.9,1.9,11000
KHS,20200526,12.7,12.7,12.7,12.7,1100
KKC,20200526,5.1,5.2,5.1,5.1,2900
KLF,20200526,2,2,1.8,1.9,2057266
KSQ,20200526,1.2,1.3,1.2,1.3,206600
KST,20200526,19.5,19.5,19.5,19.5,50
KVC,20200526,0.9,0.9,0.8,0.8,161700
L14,20200526,65,67.9,64,66.2,87818
LAS,20200526,6.4,6.6,6.4,6.6,273923
LDP,20200526,20.8,20.8,20.8,20.8,16
LHC,20200526,67,69.5,67,69.5,7200
LIG,20200526,3.1,3.1,3.1,3.1,32500
LM7,20200526,3.6,3.6,3.6,3.6,700
LUT,20200526,1.8,2,1.8,2,600
MAS,20200526,37.7,37.7,34.3,37.2,2420
MBG,20200526,7.5,7.7,6.8,7,3187938
MBS,20200526,9.7,10,9.6,9.9,131250
MCC,20200526,11.6,11.6,11.6,11.6,1900
MCF,20200526,8.6,9.2,8.4,9.2,3445
MCO,20200526,2.2,2.2,2.2,2.2,21010
MPT,20200526,1.2,1.2,1.2,1.2,100610
MST,20200526,2.7,2.9,2.6,2.8,1531983
NAG,20200526,4.7,4.7,4.6,4.7,26129
NBC,20200526,6.1,6.1,6,6.1,58100
NBP,20200526,11.9,11.9,11.9,11.9,300
NBW,20200526,26.6,26.6,26.6,26.6,7100
NDN,20200526,18.5,18.5,17.8,18,256610
NDX,20200526,12.8,12.8,12.8,12.8,3100
NET,20200526,47,48.4,47,48.4,200
NGC,20200526,2.5,2.5,2.5,2.5,200
NHA,20200526,10.2,10.3,10.1,10.3,8750
NHP,20200526,0.4,0.4,0.4,0.4,8300
NRC,20200526,8.7,8.9,8.5,8.5,70000
NSH,20200526,1.4,1.4,1.3,1.4,7600
NTH,20200526,29.5,29.5,29.5,29.5,2700
NTP,20200526,34.2,34.8,34,34.8,25506
NVB,20200526,7.9,8,7.8,8,2847320
OCH,20200526,7.8,7.8,7.8,7.8,2000
ONE,20200526,3.3,3.3,3.2,3.2,14200
PBP,20200526,7.2,7.2,6.8,6.8,4200
PDB,20200526,8,8,8,8,100
PEN,20200526,5,5,5,5,100
PGN,20200526,10.7,10.7,10.7,10.7,200
PGS,20200526,16,16.6,16,16.5,43485
PGT,20200526,4.6,4.6,4.6,4.6,100
PHN,20200526,26,26,24.6,24.6,4000
PHP,20200526,9.3,9.4,9.3,9.4,3730
PIA,20200526,25.1,25.1,25.1,25.1,100
PLC,20200526,17.4,17.4,17,17.2,337055
PMC,20200526,49.9,49.9,49.9,49.9,200
PMP,20200526,8.1,8.1,8.1,8.1,100
