<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HU3,20200318,7.19,7.19,7.19,7.19,20
HUB,20200318,17.5,17.5,17.15,17.15,840
HVH,20200318,8.88,8.93,8.78,8.9,177950
HVN,20200318,21.2,21.5,20.7,20.8,782900
IBC,20200318,20.9,20.9,20.65,20.9,124820
ICT,20200318,11.75,12.6,11.75,12.6,19650
HII,20200318,13.95,13.95,13.2,13.3,218500
HMC,20200318,9.8,10.5,9.8,10.5,16760
HNG,20200318,12.8,12.85,12.6,12.85,379390
HPG,20200318,19.4,20.1,19.35,19.7,10396530
HPX,20200318,27.5,27.75,27.5,27.75,318980
HQC,20200318,1.38,1.38,1.38,1.38,1572430
HSG,20200318,6.3,6.33,6.11,6.16,3423240
HSL,20200318,4.6,4.81,4.6,4.81,146820
HT1,20200318,12.2,12.7,12,12.3,85770
HTI,20200318,11,11.2,11,11.2,11170
HTL,20200318,12.85,13.85,12.85,13.85,1010
HTT,20200318,1.15,1.15,1.05,1.11,26660
HU1,20200318,6.96,6.97,6.96,6.97,30
FPT,20200318,49,49.1,48.35,48.4,1642800
FRT,20200318,14.8,15.6,14.8,15.4,182730
FTM,20200318,1.71,1.72,1.7,1.72,362870
FTS,20200318,12.9,12.9,12.3,12.3,40530
GAB,20200318,141,143.5,141,143.3,165460
GDT,20200318,22.7,24,22.7,22.8,2570
GEG,20200318,20.45,21.4,20.45,20.95,324480
GEX,20200318,15,15.2,14.5,14.6,1098210
GIL,20200318,16.5,17.6,16.5,17.2,64660
GMC,20200318,15.55,16,15.5,15.55,4720
GMD,20200318,16.7,17.2,16.6,16.95,663440
GSP,20200318,10,10,10,10,220
GTA,20200318,11.3,11.95,11.3,11.95,13650
GTN,20200318,13.8,13.95,13.6,13.8,90400
GVR,20200318,11.5,11.5,10.45,10.5,1432550
HAG,20200318,3.08,3.12,3.03,3.03,2425580
HAH,20200318,9.01,9.3,9.01,9.19,49610
HAI,20200318,4.88,4.88,4.88,4.88,1238630
HAP,20200318,2.9,3.02,2.9,3.02,24510
HAR,20200318,3.07,3.07,3.07,3.07,500580
HAS,20200318,6.28,6.28,6.28,6.28,10
HAX,20200318,10.8,11.25,10.6,10.65,96020
HBC,20200318,8,8.06,7.88,7.9,2168140
HCD,20200318,2.42,2.42,2.35,2.41,84510
HCM,20200318,14.3,14.5,13.75,13.8,1195960
HDB,20200318,21.95,21.95,21.05,21.3,1712110
HDC,20200318,15.6,15.9,15.4,15.6,695070
HHS,20200318,3.98,4.09,3.89,4.04,2813730
HID,20200318,2.71,2.98,2.71,2.98,947230
DCL,20200318,20.1,22,20.1,21.4,334370
DCM,20200318,5.64,5.84,5.63,5.8,659550
DGW,20200318,20.9,21.2,20.1,20.6,581930
DHA,20200318,29.65,29.65,29.5,29.6,650
DHC,20200318,35.65,35.9,34.9,34.9,173800
DHG,20200318,78,80,78,79.3,18290
DHM,20200318,3.9,3.9,3.9,3.9,2000
DIC,20200318,1.67,1.74,1.67,1.74,101320
DIG,20200318,11.7,11.95,11.55,11.7,1203540
DLG,20200318,1.9,1.93,1.87,1.93,12633480
DMC,20200318,52.2,52.2,49.1,50.9,2110
DPG,20200318,26.55,26.6,25.2,26.45,314750
DPM,20200318,11.55,12.15,11.5,11.85,809770
DPR,20200318,35.9,36.25,35.6,36.25,27090
DQC,20200318,17.1,17.5,16.15,17,118300
DRC,20200318,18.6,18.8,18,18.3,286810
DRH,20200318,4.45,4.47,4.45,4.47,1166360
DRL,20200318,52.6,52.9,52.5,52.5,1490
DSN,20200318,44.3,44.3,44,44,3340
DTA,20200318,4,4,4,4,820
DTL,20200318,20.7,20.75,18.5,18.5,1860
DVP,20200318,31.5,31.5,30.75,31.3,28640
DXG,20200318,11.3,11.3,10.75,10.9,1493770
DXV,20200318,2.89,2.89,2.85,2.85,150
ELC,20200318,4.7,4.85,4.61,4.74,16700
EMC,20200318,12,12,12,12,20
EVE,20200318,8.6,9.69,8.6,9.65,4160
EVG,20200318,2.4,2.46,2.39,2.45,480120
FCM,20200318,6.1,6.4,5.6,6.19,1750
FCN,20200318,7.3,7.49,7.3,7.49,869770
FIR,20200318,30.7,30.8,30.5,30.6,52920
FLC,20200318,3.81,3.98,3.79,3.89,14278520
FMC,20200318,19.8,20.6,19.6,20.35,79810
CLC,20200318,29,29,28,28,18570
CLG,20200318,2.3,2.3,2.15,2.3,57620
CMG,20200318,24.8,24.8,23.2,23.2,71960
CMV,20200318,12.85,14.75,12.85,14.75,20
CMX,20200318,10.55,11.2,10.55,10.7,41930
CNG,20200318,20.65,21.2,20.55,20.6,10400
COM,20200318,47.8,47.8,47.5,47.5,120
CRC,20200318,11.3,11.3,10.95,11.3,88240
CRE,20200318,15.6,15.6,15.6,15.6,41040
CSM,20200318,14.75,14.75,14.4,14.75,13480
CSV,20200318,19.6,19.7,19.05,19.35,38190
CTD,20200318,54.7,56.3,54.7,55.1,153030
CTF,20200318,21.4,21.6,21.3,21.6,144010
CTG,20200318,21.3,21.55,20.95,20.95,6424470
CTI,20200318,20.5,21.8,20.5,21.8,27130
CTS,20200318,6.3,6.74,6.3,6.74,218480
CVT,20200318,15.4,15.7,15.25,15.55,121290
D2D,20200318,50.9,51.6,49.4,50.5,193690
DAG,20200318,5.43,5.45,5.4,5.45,219570
DAH,20200318,8.4,8.4,7.95,8.37,116310
DBC,20200318,17.8,17.85,17.45,17.5,344460
DBD,20200318,45,46.2,44.8,45.9,79460
ABS,20200318,12.95,12.95,12.95,12.95,9690
ABT,20200318,33,34,33,34,2320
ACC,20200318,19.1,19.3,19.1,19.3,100
ACL,20200318,18.4,19,18,18.15,5350
ADS,20200318,10.3,11,10.3,11,4750
AGG,20200318,26.3,26.5,26.1,26.2,148970
AGM,20200318,10.2,10.2,9.9,9.9,410
AGR,20200318,2.84,2.95,2.8,2.94,194030
AMD,20200318,5.2,5.2,5.2,5.2,430510
ANV,20200318,15.95,16.25,15.95,16,38780
APC,20200318,15,15.4,15,15,25300
APG,20200318,8.8,8.8,8.5,8.6,592620
ASM,20200318,5.19,5.25,5.13,5.14,1438330
ASP,20200318,5.85,5.85,5.4,5.7,20440
AST,20200318,47.5,49.5,47.5,48.5,62230
ATG,20200318,0.68,0.71,0.63,0.64,71010
