<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
RCD,20200421,7.6,7.6,7,7.5,33900
SAS,20200421,29,30,27,27.5,67925
SBD,20200421,8.5,8.5,8.4,8.5,1041
SBH,20200421,26.5,26.5,26.5,26.5,1000
SBL,20200421,12,12,12,12,200
SBS,20200421,0.9,1,0.9,0.9,108409
SCJ,20200421,1.9,2.4,1.9,2.4,27600
SDD,20200421,3.3,3.3,3.3,3.3,62800
SDK,20200421,30.9,30.9,30.1,30.9,8300
SDV,20200421,18,18,18,18,3800
SGP,20200421,6.3,6.4,5.8,5.8,79880
SGS,20200421,14,14,14,14,200
SIG,20200421,3.7,3.7,3.7,3.7,100
SIP,20200421,79,79,73,76,26270
SKH,20200421,19.5,19.5,19.3,19.3,20600
SKV,20200421,21.1,21.1,20.6,20.6,16800
SNZ,20200421,19.5,19.6,17.7,18.7,30200
SRB,20200421,0.8,0.8,0.8,0.8,100
SSN,20200421,3.3,3.4,2.9,3,80405
STH,20200421,22.5,22.5,22.1,22.4,29900
STV,20200421,11.2,11.2,11.2,11.2,100
SWC,20200421,12.4,12.7,12.4,12.4,5300
SZE,20200421,9.9,9.9,9,9,11200
TA6,20200421,5.5,5.5,5.5,5.5,1000
TAW,20200421,11.2,11.2,11.2,11.2,100
TBD,20200421,110,110,110,110,205
TCW,20200421,17.5,17.7,17.2,17.5,5330
TDB,20200421,34.1,34.1,34.1,34.1,100
TDS,20200421,11,11,11,11,2100
TID,20200421,14,15.5,13.5,15.5,1200
TIS,20200421,7.4,7.4,7.4,7.4,200
TL4,20200421,7,8,7,7.8,11200
TLP,20200421,8.1,8.1,8.1,8.1,11100
TLT,20200421,13.5,13.5,13.5,13.5,100
TNB,20200421,11.2,11.2,11.2,11.2,2000
TND,20200421,13.8,13.8,13,13.3,78230
TNW,20200421,11.9,11.9,11.9,11.9,100
TSJ,20200421,35,35,35,35,100
TTD,20200421,50,50,46.3,46.3,700
TTN,20200421,8.5,8.5,7.7,7.8,182400
TTP,20200421,22.3,22.3,22.3,22.3,100
TVN,20200421,6.1,6.1,5.8,6,12600
UDJ,20200421,7.7,7.7,7.5,7.7,6601
VBB,20200421,15,15,14.5,14.5,300
VCA,20200421,10.4,10.4,10.4,10.4,300
VCW,20200421,35,35,35,35,6400
VCX,20200421,3.8,4.4,3.8,4.4,39100
VDN,20200421,13.5,13.5,13.5,13.5,100
VEA,20200421,35.3,35.3,32.4,33,341199
VEC,20200421,8.3,8.3,8.2,8.2,600
VEF,20200421,70.5,70.5,68.2,68.5,7900
VGG,20200421,42.8,43.2,40.5,40.5,8460
VGI,20200421,26.2,26.2,23.9,24.4,999275
VGR,20200421,17,17,17,17,400
VGT,20200421,8.1,8.1,7.3,7.4,433160
VHG,20200421,0.6,0.7,0.6,0.7,92232
VIB,20200421,15,15.2,14.2,14.4,1196775
VIM,20200421,17.9,17.9,16,16,6150
VIN,20200421,14.9,14.9,12.5,12.5,3300
VKD,20200421,14.5,14.5,14.4,14.4,9600
VLB,20200421,34.8,34.8,34.8,34.8,100
VLC,20200421,16.6,18.1,16.6,16.6,5100
VMG,20200421,2.6,2.8,2.6,2.8,1800
VNA,20200421,2.6,2.8,2.3,2.3,189411
VNB,20200421,13.4,13.4,13.4,13.4,200
VNH,20200421,1,1.1,1,1,6000
VNI,20200421,11,11,11,11,200
VNP,20200421,4.3,4.7,4.3,4.3,79900
VNX,20200421,60.3,60.3,60.3,60.3,200
VOC,20200421,11.7,11.7,11,11,82500
VRG,20200421,10.1,10.5,9.8,9.8,52400
VSF,20200421,7.5,7.8,7.5,7.8,800
VSN,20200421,27,27.5,25.5,25.9,20000
VTD,20200421,33.4,33.5,32.9,32.9,76700
VTK,20200421,23,24.5,22.8,24,19220
VTP,20200421,118,119.5,115,117.5,101216
VTR,20200421,42.4,43.5,40.5,40.8,11061
VTX,20200421,18.4,18.4,18.4,18.4,200
VWS,20200421,12.5,12.5,12.5,12.5,800
WSB,20200421,37.4,38,35.5,35.5,6700
WTC,20200421,12.5,12.5,12.5,12.5,1600
XMC,20200421,8.1,9.4,8.1,9.4,275
