<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
FUCVREIT,20200406,6,6.42,5.58,6.42,180
YBM,20200406,3.64,3.67,3.46,3.46,5100
YEG,20200406,48.7,52.5,48.7,51.1,48320
VJC,20200406,99.9,100.2,99,99.9,466290
VMD,20200406,20.35,20.5,20.3,20.5,260
VND,20200406,11.15,11.5,11.1,11.4,1161690
VNE,20200406,3.6,3.6,3.49,3.52,146360
VNG,20200406,12.9,13.2,12.9,13.2,318560
VNL,20200406,13.45,14.2,13.45,14.2,3220
VNM,20200406,96.5,96.6,95,96.2,1840550
VNS,20200406,8.3,8.88,8.2,8.25,54480
VOS,20200406,1.34,1.34,1.31,1.34,335190
VPB,20200406,18,18.75,17.9,18.75,5262310
VPD,20200406,13.8,13.8,13.8,13.8,60
VPG,20200406,22.9,24.5,22.9,23.2,27340
VPH,20200406,3.7,3.8,3.7,3.8,39760
VPI,20200406,41.3,41.85,41,41.3,369720
VPS,20200406,10.45,11.15,10.45,11.15,4800
VRC,20200406,4.74,5.07,4.7,5.04,70540
VRE,20200406,19.95,20.85,19.85,20.85,4515950
VSC,20200406,21,21.95,21,21.5,132460
VSH,20200406,17.5,17.95,17.4,17.9,5790
VTB,20200406,10.7,11.5,10.7,11.5,3570
VTO,20200406,6.35,6.52,6.31,6.34,44980
VCB,20200406,67.5,68.3,66,68,2111200
VCF,20200406,214,214,200.4,207,400
VCI,20200406,15.5,15.85,15.4,15.85,259240
VDP,20200406,31.15,32,31.15,31.15,3140
VDS,20200406,6.4,6.4,6.3,6.3,80
VFG,20200406,39,39.4,39,39,1290
VGC,20200406,14.9,15.6,14.9,15.4,335880
VHC,20200406,23,23.5,22.5,23.5,739770
VHM,20200406,60,61.7,58.6,61.7,534020
VIC,20200406,92,97.3,91.3,97.3,2698260
VID,20200406,4.2,4.2,3.91,3.91,60
VIP,20200406,4.09,4.15,3.99,4.08,62730
TNA,20200406,13.4,14.8,13.4,14.3,22830
TNC,20200406,13.5,14.35,12.9,14.35,6020
